M0 none (control)                        rc=0 passed 467/467
M1 recover: any extra key                rc=1 RED: the tape grammar refuses a recovery with an unknown key
M2 dispatch: any extra key               rc=1 RED: the tape grammar refuses a dispatch with an unknown key
M3 dispatch: node up to 65               rc=1 RED: the tape grammar refuses a dispatch with a 65-character node
M4 token: edge whitespace allowed        rc=1 RED: the tape grammar refuses a dispatch whose node carries edge whitespace
M5 token: empty allowed                  rc=1 RED: the tape grammar refuses a dispatch with an empty node
M6 seat: any extra key                   rc=1 RED: the tape grammar refuses a seated rider's orders with an unknown key
M7 seat: any version                     rc=1 RED: the tape grammar refuses a seated rider's orders on wire version 2
M8 seat: submission id up to 97          rc=1 RED: the tape grammar refuses a seated rider's orders with a 97-character submission id
M9 seat: no 3 KiB bound                  rc=1 RED: the tape grammar refuses a seated rider's orders over the 3 KiB wire limit
M10 seat: shape only at the door         rc=1 RED: the tape grammar refuses a seated rider's orders naming a retired verb
M11 seat: no shape at read               rc=1 RED: the tape grammar at read refuses a seated rider's orders that are not a list
M12 shape: any list member               rc=1 RED: the tape grammar at read refuses a seated rider's orders holding a non-order
M13 refusal: playbook uses not walked    rc=1 RED: a stored row with a playbook use whose recording carries agent orders naming a since-retired verb is RETIRED and COUNTED, not dropped
M14 refusal: seat orders not judged      rc=1 RED: a stored row with a playbook use whose recording carries a seated rider's orders naming a since-retired verb is RETIRED and COUNTED, not dropped
M15 read: recordings judged strictly     rc=1 RED: a stored row with a playbook use whose recording carries agent orders naming a since-retired verb is RETIRED and COUNTED, not dropped
M16 read: embedded shape unchecked       rc=1 RED: at read a recording whose agent orders are not a list is refused
M17 read: embedded 3 KiB unchecked       rc=1 RED: at read a recording whose seated rider's orders are over the 3 KiB wire limit is refused
M18 recover clause removed               rc=1 RED: the door accepts the recorder's reels with a dispatch, a recovery and a seated rider's orders: [{"ok":true,"stored":true,"rank":1,"decidedBy":"crown"},{"ok":fal
M19 dispatch clause removed              rc=1 RED: the door accepts the recorder's reels with a dispatch, a recovery and a seated rider's orders: [{"ok":false,"error":"bad_payload","message":"Standing not accept
M20 seat clause removed                  rc=1 RED: the door accepts the recorder's reels with a dispatch, a recovery and a seated rider's orders: [{"ok":true,"stored":true,"rank":1,"decidedBy":"crown"},{"ok":tru
