the-claim            board=1 ranked=0 retired=8 rejected=0 
e1-dry-gulch         board=1 ranked=0 retired=5 rejected=0 
e1-twin-banks        board=1 ranked=0 retired=2 rejected=0 
e2-incline           board=1 ranked=0 retired=1 rejected=0 
e2-pressure-garden   board=1 ranked=0 retired=1 rejected=0 
e3-blackout-ridge    board=1 ranked=0 retired=1 rejected=0 
e3-canyon-works      board=1 ranked=0 retired=0 rejected=0 
e3-moth-season       board=1 ranked=0 retired=0 rejected=0 
e4-gusher-county     board=1 ranked=0 retired=1 rejected=0 
e7-dead-band         board=1 ranked=0 retired=0 rejected=0 
e7-echo-canyon       board=1 ranked=0 retired=0 rejected=0 
e7-relay-rush        board=1 ranked=0 retired=0 rejected=0 
e7-relay-valley      board=1 ranked=0 retired=0 rejected=0 
e8-eclipse           board=1 ranked=0 retired=1 rejected=0 
e8-mare-claim        board=1 ranked=0 retired=0 rejected=0 
e9-devils-alley      board=1 ranked=0 retired=0 rejected=0 
e9-dome-basin        board=1 ranked=0 retired=0 rejected=0 
TOTAL ranked rows across the 17: 0
