seed                         | recorded(merged file)      | MAIN measured              | MERGED measured            | verdict
e1-dry-gulch/e1-dry-gulch-01 | 79712a38 w4/0g/40k         | 79712a38 w4/0g/40k         | 79712a38 w4/0g/40k         | HOLDS
e1-dry-gulch/e1-dry-gulch-02 | 587f6342 w4/0g/33k         | 587f6342 w4/0g/33k         | 587f6342 w4/0g/33k         | HOLDS
e1-dry-gulch/e1-dry-gulch-03 | 5fd69696 w4/0g/35k         | 5fd69696 w4/0g/35k         | 5fd69696 w4/0g/35k         | HOLDS
e1-twin-banks/e1-twin-banks-01 | 01e5173c w3/0g/33k         | 01e5173c w3/0g/33k         | 6730d992 w3/0g/50k         | *** MOVED ***
e1-twin-banks/e1-twin-banks-02 | 7390fe5f w3/0g/43k         | 7390fe5f w3/0g/43k         | c4431597 w3/0g/47k         | *** MOVED ***
e1-twin-banks/e1-twin-banks-03 | 23ea0d35 w3/0g/50k         | 23ea0d35 w3/0g/50k         | 358ea82a w3/0g/49k         | *** MOVED ***
e1-twin-banks/e1-twin-banks-04 | 2d3f4acb w2/0g/28k         | 2d3f4acb w2/0g/28k         | 3518b84c w2/0g/31k         | *** MOVED ***
e1-twin-banks/e1-twin-banks-05 | 9518716f w2/0g/29k         | 9518716f w2/0g/29k         | d349355e w3/0g/56k         | *** MOVED ***
e2-hill-mine/e2-hill-mine-01 | 4b3cd37b w2/0g/24k         | 4b3cd37b w2/0g/24k         | 658e852a w2/0g/19k         | *** MOVED ***
e2-hill-mine/e2-hill-mine-02 | 6a1b7941 w2/0g/18k         | 6a1b7941 w2/0g/18k         | c87e0e99 w2/0g/22k         | *** MOVED ***
e2-trestle/e2-trestle-01     | 0b42abb2 w1/0g/22k         | 0b42abb2 w1/0g/22k         | a552a476 w1/0g/23k         | *** MOVED ***
e2-trestle/e2-trestle-02     | 79415769 w1/0g/17k         | 79415769 w1/0g/17k         | 68587d07 w1/0g/17k         | *** MOVED ***
e2-pressure-garden/e2-pressure-garden-01 | a3bc4be8 w1/0g/12k         | a3bc4be8 w1/0g/12k         | a3bc4be8 w1/0g/12k         | HOLDS
e2-pressure-garden/e2-pressure-garden-02 | 4a160301 w1/0g/15k         | 4a160301 w1/0g/15k         | 4a160301 w1/0g/15k         | HOLDS
e2-incline/e2-incline-01     | b1746dec w1/0g/17k         | b1746dec w1/0g/17k         | b1746dec w1/0g/17k         | HOLDS
e2-incline/e2-incline-02     | d00617e9 w1/0g/15k         | d00617e9 w1/0g/15k         | d00617e9 w1/0g/15k         | HOLDS
e3-canyon-works/e3-canyon-works-01 | 86bf5d8b w3/0g/35k         | 86bf5d8b w3/0g/35k         | 86bf5d8b w3/0g/35k         | HOLDS
e3-canyon-works/e3-canyon-works-02 | 249819fd w3/0g/27k         | 249819fd w3/0g/27k         | 249819fd w3/0g/27k         | HOLDS
e3-fairground/e3-fairground-01 | 647fa993 w1/0g/12k         | 647fa993 w1/0g/12k         | 647fa993 w1/0g/12k         | HOLDS
e3-fairground/e3-fairground-02 | 4bbf4662 w1/0g/10k         | 4bbf4662 w1/0g/10k         | 4bbf4662 w1/0g/10k         | HOLDS
e4-gusher-county/e4-gusher-county-01 | b9638b36 w5/0g/90k         | b9638b36 w5/0g/90k         | b9638b36 w5/0g/90k         | HOLDS
e4-gusher-county/e4-gusher-county-02 | e857081c w2/0g/29k         | e857081c w2/0g/29k         | e857081c w2/0g/29k         | HOLDS
e4-boneyard/e4-boneyard-01   | 5c7f6600 w4/0g/35k         | 5c7f6600 w4/0g/35k         | 5c7f6600 w4/0g/35k         | HOLDS
e4-boneyard/e4-boneyard-02   | 216a718d w4/0g/33k         | 216a718d w4/0g/33k         | 216a718d w4/0g/33k         | HOLDS
e5-deepwater-claim/e5-deepwater-claim-01 | 9c344f09 w18/0g/0k         | 9c344f09 w18/0g/0k         | 9c344f09 w18/0g/0k         | HOLDS
e5-deepwater-claim/e5-deepwater-claim-02 | dee7a8dc w18/0g/0k         | dee7a8dc w18/0g/0k         | dee7a8dc w18/0g/0k         | HOLDS
e7-relay-valley/e7-relay-valley-01 | ff840039 w7/0g/181k        | ff840039 w7/0g/181k        | ff840039 w7/0g/181k        | HOLDS
e7-relay-valley/e7-relay-valley-02 | e922a60a w4/0g/71k         | e922a60a w4/0g/71k         | e922a60a w4/0g/71k         | HOLDS
e8-mare-claim/e8-mare-claim-01 | 271eabbb w2/0g/30k         | 271eabbb w2/0g/30k         | 271eabbb w2/0g/30k         | HOLDS
e8-mare-claim/e8-mare-claim-02 | accb01a3 w2/0g/29k         | accb01a3 w2/0g/29k         | accb01a3 w2/0g/29k         | HOLDS
e8-eclipse/e8-eclipse-01     | 9568f50b w2/0g/30k         | 9568f50b w2/0g/30k         | 9568f50b w2/0g/30k         | HOLDS
e8-eclipse/e8-eclipse-02     | fea6f01f w2/0g/28k         | fea6f01f w2/0g/28k         | fea6f01f w2/0g/28k         | HOLDS
e10-ember-shore/e10-ember-shore-01 | 1b73c4b7 w3/0g/43k         | 1b73c4b7 w3/0g/43k         | 1b73c4b7 w3/0g/43k         | HOLDS
e10-ember-shore/e10-ember-shore-02 | 5c8b38ac w3/0g/43k         | 5c8b38ac w3/0g/43k         | 5c8b38ac w3/0g/43k         | HOLDS
e10-archive-world/e10-archive-world-01 | cb3e3f9d w2/0g/35k         | —                          | cb3e3f9d w2/0g/35k         | NEW FLOOR
e10-archive-world/e10-archive-world-02 | c9bb2822 w3/0g/51k         | —                          | c9bb2822 w3/0g/51k         | NEW FLOOR
--- HOLDS 25  MOVED 9  NEW 2  total 36
