e1-dry-gulch | board ? | tape fnv1a32:e490fcd5 | control fnv1a32:e490fcd5 | HOLDS
e1-twin-banks | board ? | tape fnv1a32:3104ad94 | control fnv1a32:3104ad94 | HOLDS
e2-incline | board ? | tape fnv1a32:a489588e | control fnv1a32:a489588e | HOLDS
e2-pressure-garden | board ? | tape fnv1a32:75473887 | control fnv1a32:75473887 | HOLDS
e3-blackout-ridge | board ? | tape fnv1a32:ade266f4 | control fnv1a32:ade266f4 | HOLDS
e3-canyon-works | board ? | tape fnv1a32:21952647 | control fnv1a32:21952647 | HOLDS
e4-gusher-county | board ? | tape fnv1a32:0e24753e | control fnv1a32:0e24753e | HOLDS
e7-dead-band | board ? | tape fnv1a32:b3234ac0 | control fnv1a32:b3234ac0 | HOLDS
e7-relay-rush | board ? | tape fnv1a32:e4238fc2 | control fnv1a32:e4238fc2 | HOLDS
e7-relay-valley | board ? | tape fnv1a32:41eea3b5 | control fnv1a32:41eea3b5 | HOLDS
e8-eclipse | board ? | tape fnv1a32:b1e52be6 | control fnv1a32:b1e52be6 | HOLDS
e8-mare-claim | board ? | tape fnv1a32:5ace32f2 | control fnv1a32:5ace32f2 | HOLDS
e9-dome-basin | board ? | tape fnv1a32:15d21e4a | control fnv1a32:15d21e4a | HOLDS
the-claim | board ? | tape fnv1a32:22ca1b99 | control fnv1a32:22ca1b99 | HOLDS
SUMMARY control: holds 14, moves 0, no replay 0, unknown 1
