e1-dry-gulch | board ? | tape fnv1a32:e490fcd5 | maps fnv1a32:036a109a | MOVES
e2-incline | board ? | tape fnv1a32:a489588e | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e2-pressure-garden | board ? | tape fnv1a32:75473887 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e3-blackout-ridge | board ? | tape fnv1a32:ade266f4 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e3-canyon-works | board ? | tape fnv1a32:21952647 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e3-moth-season | board ? | tape fnv1a32:6f7df0c3 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e4-gusher-county | board ? | tape fnv1a32:0e24753e | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e7-dead-band | board ? | tape fnv1a32:b3234ac0 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e7-echo-canyon | board ? | tape fnv1a32:d8c34088 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e7-relay-rush | board ? | tape fnv1a32:e4238fc2 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e7-relay-valley | board ? | tape fnv1a32:41eea3b5 | maps fnv1a32:41eea3b5 | HOLDS
e8-eclipse | board ? | tape fnv1a32:b1e52be6 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e8-mare-claim | board ? | tape fnv1a32:5ace32f2 | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e9-dome-basin | board ? | tape fnv1a32:15d21e4a | maps NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
the-claim | board ? | tape fnv1a32:22ca1b99 | maps fnv1a32:22ca1b99 | HOLDS
SUMMARY maps: holds 2, moves 1, no replay 12, unknown 1
