contract             tape research.epochId  contract own epoch
the-claim            epoch-1-frontier       epoch-1-frontier MATCH
e1-dry-gulch         epoch-1-frontier       epoch-1-frontier MATCH
e1-twin-banks        epoch-1-frontier       epoch-1-frontier MATCH
e2-incline           epoch-1-frontier       epoch-2-steamworks DIFFERS
e2-pressure-garden   epoch-1-frontier       epoch-2-steamworks DIFFERS
e3-blackout-ridge    epoch-1-frontier       epoch-3-voltage DIFFERS
e3-canyon-works      epoch-1-frontier       epoch-3-voltage DIFFERS
e3-moth-season       epoch-1-frontier       epoch-3-voltage DIFFERS
e4-gusher-county     epoch-1-frontier       epoch-4-motor DIFFERS
e7-dead-band         epoch-1-frontier       epoch-7-signal DIFFERS
e7-echo-canyon       epoch-1-frontier       epoch-7-signal DIFFERS
e7-relay-rush        epoch-1-frontier       epoch-7-signal DIFFERS
e7-relay-valley      epoch-7-signal         epoch-7-signal MATCH
e8-eclipse           epoch-1-frontier       epoch-8-orbital DIFFERS
e8-mare-claim        epoch-1-frontier       epoch-8-orbital DIFFERS
e9-dome-basin        epoch-1-frontier       epoch-9-redfields DIFFERS
