(node:54798) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
declared {"activeEpoch":"epoch-2-steamworks","medals":{"version":1,"baronBeaten":true,"rocketCartCaptured":true},"gates":{"boiler_lance":true,"pressure_mortar":true,"sky_rocket_battery":true,"boiler_battery":false,"coal_survey":false,"pressure_assay":false}}
coal twist.coalSeams [{"x":-16,"z":-20,"wave":5},{"x":-20,"z":-16,"wave":8},{"x":-12,"z":-24,"wave":11}]
t0 w0 gold=0 hp=100/100 lvl=1 up={} offer= pros=(10.2,-13.1) works={} alive=0 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t1 w0 gold=30 hp=100/100 lvl=1 up={} offer= pros=(24.0,20.0) works={} alive=1 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t2 w0 gold=60 hp=100/100 lvl=1 up={} offer= pros=(-24.0,20.0) works={} alive=4 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t3 w1 gold=60 hp=100/100 lvl=1 up={} offer= pros=(12.0,-14.9) works={} alive=9 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t4 w2 gold=10 hp=100/100 lvl=1 up={} offer= pros=(12.0,-14.9) works={"turret":1} alive=8 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t5 w2 gold=40 hp=100/100 lvl=1 up={} offer= pros=(-24.0,-20.0) works={"turret":1} alive=4 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t6 w2 gold=70 hp=100/100 lvl=1 up={} offer= pros=(24.0,-20.0) works={"turret":1} alive=6 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t7 w3 gold=70 hp=100/100 lvl=1 up={} offer= pros=(12.0,-14.9) works={"turret":1} alive=9 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t8 w3 gold=0 hp=100/100 lvl=2 up={} offer=prospectors_luck|spring_heels|heavy_spark pros=(12.0,-14.9) works={"turret":2} alive=3 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t9 w3 gold=0 hp=100/100 lvl=3 up={"heavy_spark":1} offer=heavy_spark|beacon_handoff|spring_heels pros=(-16.3,12.5) works={"turret":2} alive=3 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t10 w3 gold=30 hp=100/100 lvl=3 up={"heavy_spark":2} offer= pros=(-24.0,20.0) works={"turret":2} alive=3 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t11 w4 gold=30 hp=100/100 lvl=3 up={"heavy_spark":2} offer= pros=(-24.0,3.8) works={"turret":2} alive=11 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t12 w4 gold=30 hp=100/100 lvl=4 up={"heavy_spark":2} offer=double_tap_coil|heavy_spark|beacon_handoff pros=(-24.0,-19.4) works={"turret":2} alive=7 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t13 w4 gold=60 hp=100/100 lvl=4 up={"heavy_spark":3} offer= pros=(-24.0,-20.0) works={"turret":2} alive=7 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t14 w4 gold=60 hp=100/100 lvl=5 up={"heavy_spark":3} offer=powder_charge|prospectors_luck|split_spark pros=(12.0,-14.9) works={"turret":2} alive=8 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t15 w4 gold=60 hp=100/100 lvl=6 up={"heavy_spark":3,"split_spark":1} offer=chain_spark_arc|tinkers_plating|split_spark pros=(12.0,-14.9) works={"turret":2} alive=4 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t16 w4 gold=90 hp=125/125 lvl=6 up={"heavy_spark":3,"split_spark":1,"tinkers_plating":1} offer= pros=(24.0,-20.0) works={"turret":2} alive=4 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t17 w5 gold=90 hp=125/125 lvl=6 up={"heavy_spark":3,"split_spark":1,"tinkers_plating":1} offer= pros=(12.0,-14.9) works={"turret":2} alive=15 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t18 w5 gold=90 hp=125/125 lvl=7 up={"heavy_spark":3,"split_spark":1,"tinkers_plating":1} offer=pan_legend|beacon_handoff|quick_fuse pros=(-16.0,-20.0) works={"turret":2} alive=7 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t19 w5 gold=90 hp=125/125 lvl=8 up={"heavy_spark":3,"split_spark":1,"tinkers_plating":1,"pan_legend":1} offer=pan_legend|spring_heels|long_resonator pros=(-16.0,-20.0) works={"turret":2} alive=5 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t20 w6 gold=90 hp=125/125 lvl=8 up={"heavy_spark":3,"split_spark":1,"tinkers_plating":1,"pan_legend":1,"long_resonator":1} offer= pros=(-16.0,-20.0) works={"turret":2} alive=15 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t21 w6 gold=90 hp=125/125 lvl=9 up={"heavy_spark":3,"split_spark":1,"tinkers_plating":1,"pan_legend":1,"long_resonator":1} offer=pan_legend|spring_heels|prospectors_luck pros=(4.0,-16.4) works={"turret":2} alive=12 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t22 w6 gold=90 hp=125/125 lvl=10 up={"heavy_spark":3,"split_spark":1,"tinkers_plating":1,"pan_legend":1,"long_resonator":1,"prospectors_luck":1} offer=pan_legend|split_spark|spring_heels pros=(12.0,-14.9) works={"turret":2} alive=10 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t23 w7 gold=20 hp=125/125 lvl=10 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":1,"pan_legend":1,"long_resonator":1,"prospectors_luck":1} offer= pros=(12.0,-14.9) works={"boiler_house":1,"turret":2} alive=18 arsenal={"boilerLance":0,"pressureMortar":3,"skyRocket":2} psp=48 fail= boss=-
t24 w7 gold=20 hp=125/125 lvl=11 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":1,"pan_legend":1,"long_resonator":1,"prospectors_luck":1} offer=wide_ring|pan_legend|long_resonator pros=(17.1,-0.1) works={"boiler_house":1,"turret":2} alive=14 arsenal={"boilerLance":0,"pressureMortar":3,"skyRocket":2} psp=48 fail= boss=-
t25 w7 gold=60 hp=125/125 lvl=11 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":1,"pan_legend":1,"long_resonator":2,"prospectors_luck":1} offer= pros=(24.0,20.0) works={"boiler_house":1,"turret":2} alive=16 arsenal={"boilerLance":0,"pressureMortar":4,"skyRocket":3} psp=68 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t26 w7 gold=60 hp=125/125 lvl=12 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":1,"pan_legend":1,"long_resonator":2,"prospectors_luck":1} offer=tinkers_plating|beacon_handoff|pan_legend pros=(-11.2,20.0) works={"boiler_house":1,"turret":2} alive=9 arsenal={"boilerLance":0,"pressureMortar":6,"skyRocket":4} psp=96 fail= boss=-
t27 w7 gold=100 hp=150/150 lvl=12 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":2,"pan_legend":1,"long_resonator":2,"prospectors_luck":1} offer= pros=(-24.0,20.0) works={"boiler_house":1,"turret":2} alive=6 arsenal={"boilerLance":0,"pressureMortar":7,"skyRocket":5} psp=116 fail=INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t28 w8 gold=100 hp=150/150 lvl=12 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":2,"pan_legend":1,"long_resonator":2,"prospectors_luck":1} offer= pros=(12.0,-14.9) works={"boiler_house":1,"turret":2} alive=20 arsenal={"boilerLance":0,"pressureMortar":8,"skyRocket":8} psp=160 fail= boss=-
t29 w8 gold=100 hp=150/150 lvl=13 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":2,"pan_legend":1,"long_resonator":2,"prospectors_luck":1} offer=wide_ring|chain_spark_arc|powder_charge pros=(-15.0,-15.8) works={"boiler_house":1,"turret":2} alive=14 arsenal={"boilerLance":0,"pressureMortar":9,"skyRocket":9} psp=180 fail= boss=-
t30 w8 gold=100 hp=150/150 lvl=13 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":2,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":1} offer= pros=(-20.0,-16.0) works={"boiler_house":1,"turret":2} alive=22 arsenal={"boilerLance":0,"pressureMortar":9,"skyRocket":10} psp=192 fail= boss=-
t31 w8 gold=100 hp=150/150 lvl=13 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":2,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":1} offer= pros=(-19.8,-16.0) works={"boiler_house":1,"turret":2} alive=21 arsenal={"boilerLance":0,"pressureMortar":9,"skyRocket":10} psp=192 fail= boss=-
t32 w8 gold=100 hp=150/150 lvl=13 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":2,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":1} offer= pros=(-18.7,-15.9) works={"boiler_house":1,"turret":2} alive=21 arsenal={"boilerLance":1,"pressureMortar":9,"skyRocket":10} psp=193 fail= boss=-
t33 w8 gold=100 hp=150/150 lvl=13 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":2,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":1} offer= pros=(-15.2,-15.8) works={"boiler_house":1,"turret":2} alive=19 arsenal={"boilerLance":2,"pressureMortar":9,"skyRocket":10} psp=194 fail= boss=-
t34 w8 gold=82 hp=150/150 lvl=14 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":2,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":1} offer=tinkers_plating|wide_ring|beacon_handoff pros=(12.0,-14.9) works={"boiler_house":1,"turret":2} alive=8 arsenal={"boilerLance":9,"pressureMortar":10,"skyRocket":10} psp=209 fail= boss=-
t35 w9 gold=12 hp=175/175 lvl=14 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":1} offer= pros=(12.0,-14.9) works={"boiler_house":2,"turret":2} alive=24 arsenal={"boilerLance":9,"pressureMortar":12,"skyRocket":13} psp=261 fail= boss=-
t36 w9 gold=52 hp=175/175 lvl=14 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":1} offer= pros=(24.0,-20.0) works={"boiler_house":2,"turret":2} alive=21 arsenal={"boilerLance":9,"pressureMortar":13,"skyRocket":14} psp=281 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t37 w9 gold=52 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":1} offer=double_tap_coil|pan_legend|chain_spark_arc pros=(3.4,-20.0) works={"boiler_house":2,"turret":2} alive=10 arsenal={"boilerLance":18,"pressureMortar":14,"skyRocket":15} psp=310 fail= boss=-
t38 w9 gold=52 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(2.6,-20.0) works={"boiler_house":2,"turret":2} alive=10 arsenal={"boilerLance":18,"pressureMortar":14,"skyRocket":15} psp=310 fail= boss=-
t39 w9 gold=52 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(1.9,-19.9) works={"boiler_house":2,"turret":2} alive=10 arsenal={"boilerLance":18,"pressureMortar":14,"skyRocket":15} psp=310 fail= boss=-
t40 w9 gold=52 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(2.9,-18.9) works={"boiler_house":2,"turret":2} alive=24 arsenal={"boilerLance":18,"pressureMortar":14,"skyRocket":15} psp=310 fail= boss=-
t41 w9 gold=52 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(4.1,-17.8) works={"boiler_house":2,"turret":2} alive=23 arsenal={"boilerLance":18,"pressureMortar":14,"skyRocket":15} psp=310 fail= boss=-
t42 w9 gold=34 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(5.4,-15.9) works={"boiler_house":2,"turret":2} alive=22 arsenal={"boilerLance":22,"pressureMortar":14,"skyRocket":15} psp=314 fail= boss=-
t43 w9 gold=16 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(4.8,-15.8) works={"boiler_house":2,"turret":2} alive=21 arsenal={"boilerLance":24,"pressureMortar":15,"skyRocket":15} psp=324 fail= boss=-
t44 w9 gold=16 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(4.8,-15.7) works={"boiler_house":2,"turret":2} alive=21 arsenal={"boilerLance":24,"pressureMortar":15,"skyRocket":15} psp=324 fail= boss=-
t45 w9 gold=7 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(3.0,-15.8) works={"boiler_house":2,"turret":2} alive=20 arsenal={"boilerLance":28,"pressureMortar":15,"skyRocket":15} psp=328 fail= boss=-
t46 w9 gold=7 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(3.3,-15.8) works={"boiler_house":2,"turret":2} alive=20 arsenal={"boilerLance":28,"pressureMortar":15,"skyRocket":15} psp=328 fail= boss=-
t47 w9 gold=7 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(5.8,-15.2) works={"boiler_house":2,"turret":2} alive=18 arsenal={"boilerLance":31,"pressureMortar":15,"skyRocket":16} psp=343 fail=FAILED: REPAIR_UNDER action was rejected. boss=-
t48 w9 gold=47 hp=175/175 lvl=15 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(-24.0,-20.0) works={"boiler_house":2,"turret":2} alive=13 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail=FAILED: REPAIR_UNDER action was rejected.;INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t49 w9 gold=47 hp=175/175 lvl=16 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":1,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer=quick_fuse|pan_legend|beacon_handoff pros=(-4.6,-16.9) works={"boiler_house":2,"turret":2} alive=8 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t50 w9 gold=69 hp=175/175 lvl=16 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(24.0,20.0) works={"boiler_house":2,"turret":2} alive=11 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t51 w10 gold=69 hp=175/175 lvl=16 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(22.7,16.2) works={"boiler_house":2,"turret":2} alive=27 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t52 w10 gold=69 hp=175/175 lvl=16 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(-20.2,19.7) works={"boiler_house":2,"turret":2} alive=28 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t53 w10 gold=69 hp=175/175 lvl=16 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(-21.7,19.7) works={"boiler_house":2,"turret":2} alive=28 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
