(node:7798) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
declared {"activeEpoch":"epoch-2-steamworks","medals":{"version":1,"baronBeaten":true,"rocketCartCaptured":true},"gates":{"boiler_lance":true,"pressure_mortar":true,"sky_rocket_battery":true,"boiler_battery":false,"coal_survey":false,"pressure_assay":false}}
t0 w0 gold=0 hp=100/100 lvl=1 up={} offer= pros=(-25.8,-19.1) works={} alive=0 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t1 w0 gold=30 hp=100/100 lvl=1 up={} offer= pros=(-30.0,-20.0) works={} alive=0 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t2 w0 gold=60 hp=100/100 lvl=1 up={} offer= pros=(30.0,26.0) works={} alive=5 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t3 w1 gold=60 hp=100/100 lvl=1 up={} offer= pros=(-17.9,-13.0) works={} alive=11 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t4 w1 gold=60 hp=87/100 lvl=2 up={} offer=tinkers_plating|pan_legend|beacon_handoff pros=(-24.0,-18.0) works={} alive=13 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t5 w2 gold=10 hp=112/125 lvl=2 up={"tinkers_plating":1} offer= pros=(-24.0,-18.0) works={"turret":1} alive=16 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t6 w2 gold=40 hp=112/125 lvl=2 up={"tinkers_plating":1} offer= pros=(22.0,40.0) works={"turret":1} alive=15 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t7 w2 gold=70 hp=112/125 lvl=2 up={"tinkers_plating":1} offer= pros=(30.0,-20.0) works={"turret":1} alive=18 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t8 w3 gold=70 hp=112/125 lvl=2 up={"tinkers_plating":1} offer= pros=(23.0,-19.7) works={"turret":1} alive=25 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t9 w4 gold=70 hp=112/125 lvl=2 up={"tinkers_plating":1} offer= pros=(-24.0,-18.0) works={"turret":1} alive=27 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t10 w4 gold=0 hp=112/125 lvl=3 up={"tinkers_plating":1} offer=heavy_spark|powder_charge|tinkers_plating pros=(-24.0,-18.0) works={"turret":2} alive=23 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t11 w5 gold=0 hp=112/125 lvl=3 up={"tinkers_plating":1,"heavy_spark":1} offer= pros=(-8.3,-5.2) works={"turret":2} alive=34 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t12 w5 gold=0 hp=112/125 lvl=4 up={"tinkers_plating":1,"heavy_spark":1} offer=long_resonator|prospectors_luck|spring_heels pros=(-10.0,15.2) works={"turret":2} alive=29 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t13 w5 gold=0 hp=112/125 lvl=5 up={"tinkers_plating":1,"heavy_spark":1,"long_resonator":1} offer=long_resonator|heavy_spark|pan_legend pros=(-12.0,39.0) works={"turret":2} alive=34 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t14 w6 gold=0 hp=112/125 lvl=5 up={"tinkers_plating":1,"heavy_spark":2,"long_resonator":1} offer= pros=(-12.0,39.0) works={"turret":2} alive=45 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t15 w6 gold=0 hp=112/125 lvl=6 up={"tinkers_plating":1,"heavy_spark":2,"long_resonator":1} offer=double_tap_coil|tinkers_plating|long_resonator pros=(-12.0,39.0) works={"turret":2} alive=42 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t16 w6 gold=0 hp=112/125 lvl=7 up={"tinkers_plating":1,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1} offer=powder_charge|chain_spark_arc|prospectors_luck pros=(24.2,27.8) works={"turret":2} alive=41 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t17 w6 gold=30 hp=112/125 lvl=7 up={"tinkers_plating":1,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":1} offer= pros=(30.0,26.0) works={"turret":2} alive=39 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t18 w6 gold=30 hp=112/125 lvl=8 up={"tinkers_plating":1,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":1} offer=prospectors_luck|spring_heels|tinkers_plating pros=(-25.5,-16.5) works={"turret":2} alive=38 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t19 w6 gold=60 hp=137/150 lvl=8 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":1} offer= pros=(-30.0,-20.0) works={"turret":2} alive=38 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-2 is unavailable. boss=-
t20 w7 gold=60 hp=137/150 lvl=8 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":1} offer= pros=(-25.6,-18.5) works={"turret":2} alive=51 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t21 w7 gold=60 hp=137/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":1} offer=spring_heels|chain_spark_arc|prospectors_luck pros=(-24.0,-18.0) works={"turret":2} alive=51 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t22 w7 gold=60 hp=137/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer= pros=(-27.0,-19.0) works={"turret":2} alive=52 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t23 w7 gold=60 hp=129/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer= pros=(-24.1,-18.5) works={"turret":2} alive=50 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t24 w7 gold=60 hp=129/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer= pros=(-22.4,-18.2) works={"turret":2} alive=51 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t25 w7 gold=42 hp=121/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer= pros=(-25.7,-19.0) works={"turret":2} alive=49 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t26 w7 gold=42 hp=121/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer= pros=(-25.3,-18.9) works={"turret":2} alive=49 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t27 w7 gold=28 hp=121/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer= pros=(-22.7,-18.4) works={"turret":2} alive=49 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t28 w7 gold=14 hp=121/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer= pros=(-22.1,-18.2) works={"turret":2} alive=49 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t29 w7 gold=44 hp=121/150 lvl=9 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer= pros=(-30.0,-20.0) works={"turret":2} alive=47 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail=INVALID_TARGET: gold-seam-1 is unavailable. boss=-
t30 w7 gold=44 hp=65/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":1,"chain_spark_arc":2} offer=double_tap_coil|spring_heels|split_spark pros=(-30.0,13.8) works={"turret":2} alive=42 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t31 w7 gold=44 hp=65/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":2,"chain_spark_arc":2} offer= pros=(-30.0,14.4) works={"turret":2} alive=43 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t32 w7 gold=44 hp=65/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":2,"chain_spark_arc":2} offer= pros=(-28.9,10.6) works={"turret":2} alive=42 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t33 w7 gold=44 hp=57/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":2,"chain_spark_arc":2} offer= pros=(-27.7,6.4) works={"turret":2} alive=41 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t34 w8 gold=44 hp=49/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":2,"chain_spark_arc":2} offer= pros=(-25.6,-1.3) works={"turret":2} alive=55 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t35 w8 gold=26 hp=20/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":2,"chain_spark_arc":2} offer= pros=(-20.9,-15.4) works={"turret":2} alive=50 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t36 w8 gold=12 hp=20/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":2,"chain_spark_arc":2} offer= pros=(-20.9,-16.8) works={"turret":2} alive=50 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t37 w8 gold=12 hp=20/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":2,"chain_spark_arc":2} offer= pros=(-20.1,-13.6) works={"turret":2} alive=48 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
t38 w8 gold=5 hp=20/150 lvl=10 up={"tinkers_plating":2,"heavy_spark":2,"long_resonator":1,"double_tap_coil":2,"chain_spark_arc":2} offer= pros=(-20.7,-16.7) works={"turret":2} alive=47 arsenal={"boilerLance":0,"pressureMortar":0,"skyRocket":0} psp=0 fail= boss=-
