(node:93508) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
t0 s0 w0 gold=0 hp=100 works=0/0 alive=0 wheel=spin/240 crossings=000 att=0 pros=(-2,-31) decoy=-
t1 s19 w0 gold=0 hp=100 works=1/1 alive=4 wheel=spin/240 crossings=000 att=3 pros=(2,-11) decoy=-3.3,-26.52
t2 s20 w0 gold=0 hp=100 works=1/1 alive=4 wheel=spin/240 crossings=000 att=3 pros=(3,-6) decoy=-3.3,-26.52
t3 s21 w0 gold=0 hp=100 works=1/1 alive=4 wheel=spin/240 crossings=000 att=3 pros=(5,-3) decoy=-3.3,-26.52
t4 s26 w0 gold=0 hp=100 works=1/1 alive=3 wheel=spin/240 crossings=000 att=3 pros=(-3,-26) decoy=-3.3,-26.52
t5 s30 w1 gold=0 hp=100 works=1/1 alive=7 wheel=spin/240 crossings=000 att=3 pros=(3,-7) decoy=-3.3,-26.52
t6 s37 w1 gold=0 hp=100 works=1/1 alive=4 wheel=spin/240 crossings=000 att=6 pros=(1,-14) decoy=-3.3,-26.52
t7 s42 w1 gold=0 hp=60 works=1/1 alive=3 wheel=spin/240 crossings=000 att=6 pros=(1,-14) decoy=-3.3,-26.52
t8 s52 w1 gold=20 hp=60 works=1/1 alive=4 wheel=spin/240 crossings=000 att=6 pros=(8,7) decoy=-3.3,-26.52
t9 s60 w2 gold=18 hp=60 works=1/1 alive=8 wheel=spin/240 crossings=100 att=6 pros=(2,-21) decoy=-3.3,-26.52
t10 s65 w2 gold=48 hp=60 works=1/1 alive=6 wheel=spin/240 crossings=100 att=9 pros=(18,-7) decoy=-3.3,-26.52
t11 s75 w2 gold=48 hp=44 works=1/1 alive=5 wheel=spin/240 crossings=100 att=9 pros=(1,-28) decoy=-3.3,-26.52
t12 s76 w2 gold=48 hp=44 works=1/1 alive=5 wheel=spin/240 crossings=100 att=9 pros=(4,-25) decoy=-3.3,-26.52
t13 s77 w2 gold=48 hp=44 works=1/1 alive=5 wheel=spin/240 crossings=100 att=9 pros=(6,-21) decoy=-3.3,-26.52
t14 s85 w2 gold=76 hp=44 works=1/1 alive=3 wheel=spin/240 crossings=100 att=12 pros=(18,-7) decoy=-3.3,-26.52
t15 s90 w3 gold=76 hp=44 works=1/1 alive=9 wheel=spin/240 crossings=100 att=12 pros=(1,-23) decoy=-3.3,-26.52
t16 s97 w3 gold=36 hp=44 works=4/4 alive=4 wheel=spin/240 crossings=100 att=12 pros=(-22,-7) decoy=-3.3,-26.52
t17 s99 w3 gold=36 hp=36 works=4/4 alive=6 wheel=spin/240 crossings=100 att=12 pros=(-19,-11) decoy=-3.3,-26.52
t18 s105 w3 gold=36 hp=36 works=4/4 alive=8 wheel=spin/240 crossings=100 att=12 pros=(-10,-22) decoy=-3.3,-26.52
t19 s105 w3 gold=36 hp=36 works=4/4 alive=7 wheel=spin/240 crossings=100 att=12 pros=(-9,-23) decoy=-3.3,-26.52
t20 s105 w3 gold=36 hp=36 works=4/4 alive=7 wheel=spin/240 crossings=100 att=12 pros=(-8,-24) decoy=-3.3,-26.52
t21 s106 w3 gold=36 hp=36 works=4/4 alive=7 wheel=spin/240 crossings=100 att=12 pros=(-6,-23) decoy=-3.3,-26.52
t22 s106 w3 gold=34 hp=36 works=4/4 alive=6 wheel=spin/240 crossings=200 att=12 pros=(-5,-21) decoy=-3.3,-26.52
t23 s107 w3 gold=34 hp=36 works=4/4 alive=6 wheel=spin/240 crossings=200 att=12 pros=(-4,-17) decoy=-3.3,-26.52
t24 s108 w3 gold=34 hp=36 works=4/4 alive=5 wheel=spin/240 crossings=200 att=15 pros=(-3,-13) decoy=-3.3,-26.52
t25 s109 w3 gold=34 hp=36 works=4/4 alive=5 wheel=spin/240 crossings=200 att=15 pros=(-3,-17) decoy=-3.3,-26.52
t26 s110 w3 gold=32 hp=36 works=4/4 alive=5 wheel=spin/240 crossings=200 att=15 pros=(-4,-20) decoy=-3.3,-26.52
t27 s113 w3 gold=62 hp=36 works=4/4 alive=4 wheel=spin/240 crossings=200 att=15 pros=(-2,-6) decoy=-3.3,-26.52
t28 s120 w4 gold=17 hp=36 works=5/5 alive=12 wheel=spin/240 crossings=200 att=15 pros=(-4,-34) decoy=-3.3,-26.52
t29 s126 w4 gold=22 hp=36 works=5/5 alive=8 wheel=spin/240 crossings=200 att=15 pros=(-2,-6) decoy=-3.3,-26.52
t30 s126 w4 gold=47 hp=36 works=5/5 alive=8 wheel=spin/240 crossings=200 att=15 pros=(-2,-6) decoy=-3.3,-26.52
t31 s127 w4 gold=47 hp=36 works=5/5 alive=8 wheel=spin/240 crossings=200 att=15 pros=(-2,-6) decoy=-3.3,-26.52
t32 s127 w4 gold=47 hp=36 works=5/5 alive=8 wheel=spin/240 crossings=200 att=15 pros=(-2,-7) decoy=-3.3,-26.52
t33 s127 w4 gold=47 hp=36 works=5/5 alive=8 wheel=spin/240 crossings=200 att=15 pros=(-2,-7) decoy=-3.3,-26.52
t34 s127 w4 gold=47 hp=36 works=5/5 alive=7 wheel=spin/240 crossings=200 att=15 pros=(-1,-8) decoy=-3.3,-26.52
t35 s128 w4 gold=47 hp=36 works=5/5 alive=5 wheel=spin/240 crossings=200 att=15 pros=(-0,-11) decoy=-3.3,-26.52
t36 s128 w4 gold=47 hp=36 works=5/5 alive=5 wheel=spin/240 crossings=200 att=15 pros=(-0,-12) decoy=-3.3,-26.52
t37 s129 w4 gold=47 hp=28 works=5/5 alive=10 wheel=spin/240 crossings=200 att=15 pros=(1,-15) decoy=-3.3,-26.52
t38 s130 w4 gold=47 hp=20 works=4/5 alive=9 wheel=spin/240 crossings=200 att=15 pros=(2,-20) decoy=-3.3,-26.52
t39 s134 w4 gold=38 hp=12 works=5/5 alive=9 wheel=spin/240 crossings=300 att=18 pros=(-1,-31) decoy=-3.3,-26.52
t40 s134 w4 gold=38 hp=12 works=5/5 alive=9 wheel=spin/240 crossings=300 att=18 pros=(-3,-32) decoy=-3.3,-26.52
t41 s134 w4 gold=38 hp=12 works=5/5 alive=9 wheel=spin/240 crossings=300 att=18 pros=(-3,-32) decoy=-3.3,-26.52
t42 s135 w4 gold=38 hp=12 works=5/5 alive=8 wheel=spin/240 crossings=300 att=18 pros=(0,-29) decoy=-3.3,-26.52
t43 s136 w4 gold=31 hp=12 works=5/5 alive=7 wheel=spin/240 crossings=300 att=18 pros=(3,-27) decoy=-3.3,-26.52
t44 s137 w4 gold=31 hp=4 works=5/5 alive=7 wheel=spin/240 crossings=300 att=18 pros=(0,-30) decoy=-3.3,-26.52
t45 s140 w4 gold=26 hp=4 works=5/5 alive=4 wheel=spin/240 crossings=300 att=18 pros=(-5,-21) decoy=-3.3,-26.52
t46 s149 w4 gold=50 hp=4 works=5/5 alive=4 wheel=spin/240 crossings=300 att=18 pros=(-22,-7) decoy=-3.3,-26.52
t47 s150 w5 gold=50 hp=4 works=5/5 alive=14 wheel=spin/240 crossings=300 att=18 pros=(-19,-9) decoy=-3.3,-26.52
t48 s156 w5 gold=48 hp=4 works=5/5 alive=9 wheel=spin/240 crossings=300 att=18 pros=(-2,-14) decoy=-3.3,-26.52
t49 s156 w5 gold=48 hp=4 works=5/5 alive=8 wheel=spin/240 crossings=300 att=21 pros=(-1,-12) decoy=-3.3,-26.52
t50 s157 w5 gold=48 hp=4 works=5/5 alive=6 wheel=spin/240 crossings=300 att=21 pros=(0,-9) decoy=-3.3,-26.52
t51 s157 w5 gold=48 hp=4 works=5/5 alive=6 wheel=spin/240 crossings=300 att=21 pros=(1,-9) decoy=-3.3,-26.52
t52 s157 w5 gold=48 hp=4 works=5/5 alive=6 wheel=spin/240 crossings=300 att=21 pros=(1,-8) decoy=-3.3,-26.52
t53 s157 w5 gold=48 hp=4 works=5/5 alive=6 wheel=spin/240 crossings=300 att=21 pros=(1,-8) decoy=-3.3,-26.52
t54 s157 w5 gold=48 hp=4 works=5/5 alive=5 wheel=spin/240 crossings=300 att=21 pros=(1,-11) decoy=-3.3,-26.52
