F-1557-3 permission-denied drift distribution
Measured with the original assertions still in place.

mobile-chrome
command: npx playwright test e2e/m4-06-embodiment.spec.ts --grep 'permission-denied receipts' --project=mobile-chrome --repeat-each=30 --workers=1
01 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
02 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
03 [m4-06-denied] driftAbs=0.2833831328784402 gapClosed=0.2823313158299232
04 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
05 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
06 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
07 [m4-06-denied] driftAbs=0.2833831328784402 gapClosed=0.2823313158299232
08 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
09 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
10 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
11 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
12 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
13 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
14 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
15 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
16 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
17 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
18 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
19 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
20 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
21 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
22 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
23 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
24 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
25 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
26 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
27 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
28 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
29 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
30 [m4-06-denied] driftAbs=0.3529334214834294 gapClosed=0.3522530399578141
summary: 30/30 passed
driftAbs min=0.2833831328784402 median=0.3529334214834294 max=0.3529334214834294
gapClosed min=0.2823313158299232 median=0.3522530399578141 max=0.3522530399578141

desktop-chrome
command: npx playwright test e2e/m4-06-embodiment.spec.ts --grep 'permission-denied receipts' --project=desktop-chrome --repeat-each=30 --workers=1
01 [m4-06-denied] driftAbs=0.2833831328784402 gapClosed=0.2823313158299232
02 [m4-06-denied] driftAbs=0.2833831328784402 gapClosed=0.2823313158299232
03 [m4-06-denied] driftAbs=0.2833831328784402 gapClosed=0.2823313158299232
04 [m4-06-denied] driftAbs=0.2833831328784402 gapClosed=0.2823313158299232
