project	run	rc	tally	sample
desktop-chrome	01	0	10 passed (41.9s)	[m4-06-denied] driftAbs=0.30904530412222725 gapClosed=0.30863110994026144 tickBefore=25 tickAfter=49 tickDelta=24 simSecondsDelta=2.1000000000000014
desktop-chrome	02	0	10 passed (41.9s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=26 tickAfter=50 tickDelta=24 simSecondsDelta=2.100000000000002
desktop-chrome	03	0	10 passed (41.6s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=26 tickAfter=50 tickDelta=24 simSecondsDelta=2.100000000000002
desktop-chrome	04	0	10 passed (42.9s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=25 tickAfter=50 tickDelta=25 simSecondsDelta=2.233333333333335
desktop-chrome	05	0	10 passed (41.5s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=24 tickAfter=50 tickDelta=26 simSecondsDelta=2.3666666666666685
desktop-chrome	06	0	10 passed (42.0s)	[m4-06-denied] driftAbs=0.3026763948510024 gapClosed=0.30146923993916985 tickBefore=27 tickAfter=50 tickDelta=23 simSecondsDelta=1.9666666666666686
desktop-chrome	07	0	10 passed (41.7s)	[m4-06-denied] driftAbs=0.30904530412222725 gapClosed=0.30863110994026144 tickBefore=24 tickAfter=49 tickDelta=25 simSecondsDelta=2.2333333333333347
desktop-chrome	08	0	10 passed (41.7s)	[m4-06-denied] driftAbs=0.30904530412222725 gapClosed=0.30863110994026144 tickBefore=25 tickAfter=49 tickDelta=24 simSecondsDelta=2.1000000000000014
desktop-chrome	09	0	10 passed (44.3s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=26 tickAfter=50 tickDelta=24 simSecondsDelta=2.100000000000002
desktop-chrome	10	0	10 passed (41.8s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=25 tickAfter=50 tickDelta=25 simSecondsDelta=2.233333333333335
desktop-chrome	11	0	10 passed (42.3s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=26 tickAfter=50 tickDelta=24 simSecondsDelta=2.100000000000002
desktop-chrome	12	0	10 passed (42.2s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=24 tickAfter=50 tickDelta=26 simSecondsDelta=2.3666666666666685
mobile-chrome	01	0	10 passed (42.0s)	[m4-06-denied] driftAbs=0.3497942252239167 gapClosed=0.34914401122789407 tickBefore=25 tickAfter=49 tickDelta=24 simSecondsDelta=2.1000000000000014
mobile-chrome	02	1	9 passed (38.5s)	[m4-06-denied] driftAbs=0.30904530412222725 gapClosed=0.30863110994026144 tickBefore=25 tickAfter=49 tickDelta=24 simSecondsDelta=2.1000000000000014
mobile-chrome	03	0	10 passed (42.9s)	[m4-06-denied] driftAbs=0.3026763948510024 gapClosed=0.30146923993916985 tickBefore=27 tickAfter=50 tickDelta=23 simSecondsDelta=1.9666666666666686
mobile-chrome	04	0	10 passed (44.8s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=26 tickAfter=50 tickDelta=24 simSecondsDelta=2.100000000000002
mobile-chrome	05	0	10 passed (42.3s)	[m4-06-denied] driftAbs=0.30904530412222725 gapClosed=0.30863110994026144 tickBefore=25 tickAfter=49 tickDelta=24 simSecondsDelta=2.1000000000000014
mobile-chrome	06	0	10 passed (41.5s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=25 tickAfter=50 tickDelta=25 simSecondsDelta=2.233333333333335
mobile-chrome	07	0	10 passed (42.7s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=24 tickAfter=50 tickDelta=26 simSecondsDelta=2.3666666666666685
mobile-chrome	08	0	10 passed (43.5s)	[m4-06-denied] driftAbs=0.3359077254247072 gapClosed=0.33534841091296563 tickBefore=24 tickAfter=49 tickDelta=25 simSecondsDelta=2.2333333333333347
mobile-chrome	09	0	10 passed (42.0s)	[m4-06-denied] driftAbs=0.31888869531546643 gapClosed=0.3184430074749045 tickBefore=24 tickAfter=49 tickDelta=25 simSecondsDelta=2.2333333333333347
mobile-chrome	10	0	10 passed (43.0s)	[m4-06-denied] driftAbs=0.3722002149381437 gapClosed=0.37139096406706074 tickBefore=24 tickAfter=50 tickDelta=26 simSecondsDelta=2.3666666666666685
mobile-chrome	11	0	10 passed (42.4s)	[m4-06-denied] driftAbs=0.30904530412222725 gapClosed=0.30863110994026144 tickBefore=25 tickAfter=49 tickDelta=24 simSecondsDelta=2.1000000000000014
mobile-chrome	12	0	10 passed (42.6s)	[m4-06-denied] driftAbs=0.30904530412222725 gapClosed=0.30863110994026144 tickBefore=26 tickAfter=49 tickDelta=23 simSecondsDelta=1.9666666666666681
