[WebServer] (node:16909) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
[WebServer] (Use `node --trace-warnings ...` to show where the warning was created)

Running 1 test using 1 worker

(node:16936) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)
[f1575-1-sweep] tickDelta=25 driftAbs=0.20359273071502354 gapClosed=0.17194550679238318
[f1575-1-sweep] tickDelta=28 driftAbs=0.2638048521161046 gapClosed=0.2404217782865139
[f1575-1-sweep] tickDelta=31 driftAbs=0.33818633916821633 gapClosed=0.3221285347663567
[f1575-1-sweep] tickDelta=36 driftAbs=0.4076469060351124 gapClosed=0.39655626100640795
[f1575-1-sweep] tickDelta=39 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=43 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=46 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=48 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=49 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=51 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=52 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=54 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=55 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=57 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=58 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=59 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=61 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=63 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=65 driftAbs=0.46503010655225324 gapClosed=0.4570873842971892
[f1575-1-sweep] tickDelta=67 driftAbs=0.4430857704779058 gapClosed=0.4339630823104468
[f1575-1-sweep] tickDelta=68 driftAbs=0.4430857704779058 gapClosed=0.4339630823104468
[f1575-1-sweep] tickDelta=69 driftAbs=0.4430857704779058 gapClosed=0.4339630823104468
[f1575-1-sweep] tickDelta=71 driftAbs=0.37407619544686377 gapClosed=0.3608983899420153
[f1575-1-sweep] tickDelta=72 driftAbs=0.37407619544686377 gapClosed=0.3608983899420153
[f1575-1-sweep] tickDelta=74 driftAbs=0.37407619544686377 gapClosed=0.3608983899420153
[f1575-1-sweep] tickDelta=75 driftAbs=0.37407619544686377 gapClosed=0.3608983899420153
[f1575-1-sweep] tickDelta=76 driftAbs=0.37407619544686377 gapClosed=0.3608983899420153
[f1575-1-sweep] tickDelta=78 driftAbs=0.3008920072052433 gapClosed=0.28151651752283513
[f1575-1-sweep] tickDelta=81 driftAbs=0.27908779980500703 gapClosed=0.2578148733533929
[f1575-1-sweep] tickDelta=84 driftAbs=0.2220923231451277 gapClosed=0.1930182241673677
  ✓  1 [desktop-chrome] › e2e/f1575-1-drift-tick-budget.spec.ts:19:1 › maps denied-receipt drift against the actual simulation tick (2.9s)

  1 passed (6.4s)
