[WebServer] (node:18212) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
[WebServer] (Use `node --trace-warnings ...` to show where the warning was created)

Running 1 test using 1 worker

(node:18213) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)
[f1575-1-sweep] tickDelta=30 driftAbs=0.20912197397691093 gapClosed=0.1323570110712371
[f1575-1-sweep] tickDelta=34 driftAbs=0.25755970181687876 gapClosed=0.2008332825653678
[f1575-1-sweep] tickDelta=39 driftAbs=0.38125713108084813 gapClosed=0.35162371475675336
[f1575-1-sweep] tickDelta=44 driftAbs=0.4361651063530873 gapClosed=0.41351455220634925
[f1575-1-sweep] tickDelta=49 driftAbs=0.4361651063530873 gapClosed=0.41351455220634925
[f1575-1-sweep] tickDelta=51 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=53 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=55 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=56 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=58 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=59 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=61 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=62 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=64 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=65 driftAbs=0.49074025716258407 gapClosed=0.47355328710888056
[f1575-1-sweep] tickDelta=67 driftAbs=0.42238371180716683 gapClosed=0.3983592630598949
[f1575-1-sweep] tickDelta=68 driftAbs=0.42238371180716683 gapClosed=0.3983592630598949
[f1575-1-sweep] tickDelta=70 driftAbs=0.42238371180716683 gapClosed=0.3983592630598949
[f1575-1-sweep] tickDelta=71 driftAbs=0.42238371180716683 gapClosed=0.3983592630598949
[f1575-1-sweep] tickDelta=73 driftAbs=0.36940086626861013 gapClosed=0.3378254962387768
[f1575-1-sweep] tickDelta=75 driftAbs=0.36940086626861013 gapClosed=0.3378254962387768
[f1575-1-sweep] tickDelta=76 driftAbs=0.36940086626861013 gapClosed=0.3378254962387768
[f1575-1-sweep] tickDelta=78 driftAbs=0.3143580760852181 gapClosed=0.27272669569611274
[f1575-1-sweep] tickDelta=79 driftAbs=0.3143580760852181 gapClosed=0.27272669569611274
[f1575-1-sweep] tickDelta=81 driftAbs=0.3143580760852181 gapClosed=0.27272669569611274
[f1575-1-sweep] tickDelta=82 driftAbs=0.3143580760852181 gapClosed=0.27272669569611274
[f1575-1-sweep] tickDelta=83 driftAbs=0.3143580760852181 gapClosed=0.27272669569611274
[f1575-1-sweep] tickDelta=84 driftAbs=0.2952964612046678 gapClosed=0.2495072397007796
[f1575-1-sweep] tickDelta=88 driftAbs=0.24606503205453567 gapClosed=0.1851926665275787
[f1575-1-sweep] tickDelta=90 driftAbs=0.19343732835210437 gapClosed=0.10593916566754125
  ✓  1 [mobile-chrome] › e2e/f1575-1-drift-tick-budget.spec.ts:19:1 › maps denied-receipt drift against the actual simulation tick (2.9s)

  1 passed (4.2s)
