[WebServer] (node:73396) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
[WebServer] (Use `node --trace-warnings ...` to show where the warning was created)

Running 4 tests using 1 worker

(node:73397) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)
[f1577-3-sweep] tickBefore=35 tickDelta=1 driftAbs=0 gapClosed=0 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=2 driftAbs=0 gapClosed=0 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=3 driftAbs=0 gapClosed=0 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=4 driftAbs=0 gapClosed=0 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=5 driftAbs=0.023345235059858947 gapClosed=0.014705178924725004 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=6 driftAbs=0.023345235059858947 gapClosed=0.014705178924725004 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=7 driftAbs=0.023345235059858947 gapClosed=0.014705178924725004 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=8 driftAbs=0.023345235059858947 gapClosed=0.014705178924725004 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=9 driftAbs=0.023345235059858947 gapClosed=0.014705178924725004 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=10 driftAbs=0.023345235059858947 gapClosed=0.014705178924725004 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=11 driftAbs=0.04617358552246125 gapClosed=0.03364888823019285 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=12 driftAbs=0.04617358552246125 gapClosed=0.03364888823019285 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=13 driftAbs=0.04617358552246125 gapClosed=0.03364888823019285 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=14 driftAbs=0.04617358552246125 gapClosed=0.03364888823019285 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=15 driftAbs=0.04617358552246125 gapClosed=0.03364888823019285 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=16 driftAbs=0.04617358552246125 gapClosed=0.03364888823019285 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=17 driftAbs=0.06854195795277579 gapClosed=0.054228404549688136 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=18 driftAbs=0.06854195795277579 gapClosed=0.054228404549688136 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=19 driftAbs=0.06854195795277579 gapClosed=0.054228404549688136 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=20 driftAbs=0.06854195795277579 gapClosed=0.054228404549688136 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=21 driftAbs=0.09082400563727634 gapClosed=0.07645538015791864 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=22 driftAbs=0.09082400563727634 gapClosed=0.07645538015791864 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=23 driftAbs=0.09082400563727634 gapClosed=0.07645538015791864 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=24 driftAbs=0.09082400563727634 gapClosed=0.07645538015791864 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=25 driftAbs=0.11320777358467934 gapClosed=0.09906937440475794 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=26 driftAbs=0.11320777358467934 gapClosed=0.09906937440475794 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=27 driftAbs=0.11320777358467934 gapClosed=0.09906937440475794 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=28 driftAbs=0.11320777358467934 gapClosed=0.09906937440475794 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=29 driftAbs=0.13484806264830163 gapClosed=0.12159082224840567 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=30 driftAbs=0.13484806264830163 gapClosed=0.12159082224840567 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=31 driftAbs=0.13484806264830163 gapClosed=0.12159082224840567 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=32 driftAbs=0.13484806264830163 gapClosed=0.12159082224840567 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=33 driftAbs=0.15743252522906484 gapClosed=0.1449868863962518 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=34 driftAbs=0.15743252522906484 gapClosed=0.1449868863962518 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=35 driftAbs=0.15743252522906484 gapClosed=0.1449868863962518 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=36 driftAbs=0.15743252522906484 gapClosed=0.1449868863962518 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=37 driftAbs=0.17875122377203545 gapClosed=0.1674181313591223 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=38 driftAbs=0.17875122377203545 gapClosed=0.1674181313591223 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=39 driftAbs=0.17875122377203545 gapClosed=0.1674181313591223 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=40 driftAbs=0.17875122377203545 gapClosed=0.1674181313591223 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=41 driftAbs=0.20099751242241898 gapClosed=0.1907254328814929 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=42 driftAbs=0.20099751242241898 gapClosed=0.1907254328814929 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=43 driftAbs=0.20099751242241898 gapClosed=0.1907254328814929 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=44 driftAbs=0.2227487373701593 gapClosed=0.21355085718728617 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=45 driftAbs=0.2227487373701593 gapClosed=0.21355085718728617 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=46 driftAbs=0.2227487373701593 gapClosed=0.21355085718728617 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=47 driftAbs=0.2227487373701593 gapClosed=0.21355085718728617 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=48 driftAbs=0.24541597340026583 gapClosed=0.23725253195014595 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=49 driftAbs=0.24541597340026583 gapClosed=0.23725253195014595 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=50 driftAbs=0.24541597340026583 gapClosed=0.23725253195014595 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=51 driftAbs=0.24541597340026583 gapClosed=0.23725253195014595 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=52 driftAbs=0.2675892374517341 gapClosed=0.260472199257455 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=53 driftAbs=0.2675892374517341 gapClosed=0.260472199257455 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=54 driftAbs=0.2675892374517341 gapClosed=0.260472199257455 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=55 driftAbs=0.2675892374517341 gapClosed=0.260472199257455 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=56 driftAbs=0.2899327508233599 gapClosed=0.2836916413827506 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=57 driftAbs=0.2899327508233599 gapClosed=0.2836916413827506 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=58 driftAbs=0.2899327508233599 gapClosed=0.2836916413827506 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=59 driftAbs=0.3124099870362668 gapClosed=0.3069108564082814 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=60 driftAbs=0.3124099870362668 gapClosed=0.3069108564082814 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=61 driftAbs=0.3124099870362668 gapClosed=0.3069108564082814 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=62 driftAbs=0.3124099870362668 gapClosed=0.3069108564082814 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=63 driftAbs=0.33436806067565816 gapClosed=0.32964733073389496 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=64 driftAbs=0.33436806067565816 gapClosed=0.32964733073389496 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=65 driftAbs=0.33436806067565816 gapClosed=0.32964733073389496 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=66 driftAbs=0.33436806067565816 gapClosed=0.32964733073389496 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=67 driftAbs=0.33436806067565816 gapClosed=0.32964733073389496 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=68 driftAbs=0.3570504166080759 gapClosed=0.35286593776929465 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=69 driftAbs=0.3570504166080759 gapClosed=0.35286593776929465 timeBefore=2.4666666666666655
[f1577-3-sweep] tickBefore=35 tickDelta=70 driftAbs=0.3570504166080759 gapClosed=0.35286593776929465 timeBefore=2.4666666666666655
  ✓  1 [mobile-chrome] › e2e/f1575-1-drift-tick-budget.spec.ts:61:3 › maps denied-receipt drift at fixed start phase P=35 (2.0s)
[f1577-3-sweep] tickBefore=39 tickDelta=1 driftAbs=0 gapClosed=0 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=2 driftAbs=0 gapClosed=0 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=3 driftAbs=0.023853720883753086 gapClosed=0.02378940886207559 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=4 driftAbs=0.023853720883753086 gapClosed=0.02378940886207559 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=5 driftAbs=0.023853720883753086 gapClosed=0.02378940886207559 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=6 driftAbs=0.023853720883753086 gapClosed=0.02378940886207559 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=7 driftAbs=0.047169905660283236 gapClosed=0.047096687374256874 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=8 driftAbs=0.047169905660283236 gapClosed=0.047096687374256874 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=9 driftAbs=0.047169905660283236 gapClosed=0.047096687374256874 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=10 driftAbs=0.047169905660283236 gapClosed=0.047096687374256874 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=11 driftAbs=0.06997142273814344 gapClosed=0.06992211161217377 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=12 driftAbs=0.06997142273814344 gapClosed=0.06992211161217377 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=13 driftAbs=0.06997142273814344 gapClosed=0.06992211161217377 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=14 driftAbs=0.09278469701410931 gapClosed=0.09274753584908169 timeBefore=3.499999999999998
[f1577-3-sweep] tickBefore=39 tickDelta=15 driftAbs=0.09278469701410931 gapClosed=0.09274753584908169 timeBefore=3.499999999999998
