ITEM	TYPE	VERDICT	EVIDENCE
F-1101-1	finding	OPEN-DESK-ONLY	3123, 3284, 3301
F-1501-3	finding	OPEN-DESK-ONLY	659
F-2062-1	finding	OPEN-DESK-ONLY	7
F-2063-2	finding	OPEN-DESK-ONLY	5
F-2054-1	finding	OPEN-DESK-ONLY	28
F-1659-1	finding	OPEN-DESK-ONLY	206
F-1657-3	finding	OPEN-DESK-ONLY	186
F-1656-3	finding	OPEN-DESK-ONLY	192
F-1653-2	finding	OPEN-DESK-ONLY	199
F-1648-1	finding	OPEN-DESK-ONLY	204
F-1640-1	finding	OPEN-DESK-ONLY	211
F-1637-2	finding	OPEN-DESK-ONLY	3943
F-1625-4	finding	OPEN-DESK-ONLY	3912
F-1617-1	finding	OPEN-DESK-ONLY	3885
F-DOOR-6	finding	OPEN-DESK-ONLY	390
F-1608-2	finding	OPEN-DESK-ONLY	330
F-1193-3	finding	OPEN-DESK-ONLY	334, 335, 401, 3567
F-1601-1	finding	OPEN-DESK-ONLY	346
F-1510-1	finding	OPEN-DESK-ONLY	601
F-E2S-3	finding	OPEN-DESK-ONLY	339, 499
F-1536-2	finding	OPEN-DESK-ONLY	555
F-1591-1	finding	OPEN-DESK-ONLY	374
F-1507-1	finding	OPEN-DESK-ONLY	630
F-E2S-4	finding	OPEN-DESK-ONLY	340, 382

CLOSED=0 · OPEN=0 · BOTH=0 · OPEN-DESK-ONLY=24 · UNRECORDED=0
