w0 t=0 gold=0 hp=100/100 lvl=1 works=5/5 threats=0 {"sentry_beacon":3,"lantern_post":2}
w0 t=20 gold=5 hp=100/100 lvl=1 works=7/7 threats=5 {"sentry_beacon":3,"palisade":2,"lantern_post":2}
w0 t=21 gold=10 hp=100/100 lvl=1 works=7/7 threats=5 {"sentry_beacon":3,"palisade":2,"lantern_post":2}
w0 t=22 gold=10 hp=100/100 lvl=1 works=7/7 threats=4 {"sentry_beacon":3,"palisade":2,"lantern_post":2}
w0 t=22 gold=10 hp=100/100 lvl=1 works=7/7 threats=5 {"sentry_beacon":3,"palisade":2,"lantern_post":2}
w0 t=23 gold=0 hp=100/100 lvl=1 works=8/8 threats=5 {"sentry_beacon":3,"palisade":3,"lantern_post":2}
w0 t=24 gold=0 hp=100/100 lvl=1 works=7/8 threats=6 {"sentry_beacon":3,"palisade":3,"lantern_post":2}
w0 t=26 gold=5 hp=100/100 lvl=1 works=7/8 threats=6 {"sentry_beacon":3,"palisade":3,"lantern_post":2}
w0 t=27 gold=10 hp=100/100 lvl=1 works=7/8 threats=6 {"sentry_beacon":3,"palisade":3,"lantern_post":2}
w0 t=27 gold=10 hp=100/100 lvl=1 works=7/8 threats=6 {"sentry_beacon":3,"palisade":3,"lantern_post":2}
w0 t=28 gold=10 hp=100/100 lvl=1 works=7/8 threats=6 {"sentry_beacon":3,"palisade":3,"lantern_post":2}
w0 t=29 gold=0 hp=100/100 lvl=1 works=8/9 threats=7 {"sentry_beacon":3,"palisade":4,"lantern_post":2}
w0 t=30 gold=0 hp=100/100 lvl=1 works=8/9 threats=7 {"sentry_beacon":3,"palisade":4,"lantern_post":2}
w1 t=30 gold=0 hp=100/100 lvl=1 works=8/9 threats=11 {"sentry_beacon":3,"palisade":4,"lantern_post":2}
w1 t=31 gold=5 hp=100/100 lvl=1 works=7/9 threats=11 {"sentry_beacon":3,"palisade":4,"lantern_post":2}
w1 t=32 gold=10 hp=100/100 lvl=1 works=7/9 threats=11 {"sentry_beacon":3,"palisade":4,"lantern_post":2}
w1 t=33 gold=0 hp=100/100 lvl=1 works=8/10 threats=11 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=49 gold=25 hp=100/100 lvl=1 works=8/10 threats=13 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=50 gold=25 hp=100/100 lvl=1 works=8/10 threats=14 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=51 gold=25 hp=100/100 lvl=1 works=8/10 threats=14 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
w1 t=52 gold=25 hp=100/100 lvl=1 works=8/10 threats=15 {"sentry_beacon":3,"palisade":5,"lantern_post":2}
