t=0 w=0 gold=0 hp=100/100 beacons=0 pal=0 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=0 -> [{"verb":"SET_WEAPON","weapon":"blast"},{"verb":"BUILD","what":"palisade","where":{"x":-15.6,"z":34},"when":{"goldGte":8}},{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-22,"z":34}}]
t=28.47 w=0 gold=15 hp=36/100 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=long_resonator,double_tap_coil,quick_fuse threats=6 -> [{"verb":"PICK_UPGRADE","id":"quick_fuse"},{"verb":"BUILD","what":"palisade","where":{"x":-15.6,"z":34},"when":{"goldGte":23}},{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-22,"z":34}}]
t=30 w=1 gold=20 hp=28/100 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=11 -> [{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=60.03 w=2 gold=50 hp=20/100 beacons=0 pal=1 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=15 -> [{"verb":"BUILD","what":"palisade","where":{"x":15.6,"z":34},"when":{"goldGte":58}},{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HOLD","pos":{"x":22,"z":34}}]
t=90.03 w=3 gold=70 hp=20/100 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=21 -> [{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":34,"z":30}}]
t=115.8 w=3 gold=100 hp=20/100 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=heavy_spark,tinkers_plating,long_resonator threats=18 -> [{"verb":"PICK_UPGRADE","id":"tinkers_plating"},{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=120.03 w=4 gold=100 hp=45/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=23 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=124.5 w=4 gold=100 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=21 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=124.83 w=4 gold=100 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=21 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=125.4 w=4 gold=100 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=21 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
t=125.73 w=4 gold=100 hp=21/125 beacons=0 pal=2 conn={"powered":0,"required":2,"byWave":6,"complete":false,"failed":false} offer=- threats=21 -> [{"verb":"HARVEST","seam":"gold-seam-2"},{"verb":"HARVEST","seam":"gold-seam-1"},{"verb":"HOLD","pos":{"x":-34,"z":30}}]
