  1 t=     0 w 0 g=   0 pan=    0 hp=  100/100 hero=(0,12) alv= 0 wr=0 th=0 st=0 wk=0 {}
  2 t=   5.8 w 0 g=  30 pan=   30 hp=  100/100 hero=(0,12) alv= 0 wr=0 th=0 st=0 wk=0 {}
  3 t=  14.4 w 0 g=  60 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=0 wk=0 {}
  4 t= 14.47 w 0 g=  60 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=0 wk=0 {}
  5 t= 20.77 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  6 t= 20.93 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  7 t=  21.1 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  8 t=  21.3 w 0 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 3 wr=0 th=0 st=1 wk=0 {"turret":1}
  9 t=    30 w 1 g=  10 pan=   60 hp=  100/100 hero=(0,12) alv= 7 wr=0 th=0 st=1 wk=0 {"turret":1}
 10 t= 31.93 w 1 g=  40 pan=   90 hp=  100/100 hero=(0,12) alv= 7 wr=0 th=0 st=1 wk=0 {"turret":1}
 11 t= 60.03 w 2 g=  29 pan=  104 hp=  100/100 hero=(0,12) alv=17 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 12 t=  63.9 w 2 g=  45 pan=  120 hp=  100/100 hero=(0,12) alv=14 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 13 t= 67.97 w 2 g=  75 pan=  150 hp=  100/100 hero=(0,12) alv=10 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 14 t= 68.03 w 2 g=  75 pan=  150 hp=  100/100 hero=(0,12) alv=14 wr=0 th=0 st=2 wk=0 {"sentry_beacon":1,"turret":1}
 15 t= 90.03 w 3 g=   5 pan=  150 hp=  100/100 hero=(0,12) alv=11 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 16 t=  95.9 w 3 g=  35 pan=  180 hp=  100/100 hero=(0,12) alv= 5 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 17 t=  99.4 w 3 g=  65 pan=  210 hp=  100/100 hero=(0,12) alv= 6 wr=0 th=0 st=3 wk=0 {"sentry_beacon":1,"turret":2}
 18 t=120.03 w 4 g=   5 pan=  210 hp=  100/100 hero=(0,12) alv=14 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 19 t=121.33 w 4 g=   5 pan=  210 hp=  100/100 hero=(0,12) alv=11 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2} OFFER
 20 t=122.57 w 4 g=  35 pan=  240 hp=  100/100 hero=(0,12) alv=10 wr=0 th=2 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 21 t=125.17 w 4 g=  35 pan=  240 hp=  100/100 hero=(0,12) alv= 6 wr=0 th=0 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2} OFFER
 22 t=126.47 w 4 g=  65 pan=  270 hp=  100/100 hero=(0,12) alv= 5 wr=0 th=0 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 23 t= 130.2 w 4 g=  65 pan=  270 hp=  100/100 hero=(0,12) alv=10 wr=2 th=1 st=4 wk=0 {"sentry_beacon":1,"stockpile":1,"turret":2}
 24 t= 132.7 w 4 g=   5 pan=  270 hp=  100/100 hero=(0,12) alv= 8 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 25 t=138.13 w 4 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv= 3 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 26 t=150.03 w 5 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv=10 wr=0 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 27 t=151.17 w 5 g=   5 pan=  270 hp=  125/125 hero=(0,12) alv= 9 wr=0 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2} OFFER
 28 t=154.23 w 5 g=  35 pan=  300 hp=  125/125 hero=(0,12) alv= 6 wr=0 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 29 t=157.93 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 2 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 30 t=   158 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 2 wr=0 th=0 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 31 t=158.03 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 32 t=158.07 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 33 t=   159 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 34 t=159.03 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv=10 wr=2 th=2 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 35 t= 160.1 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 36 t=160.13 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 37 t=160.17 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 38 t= 160.2 w 5 g=  65 pan=  330 hp=  125/125 hero=(0,12) alv= 9 wr=1 th=1 st=5 wk=0 {"sentry_beacon":1,"stockpile":2,"turret":2}
 39 t=163.93 w 5 g=  25 pan=  330 hp=  125/125 hero=(0,12) alv= 7 wr=1 th=0 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2} OFFER
 40 t=180.03 w 6 g=  34 pan=  330 hp=  125/125 hero=(0,12) alv=16 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 41 t=180.27 w 6 g=  34 pan=  330 hp=  125/125 hero=(0,12) alv=14 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2} OFFER
 42 t= 182.4 w 6 g=  67 pan=  360 hp=  150/150 hero=(0,12) alv=12 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 43 t=182.43 w 6 g=  67 pan=  360 hp=  150/150 hero=(0,12) alv=12 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 44 t=182.47 w 6 g=  67 pan=  360 hp=  150/150 hero=(0,12) alv=12 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 45 t=182.53 w 6 g=  67 pan=  360 hp=  150/150 hero=(0,12) alv=12 wr=0 th=2 st=6 wk=0 {"sentry_beacon":1,"sluice":1,"stockpile":2,"turret":2}
 46 t=189.23 w 6 g=  65 pan=  390 hp=  150/150 hero=(0,12) alv=13 wr=2 th=2 st=7 wk=0 {"sentry_beacon":2,"sluice":1,"stockpile":2,"turret":2}
 47 t= 194.3 w 6 g=  68 pan=  390 hp=  150/150 hero=(0,12) alv=14 wr=1 th=2 st=7 wk=0 {"sentry_beacon":2,"sluice":1,"stockpile":2,"turret":2}
 48 t=194.97 w 6 g=  23 pan=  390 hp=  150/150 hero=(0,12) alv=12 wr=0 th=1 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 49 t=210.03 w 7 g=  32 pan=  390 hp=  150/150 hero=(0,12) alv=22 wr=0 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 50 t= 215.7 w 7 g=  56 pan=  411 hp=  150/150 hero=(0,12) alv=16 wr=0 th=1 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 51 t=219.23 w 7 g=  89 pan=  441 hp=  150/150 hero=(0,12) alv=22 wr=2 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 52 t=221.13 w 7 g=  89 pan=  441 hp=  150/150 hero=(0,12) alv=21 wr=2 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 53 t=222.63 w 7 g=  98 pan=  450 hp=  150/150 hero=(0,12) alv=18 wr=1 th=1 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 54 t=227.23 w 7 g= 101 pan=  450 hp=  150/150 hero=(0,12) alv=14 wr=1 th=0 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 55 t=240.03 w 8 g= 107 pan=  450 hp=  175/175 hero=(0,12) alv=25 wr=0 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 56 t=241.97 w 8 g= 137 pan=  480 hp=  175/175 hero=(0,12) alv=24 wr=0 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 57 t= 247.6 w 8 g=  51 pan=  501 hp=  175/175 hero=(3.3,16.9) alv=15 wr=0 th=1 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 58 t= 248.9 w 8 g=  63 pan=  510 hp=  175/175 hero=(0.1,12.2) alv=26 wr=2 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 59 t= 262.1 w 8 g=  69 pan=  510 hp=  175/175 hero=(0.1,12.2) alv=15 wr=0 th=0 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 60 t=   268 w 8 g=  99 pan=  540 hp=  175/175 hero=(0.1,12.2) alv=14 wr=0 th=0 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 61 t=270.03 w 9 g= 102 pan=  540 hp=  175/175 hero=(0.1,12.2) alv=31 wr=0 th=3 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 62 t=   273 w 9 g= 132 pan=  570 hp=  175/175 hero=(0.1,12.2) alv=27 wr=0 th=3 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 63 t=281.63 w 9 g=  26 pan=  570 hp=  159/175 hero=(-2.4,16.9) alv=30 wr=2 th=3 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 64 t=282.37 w 9 g=  26 pan=  570 hp=  159/175 hero=(-0.7,13.5) alv=28 wr=1 th=3 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 65 t=   300 w10 g=  33 pan=  570 hp=  159/175 hero=(-0.1,12.3) alv=38 wr=0 th=3 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 66 t= 303.5 w10 g=  33 pan=  570 hp=  159/175 hero=(-0.1,12.3) alv=34 wr=0 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 67 t=309.07 w10 g=  49 pan=  600 hp=  151/175 hero=(-0.1,12.3) alv=37 wr=2 th=3 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 68 t=316.23 w10 g=  59 pan=  630 hp=  151/175 hero=(-0.1,12.3) alv=33 wr=1 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
 69 t= 319.2 w10 g=  62 pan=  630 hp=  151/175 hero=(-0.1,12.3) alv=30 wr=0 th=2 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2} OFFER
 70 t=   330 w11 g=  65 pan=  630 hp=  151/175 hero=(-0.1,12.3) alv=49 wr=0 th=3 st=8 wk=0 {"sentry_beacon":3,"sluice":1,"stockpile":2,"turret":2}
