v	t	wave	gold	pan	stolen	hp	maxHp	hx	hz	alive	wr	th	stand	wrecked	kinds	offer	sec
1	0	0	0	0	0	100	100	0	12	0	0	0	0	7	{"lantern_post":7}	0	0
2	30	1	0	0	0	100	100	0	12	7	0	0	0	7	{"lantern_post":7}	0	0
3	40.3	1	0	0	0	95.2	100	0	12	3	0	0	0	7	{"lantern_post":7}	3	0
4	60	2	0	0	0	95.2	100	0	12	8	0	0	0	7	{"lantern_post":7}	3	0
5	90	3	0	0	0	90.4	100	0	12	10	0	0	0	7	{"lantern_post":7}	0	0
6	98.7	3	0	0	0	88.8	100	0	12	10	0	0	0	7	{"lantern_post":7}	3	0
7	118.7	3	0	0	0	53.6	100	0	12	5	0	0	0	7	{"lantern_post":7}	3	0
8	120	4	0	0	0	53.6	100	0	12	13	0	0	0	7	{"lantern_post":7}	3	0
9	138.7	4	0	0	0	26.4	100	0	12	12	0	0	0	7	{"lantern_post":7}	3	0
10	147.9	4	0	0	0	0	100	0	12	11	0	0	0	7	{"lantern_post":7}	3	0
