t	wave	gold	pan	warmth	alight	squalls	phase	nextIn	hp	hx	hz	px	pz	alive	works	wrecked	psec	offer	note	fails
0	0	0	0	100	true		calm		100	3	-10	1.2	-11.1	0	0	0			w100 calm g0 stk0 p1=99 laid=0	
23.5	0	40	40	100	true		calm		100	3	-12.3	-38	-22	3	0	0			w100 calm g40 stk0 p1=99 laid=0	HARVEST:INVALID_TARGET: gold-seam-3 is unavailab
23.5	0	40	40	100	true		calm		100	3	-12.3	-38	-22	3	0	0			w100 calm g40 stk0 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
30	1	60	60	100	true		calm		100	3	-12.3	-44.5	-17.9	7	0	0			w100 calm g60 stk0 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
31.7	1	65	65	100	true		calm		100	3	-12.3	-38	-22	6	0	0			w100 calm g65 stk0 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-2 is unavailab
35.8	1	90	90	100	true		calm		100	3	-12.3	-54	-12	5	0	0			w100 calm g90 stk0 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-1 is unavailab
60	2	90	90	100	true		telegraph		100	3	-12.3	1.3	-13.4	9	0	0			w100 telegraph g90 stk0 p1=12 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
73.9	2	130	130	76.4	true		squall		100	3	-12.3	-20	-34	7	0	0			w76.4 squall g130 stk0 p1=3 laid=3 B:turret	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-2 is unavailab
90	3	80	145	51.9	true		squall		100	3	-12.3	-37.5	-22.7	8	1	0			w51.867 squall g80 stk1 p1=0 laid=2 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
90.2	3	65	145	91.3	true		squall		100	3	-12.3	-38	-22.4	8	1	0			w91.333 squall g65 stk2 p1=6 laid=3	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:UNREACHABLE: BUILD target is outside bui
111.4	3	85	180	100	true		calm		100	3	-12.3	-54	-12	3	1	0			w100 calm g85 stk3 p1=99 laid=0 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; HARVEST:INVALID_TARGET: gold-seam-1 is unavailab
111.5	3	85	180	100	true		calm		100	3	-12.3	-54	-12	3	1	0			w100 calm g85 stk3 p1=99 laid=0 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:UNREACHABLE: BUILD target is outside bui
111.6	3	85	180	100	true		calm		100	3	-12.3	-54	-12	3	1	0			w100 calm g85 stk3 p1=99 laid=0 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:UNREACHABLE: BUILD target is outside bui
111.6	3	85	180	100	true		calm		100	3	-12.3	-54	-12	3	1	0			w100 calm g85 stk3 p1=99 laid=0 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is ; BUILD:UNREACHABLE: BUILD target is outside bui
119.3	3	85	180	100	true		calm		100	3	-12.3	-17.4	-8.2	2	1	0		heavy_spark|split_spark|prospectors_luck	w100 calm g85 stk3 p1=99 laid=0 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
120	4	85	180	100	true		calm		100	3	-12.3	-14.1	-7.8	11	1	0			w100 calm g85 stk3 p1=99 laid=0 B:sentry_beacon	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
124.6	4	60	180	100	true		calm		100	3	-12.3	-12.3	-10.8	6	2	0		spring_heels|quick_fuse|heavy_spark	w100 calm g60 stk3 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
131.3	4	75	195	100	true		calm		100	3	-12.3	-22.6	-23	7	2	0		long_resonator|heavy_spark|split_spark	w100 calm g75 stk3 p1=99 laid=0	MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is
