v1 t=0 w=0 g=0 pan=0 hp=100/100 hero=(0,-44) pro=(-1.8,-45.1) alive=0 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v2 t=23.7 w=0 g=60 pan=60 hp=100/100 hero=(-25.8,-8.2) pro=(-34,30) alive=2 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v3 t=23.8 w=0 g=60 pan=60 hp=100/100 hero=(-25.8,-8.2) pro=(-34,30) alive=2 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v4 t=23.9 w=0 g=60 pan=60 hp=100/100 hero=(-25.8,-8.2) pro=(-34,30) alive=2 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v5 t=24 w=0 g=60 pan=60 hp=100/100 hero=(-25.8,-8.2) pro=(-34,30) alive=3 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v6 t=30 w=1 g=60 pan=60 hp=100/100 hero=(-25.8,-8.2) pro=(-31.6,15.1) alive=7 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v7 t=60 w=2 g=60 pan=60 hp=100/100 hero=(-25.8,-8.2) pro=(-27.5,-9.3) alive=12 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v8 t=76.9 w=2 g=120 pan=120 hp=84/100 hero=(-25.8,-8.2) pro=(34,30) alive=13 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v9 t=77 w=2 g=120 pan=120 hp=84/100 hero=(-25.8,-8.2) pro=(34,30) alive=13 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v10 t=90 w=3 g=120 pan=120 hp=84/100 hero=(-25.8,-8.2) pro=(5.3,11.6) alive=24 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v11 t=99.2 w=3 g=120 pan=120 hp=84/100 hero=(-25.8,-8.2) pro=(-16.3,-2.2) alive=26 wr=0 works=2/0 {"lantern_post":2} cc=0/2 PO
v12 t=116.6 w=3 g=180 pan=180 hp=68/100 hero=(-25.8,-8.2) pro=(22,34) alive=26 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v13 t=116.7 w=3 g=180 pan=180 hp=68/100 hero=(-25.8,-8.2) pro=(22,34) alive=26 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v14 t=120 w=4 g=180 pan=180 hp=68/100 hero=(-25.8,-8.2) pro=(16.6,29.3) alive=34 wr=2 works=2/0 {"lantern_post":2} cc=0/2
v15 t=124.5 w=4 g=180 pan=180 hp=68/100 hero=(-25.8,-8.2) pro=(7.3,21.1) alive=33 wr=2 works=2/0 {"lantern_post":2} cc=0/2
v16 t=124.8 w=4 g=180 pan=180 hp=68/100 hero=(-25.8,-8.2) pro=(6.6,20.5) alive=32 wr=2 works=2/0 {"lantern_post":2} cc=0/2
v17 t=125.4 w=4 g=180 pan=180 hp=68/100 hero=(-25.8,-8.2) pro=(5.4,19.4) alive=32 wr=2 works=2/0 {"lantern_post":2} cc=0/2
v18 t=125.7 w=4 g=180 pan=180 hp=68/100 hero=(-25.8,-8.2) pro=(4.7,18.8) alive=32 wr=2 works=1/1 {"lantern_post":2} cc=0/2
v19 t=130.7 w=4 g=180 pan=180 hp=44/100 hero=(-25.8,-8.2) pro=(-5.6,9.8) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2 PO
v20 t=132 w=4 g=180 pan=180 hp=44/100 hero=(-25.8,-8.2) pro=(-10.7,13.2) alive=36 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v21 t=132.5 w=4 g=180 pan=180 hp=44/100 hero=(-25.8,-8.2) pro=(-12.8,14.7) alive=36 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v22 t=132.9 w=4 g=180 pan=180 hp=44/100 hero=(-25.8,-8.2) pro=(-14.2,15.7) alive=36 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v23 t=133.4 w=4 g=180 pan=180 hp=44/100 hero=(-25.8,-8.2) pro=(-16.3,17.2) alive=37 wr=4 works=0/2 {"lantern_post":2} cc=0/2
v24 t=141.3 w=4 g=211 pan=215 hp=28/100 hero=(-25.8,-8.2) pro=(-22,34) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v25 t=141.5 w=4 g=236 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-22,34) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v26 t=143.9 w=4 g=236 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-22.7,30.1) alive=34 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v27 t=144.5 w=4 g=236 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-25.5,30.7) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v28 t=144.8 w=4 g=236 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-26.9,30.9) alive=34 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v29 t=145.4 w=4 g=236 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-29.7,31.5) alive=34 wr=4 works=0/2 {"lantern_post":2} cc=0/2
v30 t=146.1 w=4 g=232 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-31.9,31.4) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v31 t=146.7 w=4 g=230 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v32 t=147 w=4 g=228 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=34 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v33 t=147.6 w=4 g=226 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v34 t=147.9 w=4 g=224 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v35 t=148.5 w=4 g=222 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v36 t=148.8 w=4 g=220 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=34 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v37 t=149.4 w=4 g=218 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v38 t=149.7 w=4 g=216 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=35 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v39 t=150 w=5 g=214 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v40 t=150.3 w=5 g=212 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v41 t=150.6 w=5 g=210 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v42 t=151.2 w=5 g=208 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v43 t=151.5 w=5 g=206 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v44 t=152.1 w=5 g=204 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v45 t=152.4 w=5 g=202 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v46 t=153 w=5 g=200 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v47 t=153.3 w=5 g=198 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v48 t=153.9 w=5 g=196 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v49 t=154.1 w=5 g=194 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v50 t=154.2 w=5 g=192 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v51 t=154.2 w=5 g=190 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=44 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v52 t=154.7 w=5 g=188 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=43 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v53 t=154.8 w=5 g=186 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=43 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v54 t=155 w=5 g=184 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=43 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v55 t=155.1 w=5 g=182 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=43 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v56 t=155.1 w=5 g=180 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=43 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v57 t=155.6 w=5 g=178 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=43 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v58 t=155.7 w=5 g=176 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=43 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v59 t=155.9 w=5 g=174 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=42 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v60 t=156 w=5 g=172 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=42 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v61 t=156 w=5 g=170 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=42 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v62 t=156.5 w=5 g=168 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=42 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v63 t=156.6 w=5 g=166 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=42 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v64 t=156.8 w=5 g=164 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=42 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v65 t=156.9 w=5 g=162 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=42 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v66 t=156.9 w=5 g=160 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=42 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v67 t=157.4 w=5 g=158 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=41 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v68 t=157.5 w=5 g=156 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=41 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v69 t=157.6 w=5 g=154 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=41 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v70 t=157.7 w=5 g=152 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=41 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v71 t=157.8 w=5 g=150 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=41 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v72 t=157.8 w=5 g=148 pan=240 hp=28/100 hero=(-25.8,-8.2) pro=(-32,32) alive=41 wr=7 works=1/1 {"lantern_post":2} cc=0/2
v73 t=158.3 w=5 g=146 pan=240 hp=20/100 hero=(-25.8,-8.2) pro=(-32,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v74 t=158.4 w=5 g=144 pan=240 hp=20/100 hero=(-25.8,-8.2) pro=(-32,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v75 t=158.5 w=5 g=142 pan=240 hp=20/100 hero=(-25.8,-8.2) pro=(-32,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v76 t=158.6 w=5 g=140 pan=240 hp=20/100 hero=(-25.8,-8.2) pro=(-32,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v77 t=158.7 w=5 g=138 pan=240 hp=20/100 hero=(-25.8,-8.2) pro=(-31.8,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v78 t=158.7 w=5 g=136 pan=240 hp=20/100 hero=(-25.8,-8.2) pro=(-32,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v79 t=159.2 w=5 g=136 pan=240 hp=12/100 hero=(-25.8,-8.2) pro=(-30.1,32.1) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v80 t=159.2 w=5 g=136 pan=240 hp=12/100 hero=(-25.8,-8.2) pro=(-30.2,32.1) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v81 t=159.3 w=5 g=136 pan=240 hp=12/100 hero=(-25.8,-8.2) pro=(-30.7,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v82 t=159.4 w=5 g=132 pan=240 hp=12/100 hero=(-25.8,-8.2) pro=(-30.7,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v83 t=159.5 w=5 g=130 pan=240 hp=12/100 hero=(-25.8,-8.2) pro=(-30.6,32) alive=48 wr=11 works=1/1 {"lantern_post":2} cc=0/2
v84 t=159.6 w=5 g=128 pan=240 hp=12/100 hero=(-25.8,-8.2) pro=(-30.7,32) alive=49 wr=12 works=1/1 {"lantern_post":2} cc=0/2
v85 t=159.6 w=5 g=125 pan=240 hp=12/100 hero=(-25.8,-8.2) pro=(-30.9,32) alive=49 wr=12 works=1/1 {"lantern_post":2} cc=0/2
v86 t=160.1 w=5 g=125 pan=240 hp=4/100 hero=(-25.8,-8.2) pro=(-29,32.1) alive=49 wr=12 works=1/1 {"lantern_post":2} cc=0/2
v87 t=160.1 w=5 g=125 pan=240 hp=4/100 hero=(-25.8,-8.2) pro=(-29.1,32.1) alive=49 wr=12 works=1/1 {"lantern_post":2} cc=0/2
v88 t=160.2 w=5 g=125 pan=240 hp=4/100 hero=(-25.8,-8.2) pro=(-29.6,32.1) alive=49 wr=12 works=1/1 {"lantern_post":2} cc=0/2
v89 t=160.3 w=5 g=125 pan=240 hp=4/100 hero=(-25.8,-8.2) pro=(-29.9,32.1) alive=49 wr=12 works=0/2 {"lantern_post":2} cc=0/2
v90 t=160.6 w=5 g=121 pan=240 hp=0/100 hero=(-25.8,-8.2) pro=(-30.6,32) alive=49 wr=12 works=1/1 {"lantern_post":2} cc=0/2
