v1 t=0 w=0 g=0 pan=0 hp=100/100 hero=(0,-44) pro=(-1.8,-45.1) alive=0 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v2 t=23.7 w=0 g=60 pan=60 hp=100/100 hero=(-25.8,-8.2) pro=(-34,30) alive=2 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v3 t=23.8 w=0 g=60 pan=60 hp=100/100 hero=(-25.8,-8.2) pro=(-34,30) alive=2 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v4 t=24.9 w=0 g=60 pan=60 hp=100/100 hero=(-19.2,-8.1) pro=(-33.7,29) alive=2 wr=0 works=2/0 {"lantern_post":2} cc=0/2 PO
v5 t=26.3 w=0 g=60 pan=60 hp=100/100 hero=(-25.8,-8) pro=(-32.8,25.4) alive=2 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v6 t=28.4 w=0 g=60 pan=60 hp=100/100 hero=(-14.3,-8) pro=(-30.9,19.8) alive=2 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v7 t=30 w=1 g=60 pan=60 hp=100/100 hero=(-23.5,-8) pro=(-29.5,15.6) alive=7 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v8 t=60 w=2 g=60 pan=60 hp=100/100 hero=(-25.8,-8) pro=(-27.5,-9.1) alive=12 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v9 t=76.8 w=2 g=120 pan=120 hp=92/100 hero=(-25.8,-8) pro=(34,30) alive=13 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v10 t=77.6 w=2 g=120 pan=120 hp=92/100 hero=(-21.8,-8) pro=(34,30) alive=13 wr=0 works=2/0 {"lantern_post":2} cc=0/2 PO
v11 t=78.5 w=2 g=120 pan=120 hp=92/100 hero=(-25.7,-8) pro=(32.3,28.9) alive=13 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v12 t=79.5 w=2 g=120 pan=120 hp=92/100 hero=(-19.7,-8) pro=(29.8,27.2) alive=13 wr=0 works=2/0 {"lantern_post":2} cc=0/2 PO
v13 t=90 w=3 g=120 pan=120 hp=92/100 hero=(-25.7,-8) pro=(5.2,11.5) alive=23 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v14 t=120 w=4 g=120 pan=120 hp=92/100 hero=(-14.2,-8) pro=(-16.2,-9.1) alive=33 wr=2 works=2/0 {"lantern_post":2} cc=0/2
v15 t=124.5 w=4 g=120 pan=120 hp=92/100 hero=(-25.7,-8) pro=(-21.6,2.8) alive=30 wr=2 works=2/0 {"lantern_post":2} cc=0/2
v16 t=124.8 w=4 g=120 pan=120 hp=92/100 hero=(-24.3,-8) pro=(-21.6,4.4) alive=30 wr=2 works=2/0 {"lantern_post":2} cc=0/2
v17 t=125.4 w=4 g=120 pan=120 hp=92/100 hero=(-24,-8) pro=(-21.7,7.1) alive=29 wr=2 works=2/0 {"lantern_post":2} cc=0/2
v18 t=125.7 w=4 g=120 pan=120 hp=92/100 hero=(-25.6,-8) pro=(-21.7,8.7) alive=29 wr=2 works=1/1 {"lantern_post":2} cc=0/2
v19 t=132 w=4 g=150 pan=150 hp=92/100 hero=(-25.7,-8) pro=(-18.3,34) alive=33 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v20 t=132.5 w=4 g=150 pan=150 hp=92/100 hero=(-23.1,-8) pro=(-15.8,34) alive=33 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v21 t=132.9 w=4 g=150 pan=150 hp=92/100 hero=(-24.5,-8) pro=(-14,34) alive=33 wr=4 works=1/1 {"lantern_post":2} cc=0/2
v22 t=133.4 w=4 g=150 pan=150 hp=92/100 hero=(-22.1,-8) pro=(-11.4,34) alive=33 wr=4 works=0/2 {"lantern_post":2} cc=0/2
v23 t=140.6 w=4 g=180 pan=180 hp=92/100 hero=(-25.6,-8) pro=(22,34) alive=31 wr=4 works=0/2 {"lantern_post":2} cc=0/2
v24 t=142.7 w=4 g=180 pan=180 hp=92/100 hero=(-14.3,-8) pro=(19.8,31.7) alive=31 wr=4 works=0/2 {"lantern_post":2} cc=0/2
v25 t=150 w=5 g=180 pan=180 hp=92/100 hero=(-25.8,-8) pro=(4.5,18.1) alive=41 wr=7 works=0/2 {"lantern_post":2} cc=0/2
v26 t=159.3 w=5 g=180 pan=180 hp=84/100 hero=(-14.3,-8) pro=(-29.8,30.1) alive=44 wr=11 works=0/2 {"lantern_post":2} cc=0/2 PO
v27 t=163.3 w=5 g=206 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-30.5,31.2) alive=44 wr=12 works=1/1 {"lantern_post":2} cc=0/2
v28 t=163.8 w=5 g=206 pan=210 hp=84/100 hero=(-23.8,-8) pro=(-28.5,31.8) alive=44 wr=12 works=1/1 {"lantern_post":2} cc=0/2
v29 t=164.1 w=5 g=206 pan=210 hp=84/100 hero=(-25,-8) pro=(-27,32.3) alive=45 wr=13 works=1/1 {"lantern_post":2} cc=0/2
v30 t=164.2 w=5 g=206 pan=210 hp=84/100 hero=(-25,-8) pro=(-26.4,32.5) alive=45 wr=13 works=0/2 {"lantern_post":2} cc=0/2
v31 t=166.2 w=5 g=202 pan=210 hp=84/100 hero=(-24.7,-8) pro=(-25.9,33.2) alive=46 wr=14 works=1/1 {"lantern_post":2} cc=0/2
v32 t=166.6 w=5 g=202 pan=210 hp=84/100 hero=(-23.3,-8) pro=(-24.3,33.5) alive=46 wr=14 works=1/1 {"lantern_post":2} cc=0/2
v33 t=166.8 w=5 g=202 pan=210 hp=84/100 hero=(-24.1,-8) pro=(-23.1,33.8) alive=46 wr=14 works=1/1 {"lantern_post":2} cc=0/2
v34 t=167.1 w=5 g=202 pan=210 hp=84/100 hero=(-23.1,-8) pro=(-22,33.8) alive=47 wr=15 works=0/2 {"lantern_post":2} cc=0/2
v35 t=171 w=5 g=198 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-23.6,33.6) alive=46 wr=15 works=1/1 {"lantern_post":2} cc=0/2
v36 t=171.1 w=5 g=198 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-23.5,33.7) alive=46 wr=15 works=1/1 {"lantern_post":2} cc=0/2
v37 t=171.5 w=5 g=198 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-25.7,33.2) alive=47 wr=16 works=1/1 {"lantern_post":2} cc=0/2
v38 t=171.6 w=5 g=198 pan=210 hp=84/100 hero=(-25.6,-8) pro=(-26.1,33.1) alive=47 wr=16 works=0/2 {"lantern_post":2} cc=0/2
v39 t=173.9 w=5 g=194 pan=210 hp=84/100 hero=(-25.3,-8) pro=(-25,33.4) alive=48 wr=17 works=1/1 {"lantern_post":2} cc=0/2
v40 t=174 w=5 g=194 pan=210 hp=84/100 hero=(-24.9,-8) pro=(-24.3,33.5) alive=48 wr=17 works=1/1 {"lantern_post":2} cc=0/2
v41 t=174.1 w=5 g=194 pan=210 hp=84/100 hero=(-24.7,-8) pro=(-24.4,33.5) alive=48 wr=17 works=1/1 {"lantern_post":2} cc=0/2
v42 t=174.4 w=5 g=194 pan=210 hp=84/100 hero=(-22.9,-8) pro=(-26,33.2) alive=48 wr=17 works=0/2 {"lantern_post":2} cc=0/2
v43 t=176.6 w=5 g=190 pan=210 hp=84/100 hero=(-25.6,-8) pro=(-25.2,33.4) alive=48 wr=18 works=1/1 {"lantern_post":2} cc=0/2
v44 t=176.9 w=5 g=190 pan=210 hp=84/100 hero=(-24.7,-8) pro=(-23.9,33.6) alive=48 wr=18 works=1/1 {"lantern_post":2} cc=0/2
v45 t=177 w=5 g=190 pan=210 hp=84/100 hero=(-24.4,-8) pro=(-24.3,33.5) alive=48 wr=18 works=1/1 {"lantern_post":2} cc=0/2
v46 t=177.1 w=5 g=190 pan=210 hp=84/100 hero=(-23.9,-8) pro=(-24.9,33.4) alive=48 wr=18 works=0/2 {"lantern_post":2} cc=0/2
v47 t=180 w=5 g=186 pan=210 hp=84/100 hero=(-25.6,-8) pro=(-23.3,33.7) alive=50 wr=18 works=1/1 {"lantern_post":2} cc=0/2
v48 t=180 w=5 g=186 pan=210 hp=84/100 hero=(-25.6,-8) pro=(-23.2,33.8) alive=50 wr=18 works=1/1 {"lantern_post":2} cc=0/2
v49 t=180 w=6 g=186 pan=210 hp=84/100 hero=(-25.6,-8) pro=(-23.3,33.7) alive=60 wr=21 works=1/1 {"lantern_post":2} cc=0/2
v50 t=180.3 w=6 g=186 pan=210 hp=84/100 hero=(-24.6,-8) pro=(-24.4,33.5) alive=60 wr=21 works=1/1 {"lantern_post":2} cc=0/2
v51 t=180.4 w=6 g=186 pan=210 hp=84/100 hero=(-24.3,-8) pro=(-24.9,33.4) alive=60 wr=21 works=0/2 {"lantern_post":2} cc=0/2
v52 t=184 w=6 g=182 pan=210 hp=84/100 hero=(-14.2,-8) pro=(-23.1,33.7) alive=58 wr=21 works=1/1 {"lantern_post":2} cc=0/2
v53 t=184.2 w=6 g=182 pan=210 hp=84/100 hero=(-15,-8) pro=(-22.1,34) alive=58 wr=21 works=1/1 {"lantern_post":2} cc=0/2
v54 t=184.4 w=6 g=182 pan=210 hp=84/100 hero=(-15.8,-8) pro=(-22,33.7) alive=58 wr=21 works=0/2 {"lantern_post":2} cc=0/2
v55 t=190.1 w=6 g=178 pan=210 hp=84/100 hero=(-25.7,-8) pro=(-22.1,34) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v56 t=190.5 w=6 g=178 pan=210 hp=84/100 hero=(-24.3,-8) pro=(-22.1,33.2) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v57 t=190.6 w=6 g=178 pan=210 hp=84/100 hero=(-24,-8) pro=(-22.6,33.1) alive=60 wr=24 works=0/2 {"lantern_post":2} cc=0/2
v58 t=193.2 w=6 g=174 pan=210 hp=84/100 hero=(-14.3,-8) pro=(-26.8,33) alive=59 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v59 t=194.1 w=6 g=174 pan=210 hp=84/100 hero=(-19.1,-8) pro=(-22.5,33.9) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v60 t=194.3 w=6 g=174 pan=210 hp=84/100 hero=(-20.5,-8) pro=(-22,33.7) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v61 t=194.5 w=6 g=174 pan=210 hp=84/100 hero=(-21.5,-8) pro=(-22,33.3) alive=60 wr=24 works=0/2 {"lantern_post":2} cc=0/2
v62 t=198.5 w=6 g=170 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-23.6,33.6) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v63 t=198.8 w=6 g=170 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-24.7,33.4) alive=59 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v64 t=199.2 w=6 g=170 pan=210 hp=84/100 hero=(-24,-8) pro=(-26.4,33.1) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v65 t=199.4 w=6 g=170 pan=210 hp=84/100 hero=(-24.4,-8) pro=(-27.4,32.9) alive=60 wr=24 works=0/2 {"lantern_post":2} cc=0/2
v66 t=203 w=6 g=166 pan=210 hp=84/100 hero=(-14.3,-8) pro=(-24.2,33.3) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v67 t=203.2 w=6 g=166 pan=210 hp=84/100 hero=(-14.5,-8) pro=(-23.6,33.5) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v68 t=203.8 w=6 g=166 pan=210 hp=84/100 hero=(-18.5,-8) pro=(-21.9,33.2) alive=60 wr=24 works=0/2 {"lantern_post":2} cc=0/2
v69 t=208.8 w=6 g=162 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-22.9,33.8) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v70 t=208.8 w=6 g=162 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-22.7,33.8) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v71 t=208.9 w=6 g=162 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-23,33.8) alive=60 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v72 t=209.1 w=6 g=162 pan=210 hp=84/100 hero=(-24.8,-8) pro=(-24.1,33.5) alive=60 wr=24 works=0/2 {"lantern_post":2} cc=0/2
v73 t=210 w=7 g=162 pan=210 hp=84/100 hero=(-24.5,-8) pro=(-28.5,32.7) alive=60 wr=24 works=0/2 {"lantern_post":2} cc=0/2
v74 t=214 w=7 g=158 pan=210 hp=84/100 hero=(-14.3,-8) pro=(-23,33.7) alive=58 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v75 t=214 w=7 g=158 pan=210 hp=84/100 hero=(-14.3,-8) pro=(-22.8,33.7) alive=58 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v76 t=214.2 w=7 g=158 pan=210 hp=84/100 hero=(-14.8,-8) pro=(-22.2,33.9) alive=58 wr=24 works=1/1 {"lantern_post":2} cc=0/2
v77 t=214.2 w=7 g=158 pan=210 hp=84/100 hero=(-14.9,-8) pro=(-22.1,34) alive=58 wr=24 works=0/2 {"lantern_post":2} cc=0/2
v78 t=219.6 w=7 g=154 pan=210 hp=84/100 hero=(-25.7,-8) pro=(-24.3,33.5) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v79 t=220 w=7 g=154 pan=210 hp=84/100 hero=(-25.7,-8) pro=(-26,33.1) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v80 t=220.3 w=7 g=154 pan=210 hp=84/100 hero=(-24.5,-8) pro=(-27.3,32.9) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v81 t=220.4 w=7 g=154 pan=210 hp=84/100 hero=(-24.2,-8) pro=(-27.9,32.8) alive=60 wr=25 works=0/2 {"lantern_post":2} cc=0/2
v82 t=223.6 w=7 g=150 pan=210 hp=84/100 hero=(-14.2,-8) pro=(-26.2,32.7) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v83 t=223.8 w=7 g=150 pan=210 hp=84/100 hero=(-15.2,-8) pro=(-24.9,33.1) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v84 t=224.3 w=7 g=150 pan=210 hp=84/100 hero=(-18,-8) pro=(-22.8,33.7) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v85 t=224.3 w=7 g=150 pan=210 hp=84/100 hero=(-18.2,-8) pro=(-22.6,33.8) alive=60 wr=25 works=0/2 {"lantern_post":2} cc=0/2
v86 t=228.8 w=7 g=146 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-23.9,33.5) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v87 t=229.1 w=7 g=146 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-25,33.3) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v88 t=229.2 w=7 g=146 pan=210 hp=84/100 hero=(-25.6,-8) pro=(-25.3,33.3) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v89 t=229.3 w=7 g=146 pan=210 hp=84/100 hero=(-25.4,-8) pro=(-26,33.1) alive=60 wr=25 works=0/2 {"lantern_post":2} cc=0/2
v90 t=233 w=7 g=142 pan=210 hp=84/100 hero=(-14.3,-8) pro=(-24.2,33.3) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v91 t=233.2 w=7 g=142 pan=210 hp=84/100 hero=(-15.1,-8) pro=(-23.1,33.6) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v92 t=233.5 w=7 g=142 pan=210 hp=84/100 hero=(-17.1,-8) pro=(-22,33.8) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
v93 t=233.6 w=7 g=142 pan=210 hp=84/100 hero=(-17.3,-8) pro=(-22,33.7) alive=60 wr=25 works=0/2 {"lantern_post":2} cc=0/2
v94 t=238.4 w=7 g=138 pan=210 hp=84/100 hero=(-25.8,-8) pro=(-24.1,33.5) alive=60 wr=25 works=1/1 {"lantern_post":2} cc=0/2
