v1 t=0 w=0 g=0 pan=0 hp=100/100 hero=(0,-44) pro=(-1.8,-45.1) alive=0 wr=0 works=2/0 {"lantern_post":2} cc=0/2
v2 t=27.4 w=0 g=35 pan=60 hp=100/100 hero=(0,-44) pro=(-34,30) alive=5 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v3 t=29.1 w=0 g=35 pan=60 hp=100/100 hero=(0,-34.3) pro=(-33,27.8) alive=5 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v4 t=30 w=1 g=35 pan=60 hp=100/100 hero=(0,-39.1) pro=(-31.9,25.6) alive=9 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v5 t=31 w=1 g=35 pan=60 hp=100/100 hero=(0,-34.3) pro=(-30.7,23) alive=9 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v6 t=32.8 w=1 g=35 pan=60 hp=100/100 hero=(0,-43.8) pro=(-28.7,18.6) alive=9 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v7 t=60 w=2 g=35 pan=60 hp=76/100 hero=(0,-34.3) pro=(-1.7,-35.4) alive=15 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v8 t=70.9 w=2 g=35 pan=60 hp=68/100 hero=(0,-43.8) pro=(11.7,2.2) alive=15 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2 PO
v9 t=88.5 w=2 g=55 pan=80 hp=60/100 hero=(0,-34.3) pro=(-22.9,10.7) alive=14 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v10 t=90 w=3 g=55 pan=80 hp=60/100 hero=(0,-42.5) pro=(-27.7,7.3) alive=21 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v11 t=101.9 w=3 g=55 pan=80 hp=20/100 hero=(0,-34.3) pro=(16.5,30.5) alive=21 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2 PO
v12 t=112.8 w=3 g=55 pan=80 hp=5/125 hero=(0,-43.1) pro=(-27.6,7.3) alive=18 wr=0 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2 PO
v13 t=120 w=4 g=55 pan=80 hp=5/125 hero=(0,-34.3) pro=(-2.9,17.8) alive=26 wr=2 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v14 t=124.5 w=4 g=55 pan=80 hp=5/125 hero=(0,-34.3) pro=(-22.5,10.1) alive=23 wr=2 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v15 t=124.8 w=4 g=55 pan=80 hp=5/125 hero=(0,-34.3) pro=(-22,10.5) alive=22 wr=2 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v16 t=125.4 w=4 g=55 pan=80 hp=5/125 hero=(0,-36.3) pro=(-24.5,9.4) alive=22 wr=2 works=3/0 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v17 t=125.7 w=4 g=55 pan=80 hp=5/125 hero=(0,-35.3) pro=(-26,8.8) alive=22 wr=2 works=2/1 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v18 t=132 w=4 g=55 pan=80 hp=5/125 hero=(0,-43.7) pro=(-7,16.9) alive=29 wr=4 works=2/1 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v19 t=132.5 w=4 g=55 pan=80 hp=5/125 hero=(0,-43.7) pro=(-9.1,16) alive=29 wr=4 works=2/1 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v20 t=132.9 w=4 g=55 pan=80 hp=5/125 hero=(0,-43.7) pro=(-10.7,15.3) alive=29 wr=4 works=2/1 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v21 t=133.4 w=4 g=55 pan=80 hp=5/125 hero=(0,-43.7) pro=(-13.1,14.3) alive=30 wr=4 works=1/2 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v22 t=146.3 w=4 g=65 pan=90 hp=5/125 hero=(0,-43.7) pro=(22,34) alive=29 wr=4 works=1/2 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v23 t=150 w=5 g=65 pan=90 hp=5/125 hero=(0,-43.7) pro=(6.4,25.9) alive=39 wr=7 works=1/2 {"sentry_beacon":1,"lantern_post":2} cc=0/2
v24 t=166 w=5 g=65 pan=90 hp=0/125 hero=(0,-43.7) pro=(18.4,24.7) alive=44 wr=14 works=1/2 {"sentry_beacon":1,"lantern_post":2} cc=0/2
