v	t	w	gold	pan	stole	hp	mx	hx	hz	alive	wr	th	stand	wrk	kinds	tiers	arr	fuel	tar	stored	graded	veh	wx	offer	sec	fails
1	0	0	0	0	0	100	100	0	8	0	0	0	0	0	{}	0	false	0	0	0		idle@-20,-8	clear			
2	30	1	0	0	0	76	100	0.3	28.9	10	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
3	37.77	1	30	30	0	76	100	0	14.2	6	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	telegraph			HARVEST:INVALID_TARGET: gold-seam-3 is unavailable.
4	43.2	1	30	30	0	76	100	0	14.2	6	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	wide_ring,pan_legend,double_tap_coil		
5	60.03	2	5	30	0	52	100	0	14.2	8	0	0	1	0	{"sentry_beacon":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
6	63.53	2	35	60	0	52	100	0	14.2	7	0	0	1	0	{"sentry_beacon":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			HARVEST:INVALID_TARGET: gold-seam-3 is unavailable.
7	69.17	2	35	60	0	36	100	0	14.2	5	0	0	1	0	{"sentry_beacon":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	telegraph	beacon_dynamo,tinkers_plating,pan_legend		
8	89.5	2	30	90	0	53	125	0	14.2	4	0	0	2	0	{"sentry_beacon":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			HARVEST:INVALID_TARGET: gold-seam-1 is unavailable.
9	90.03	3	30	90	0	53	125	0	14.2	9	0	0	2	0	{"sentry_beacon":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
10	110.13	3	60	120	0	45	125	0	14.2	4	0	0	2	0	{"sentry_beacon":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm			HARVEST:INVALID_TARGET: gold-seam-3 is unavailable.
11	120.03	4	10	120	0	45	125	0	14.2	12	0	0	3	0	{"sentry_beacon":2,"turret":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
12	128.73	4	40	150	0	45	125	0	14.2	7	0	0	3	0	{"sentry_beacon":2,"turret":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	telegraph			HARVEST:INVALID_TARGET: gold-seam-1 is unavailable.
13	132.13	4	40	150	0	45	125	0	14.2	8	0	0	3	0	{"sentry_beacon":2,"turret":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	spring_heels,wide_ring,heavy_spark		
14	139.07	4	40	150	0	29	125	0	14.2	3	0	0	3	0	{"sentry_beacon":2,"turret":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	tinkers_plating,long_resonator,split_spark		
15	150.03	5	40	150	0	54	150	0	14.2	12	0	0	3	0	{"sentry_beacon":2,"turret":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
16	150.33	5	70	180	0	54	150	0	14.2	12	0	0	3	0	{"sentry_beacon":2,"turret":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			HARVEST:INVALID_TARGET: gold-seam-2 is unavailable.
17	152.23	5	70	180	0	54	150	0	14.2	9	0	0	3	0	{"sentry_beacon":2,"turret":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear	split_spark,spring_heels,tinkers_plating		
18	161	5	70	180	0	71	175	0	14.2	5	0	0	3	0	{"sentry_beacon":2,"turret":1}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	split_spark,pan_legend,spring_heels		
19	177.03	5	0	180	0	71	175	0	14.2	1	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear	powder_charge,beacon_dynamo,double_tap_coil		
20	180.03	6	0	180	0	71	175	0	14.2	14	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
21	190.2	6	0	180	0	71	175	0	14.2	8	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	heavy_spark,beacon_dynamo,long_resonator		
22	200.8	6	30	210	0	71	175	0	14.2	2	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm			HARVEST:INVALID_TARGET: gold-seam-2 is unavailable.
23	207.53	6	30	210	0	71	175	0	14.2	2	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear	split_spark,double_tap_coil,long_resonator		
24	210.03	7	30	210	0	71	175	0	14.2	15	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
25	224	7	30	210	0	71	175	0	14.2	11	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	quick_fuse,double_tap_coil,spring_heels		
26	239.73	7	60	240	0	71	175	0	14.2	4	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			HARVEST:INVALID_TARGET: gold-seam-2 is unavailable.
27	240.03	8	60	240	0	71	175	0	14.2	18	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
28	242.57	8	60	240	0	71	175	0	14.2	15	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear	long_resonator,spring_heels,quick_fuse		
29	255.57	8	60	240	0	55	175	0	14.2	9	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	double_tap_coil,long_resonator,prospectors_luck		
30	260.37	8	90	270	0	55	175	0	14.2	6	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm			HARVEST:INVALID_TARGET: gold-seam-3 is unavailable.
31	264.2	8	120	300	0	55	175	0	14.2	6	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			HARVEST:INVALID_TARGET: gold-seam-1 is unavailable.
32	270.03	9	120	300	0	55	175	0	14.2	20	0	0	4	0	{"sentry_beacon":2,"turret":2}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
33	275.63	9	25	300	0	55	175	0	14.2	11	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear	beacon_dynamo,quick_fuse,double_tap_coil		
34	289.2	9	55	330	0	47	175	0	14.2	7	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm			HARVEST:INVALID_TARGET: gold-seam-2 is unavailable.
35	289.47	9	55	330	0	47	175	0	14.2	6	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	pan_legend,prospectors_luck,heavy_spark		
36	300	10	55	330	0	47	175	0	14.2	22	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
37	307.87	10	55	330	0	39	175	0	14.2	3	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	telegraph	heavy_spark,pan_legend,powder_charge		
38	317.93	10	85	360	0	31	175	0	14.2	8	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm			HARVEST:INVALID_TARGET: gold-seam-3 is unavailable.
39	321.57	10	115	390	0	31	175	0	14.2	8	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm			HARVEST:INVALID_TARGET: gold-seam-2 is unavailable.
40	326.27	10	115	390	0	31	175	0	14.2	5	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear	double_tap_coil,powder_charge,beacon_dynamo		
41	330	11	115	390	0	31	175	0	14.2	23	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
42	343.97	11	115	390	0	23	175	0	14.2	14	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	spring_heels,beacon_dynamo,long_resonator		
43	360	12	115	390	0	23	175	0	14.2	25	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
44	362.6	12	145	420	0	23	175	0	14.2	20	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			HARVEST:INVALID_TARGET: gold-seam-3 is unavailable.
45	364.63	12	145	420	0	23	175	0	14.2	15	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear	spring_heels,powder_charge,prospectors_luck		
46	380.9	12	145	420	0	7	175	0	14.2	10	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	prospectors_luck,spring_heels,double_tap_coil		
47	383.47	12	175	450	0	7	175	0	14.2	9	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			HARVEST:INVALID_TARGET: gold-seam-1 is unavailable.
48	390	13	175	450	0	7	175	0	14.2	24	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
49	396.63	13	175	450	0	0	175	0	14.2	8	0	0	5	0	{"sentry_beacon":2,"turret":3}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	telegraph			
