  1 t=      0 w 0 hp=  100/100 @(-180,0) g=   0 pan=   0 al= 0 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[] clear 
  2 t=    6.4 w 0 hp=  100/100 @(-182.05,-1.3) g=   0 pan=   0 al= 0 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
  3 t=  14.53 w 0 hp=  100/100 @(-182.05,-3.1) g=   0 pan=   0 al= 3 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[the-long-road] storm FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
  4 t=     30 w 1 hp=  100/100 @(-110.88,-5.49) g=   0 pan=   0 al=13 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[the-long-road] clear 
  5 t=  60.03 w 2 hp=   92/100 @(59.55,-5.35) g=   0 pan=   0 al=26 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] clear 
  6 t=  85.03 w 2 hp=   92/100 @(185.26,-0.36) g=   0 pan=   0 al=38 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
  7 t=  90.03 w 3 hp=   92/100 @(185.26,0.89) g=   0 pan=   0 al=46 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] clear 
  8 t=   94.1 w 3 hp=   92/100 @(185.26,0.9) g=   0 pan=   0 al=45 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
  9 t=  99.17 w 3 hp=   92/100 @(185.26,-0.89) g=   0 pan=   0 al=49 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 10 t=   99.2 w 3 hp=   92/100 @(185.26,-0.89) g=   0 pan=   0 al=49 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is outside walkable terrain.
 11 t=  99.23 w 3 hp=   92/100 @(185.26,-0.89) g=   0 pan=   0 al=49 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is outside walkable terrain.
 12 t=  99.27 w 3 hp=   92/100 @(185.26,-0.89) g=   0 pan=   0 al=49 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is outside walkable terrain.
 13 t= 104.57 w 3 hp=   92/100 @(185.26,-0.01) g=   0 pan=   0 al=50 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] storm FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 14 t= 120.03 w 4 hp=   92/100 @(185.26,0) g=  30 pan=  30 al=59 st=0 wr=0 arr=false lead=233.25/370 tar=0 dr=13.64 nd=111 v=(53.25,0)moving gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 15 t= 122.57 w 4 hp=   68/100 @(185.26,0) g=  30 pan=  30 al=57 st=0 wr=0 arr=false lead=290.25/370 tar=0 dr=16.68 nd=111 v=(110.25,0)moving gr=[the-long-road] clear 
 16 t= 126.57 w 4 hp=   12/100 @(185.26,0) g=  30 pan=  30 al=52 st=0 wr=0 arr=false lead=365.25/370 tar=0 dr=20.68 nd=111 v=(185.25,0)arrived gr=[the-long-road] telegraph 
 17 t= 127.43 w 4 hp=    0/100 @(185.26,0) g=  30 pan=  30 al=52 st=0 wr=0 arr=false lead=365.25/370 tar=0 dr=20.68 nd=111 v=(185.25,0)arrived gr=[the-long-road] telegraph 
