i	t	w	gold	pan	kills	hp	hx	hz	px	pz	alive	act	lock	live	anchor	claws	repos	quit
1	0	0	0	0		100	0	30	-1.8	28.9	0	0	true		[object Object]	0	0	false
2	8.03	1	0	0		100	0	30	-1.8	28.7	6	0	true		[object Object]	0	0	false
3	32	2	0	0		100	0	30	-1.9	28.6	9	1	true		[object Object]	8	4	false
4	56.03	3	0	0		100	0	30	-1.9	28.6	9	1	true		[object Object]	17	8	false
5	80.03	4	0	0		100	0	30	-1.9	28.6	9	1	true		[object Object]	27	13	false
6	104.03	5	0	0		100	0	30	-1.9	28.6	9	1	true		[object Object]	36	18	false
7	128.03	6	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	46	23	false
8	152.03	7	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	55	27	false
9	176.03	8	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	65	32	false
10	200.03	9	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	74	37	false
11	224.03	10	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	84	42	false
12	248.03	11	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	93	46	false
13	272	12	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	103	51	false
14	296	13	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	112	56	false
15	320	14	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	122	61	false
16	344	15	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	131	65	false
17	368	16	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	141	70	false
18	392	17	0	0		100	0	30	-2	28.6	9	1	true		[object Object]	151	75	false
19	416	18	0	0		0	0	30	-1.9	28.6	9	1	true		[object Object]	160	80	false
