i	t	w	gold	pan	kills	hp	hx	hz	px	pz	alive	act	lock	live	anchor	claws	repos	quit
1	0	0	0	0		100	0	30	-1.8	28.9	0	0	true		[object Object]	0	0	false
2	8.03	1	0	0		100	0	-16.7	-1.7	6.3	6	0	true		[object Object]	0	0	false
3	18.5	1	60	60		100	0	-16.7	-18	-30	6	1	true		[object Object]	2	1	false
4	30.2	1	90	90		100	0	-16.7	36	-20	6	1	true		[object Object]	7	3	false
5	30.23	1	90	90		100	0	-16.7	36	-20	6	1	true		[object Object]	7	3	false
6	30.27	1	90	90		100	0	-16.7	36	-20	6	1	true		[object Object]	7	3	false
7	30.3	1	90	90		100	0	-16.7	36	-20	6	1	true		[object Object]	7	3	false
8	30.33	1	90	90		100	0	-16.7	36	-20	6	1	true		[object Object]	7	3	false
9	30.37	1	90	90		100	0	-16.7	36	-20	6	1	true		[object Object]	7	3	false
10	32	2	90	90		100	0	-16.7	33.5	-19.9	9	1	true		[object Object]	8	4	false
11	56.03	3	90	90		100	0	-16.7	-1.9	-18.1	7	1	true		[object Object]	14	7	false
12	57.23	3	120	120		100	0	-16.7	0	-22	10	2	false		[object Object]	14	7	false
13	69.63	3	200	160		100	0	-16.7	20	-34	0	3	false		[object Object]	14	7	true
14	80.03	4	200	160		100	0	-16.7	-0.8	-18.9	3	3	false		[object Object]	14	7	true
15	90.27	4	200	160		100	0	-16.7	35.9	-20	3	3	false		[object Object]	14	7	true
16	104.03	5	200	160		100	0	-16.7	21	-33.1	6	3	false		[object Object]	14	7	true
17	128.03	6	200	160		100	0	-16.7	34.7	-21.1	6	3	false		[object Object]	14	7	true
18	152.03	7	200	160		100	0	-16.7	21.1	-32.9	6	3	false		[object Object]	14	7	true
19	176.03	8	200	160		100	0	-16.7	34.5	-21.3	6	3	false		[object Object]	14	7	true
20	200.03	9	200	160		100	0	-16.7	21.3	-32.8	6	3	false		[object Object]	14	7	true
21	224.03	10	200	160		100	0	-16.7	34.4	-21.4	6	3	false		[object Object]	14	7	true
22	248.03	11	200	160		100	0	-16.7	21.4	-32.7	6	3	false		[object Object]	14	7	true
23	272	12	200	160		100	0	-16.7	34.2	-21.6	6	3	false		[object Object]	14	7	true
24	272	12	200	160		100	0	-16.7	34.2	-21.6	6	3	false		[object Object]	14	7	true
