v	t	wave	gold	pan	hp	hx	hz	alive	standing	wrecked	stakes	pen	penGold	exh	byKind
1	0	0	0	0	100	0	12	0	0	0	wes:. cen:. eas:.	0	0	0	{}
2	2.83	0	0	0	100	-14.7	18.9	0	0	0	wes:. cen:. eas:.	0	0	0	{}
3	28.4	0	10	30	100	-14.8	18.9	3	2	0	wes:. cen:. eas:X6.0	0	0	1	{"palisade":2}
4	30	1	10	30	100	-7.1	14.3	7	2	0	wes:. cen:. eas:X6.0	0	0	1	{"palisade":2}
5	41.97	1	40	60	100	-0.3	10.2	5	2	0	wes:. cen:C eas:X6.0	0	0	2	{"palisade":2}
6	60.03	2	40	60	100	-0.3	10.2	10	2	0	wes:. cen:C eas:X6.0	0	0	2	{"palisade":2}
7	60.17	2	40	60	100	-0.3	10.2	8	2	0	wes:. cen:C eas:X6.0	2	0	2	{"palisade":2}
8	64.83	2	70	90	100	-0.3	10.2	6	2	0	wes:. cen:C eas:X6.0	2	0	2	{"palisade":2}
9	71.5	2	40	120	100	-0.3	10.2	9	3	0	wes:. cen:C eas:X6.0	2	0	6	{"palisade":2,"stockpile":1}
10	90.03	3	42	120	100	-0.3	10.2	17	3	0	wes:. cen:. eas:X6.0	2	2	10	{"palisade":2,"stockpile":1}
11	90.27	3	45	120	100	-0.3	10.2	12	3	0	wes:. cen:. eas:X6.0	7	5	10	{"palisade":2,"stockpile":1}
12	91.2	3	75	150	100	-0.3	10.2	12	3	0	wes:. cen:. eas:X6.0	7	5	10	{"palisade":2,"stockpile":1}
13	91.4	3	25	150	100	-0.3	10.2	10	4	0	wes:. cen:. eas:X6.0	8	5	10	{"palisade":2,"stockpile":1,"turret":1}
14	120.03	4	8	150	100	-0.3	10.2	17	5	0	wes:. cen:. eas:X6.0	8	13	13	{"sentry_beacon":1,"palisade":2,"stockpile":1,"turret":1}
15	120.23	4	17	150	100	-0.3	10.2	13	5	0	wes:. cen:. eas:X6.0	12	22	13	{"sentry_beacon":1,"palisade":2,"stockpile":1,"turret":1}
16	124.9	4	47	180	100	-0.3	10.2	9	5	0	wes:. cen:. eas:X6.0	12	22	13	{"sentry_beacon":1,"palisade":2,"stockpile":1,"turret":1}
17	131.7	4	77	210	100	-0.3	10.2	11	5	0	wes:. cen:C eas:X6.0	12	22	16	{"sentry_beacon":1,"palisade":2,"stockpile":1,"turret":1}
18	135.43	4	89	210	100	-0.3	10.2	10	5	0	wes:. cen:. eas:X6.0	12	34	16	{"sentry_beacon":1,"palisade":2,"stockpile":1,"turret":1}
19	137.03	4	29	210	100	-0.3	10.2	6	6	0	wes:. cen:. eas:X6.0	15	34	17	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":1}
20	137.23	4	29	210	100	-0.3	10.2	5	6	0	wes:. cen:. eas:X6.0	16	34	17	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":1}
21	140.87	4	29	210	100	-0.3	10.2	4	6	0	wes:. cen:. eas:X6.0	16	34	17	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":1}
22	150.03	5	29	210	100	-0.3	10.2	14	6	0	wes:. cen:C eas:X6.0	16	34	17	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":1}
23	150.13	5	46	210	100	-0.3	10.2	13	6	0	wes:. cen:. eas:X6.0	17	51	17	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":1}
24	151.13	5	46	210	100	-0.3	10.2	12	6	0	wes:. cen:. eas:X6.0	17	51	17	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":1}
25	158.37	5	46	210	100	-0.3	10.2	11	6	0	wes:. cen:. eas:X6.0	17	51	20	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":1}
26	166.83	5	93	240	100	-0.3	10.2	11	6	0	wes:. cen:. eas:X6.0	17	68	23	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":1}
27	167.07	5	23	240	100	-0.3	10.2	10	7	0	wes:. cen:. eas:X6.0	18	68	23	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":2}
28	171.8	5	23	240	100	-0.3	10.2	8	7	0	wes:. cen:. eas:X6.0	18	68	23	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":2}
29	171.97	5	23	240	100	-0.3	10.2	6	7	0	wes:. cen:. eas:X6.0	20	68	23	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":2}
30	175.77	5	53	270	100	-0.3	10.2	5	7	0	wes:. cen:. eas:X6.0	20	68	23	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":2}
31	180.03	6	53	270	100	-0.3	10.2	18	7	0	wes:. cen:. eas:X6.0	20	68	23	{"sentry_beacon":1,"palisade":2,"stockpile":2,"turret":2}
32	183	6	38	270	100	-0.3	10.2	11	8	0	wes:. cen:. eas:X6.0	23	88	23	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":2}
33	185.13	6	38	270	100	-0.3	10.2	6	8	0	wes:. cen:. eas:X6.0	23	88	23	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":2}
34	196.93	6	61	270	100	-0.3	10.2	7	8	0	wes:. cen:. eas:X6.0	23	111	26	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":2}
35	202.53	6	91	300	125	-0.3	10.2	6	8	0	wes:. cen:. eas:X6.0	23	111	26	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":2}
36	210.03	7	91	300	125	-0.3	10.2	19	8	0	wes:. cen:. eas:X6.0	23	111	26	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":2}
37	210.2	7	115	300	125	-0.3	10.2	16	8	0	wes:. cen:. eas:X6.0	26	135	26	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":2}
38	215.77	7	20	300	125	-0.3	10.2	9	9	0	wes:. cen:. eas:X6.0	26	135	26	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":3}
39	224.33	7	50	330	150	-0.3	10.2	7	9	0	wes:. cen:. eas:X6.0	26	135	27	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":3}
40	232.93	7	106	360	150	-0.3	10.2	3	9	0	wes:. cen:. eas:X6.0	26	161	27	{"sentry_beacon":2,"palisade":2,"stockpile":2,"turret":3}
41	233.07	7	61	360	150	-0.3	10.2	3	10	0	wes:. cen:. eas:X6.0	27	161	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":3}
42	233.37	7	61	360	150	-0.3	10.2	3	10	0	wes:. cen:. eas:X6.0	27	161	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":3}
43	240.03	8	61	360	150	-0.3	10.2	17	10	0	wes:. cen:. eas:X6.0	27	161	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":3}
44	244.1	8	88	360	150	-0.3	10.2	11	10	0	wes:. cen:C eas:X6.0	27	188	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":3}
45	253.1	8	118	390	150	-0.3	10.2	9	10	0	wes:. cen:. eas:X6.0	27	188	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":3}
46	254.47	8	118	390	150	-0.3	10.2	6	10	0	wes:. cen:. eas:X6.0	27	188	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":3}
47	265.1	8	175	420	175	-0.3	10.2	5	10	0	wes:. cen:. eas:X6.0	27	215	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":3}
48	270.03	9	50	420	175	-0.3	10.2	21	11	0	wes:. cen:. eas:X6.0	27	215	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":4}
49	274.3	9	77	420	175	-0.3	10.2	11	11	0	wes:. cen:C eas:X6.0	27	242	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":4}
50	279.03	9	107	450	175	-0.3	10.2	13	11	0	wes:. cen:. eas:X6.0	27	242	27	{"sentry_beacon":3,"palisade":2,"stockpile":2,"turret":4}
51	285.3	9	79	450	175	-0.3	10.2	4	12	0	wes:. cen:. eas:X6.0	27	269	27	{"sentry_beacon":4,"palisade":2,"stockpile":2,"turret":4}
52	294.3	9	109	480	175	-0.3	10.2	3	12	0	wes:. cen:. eas:X6.0	27	269	27	{"sentry_beacon":4,"palisade":2,"stockpile":2,"turret":4}
53	300	10	109	480	175	-0.3	10.2	22	12	0	wes:. cen:. eas:X6.0	27	269	27	{"sentry_beacon":4,"palisade":2,"stockpile":2,"turret":4}
54	304.8	10	166	510	175	-0.3	10.2	12	12	0	wes:. cen:C eas:X6.0	27	296	27	{"sentry_beacon":4,"palisade":2,"stockpile":2,"turret":4}
55	306.2	10	166	510	175	-0.3	10.2	7	12	0	wes:. cen:. eas:X6.0	27	296	27	{"sentry_beacon":4,"palisade":2,"stockpile":2,"turret":4}
56	321.43	10	118	510	175	-0.3	10.2	6	13	0	wes:. cen:. eas:X6.0	27	323	28	{"sentry_beacon":5,"palisade":2,"stockpile":2,"turret":4}
57	327.07	10	148	540	175	-0.3	10.2	8	13	0	wes:. cen:. eas:X6.0	27	323	28	{"sentry_beacon":5,"palisade":2,"stockpile":2,"turret":4}
58	327.17	10	148	540	175	-0.3	10.2	7	13	0	wes:. cen:. eas:X6.0	28	323	28	{"sentry_beacon":5,"palisade":2,"stockpile":2,"turret":4}
59	330	11	148	540	175	-0.3	10.2	25	13	0	wes:. cen:. eas:X6.0	28	323	28	{"sentry_beacon":5,"palisade":2,"stockpile":2,"turret":4}
60	339.13	11	206	570	175	-0.3	10.2	21	13	0	wes:. cen:. eas:X6.0	28	351	31	{"sentry_beacon":5,"palisade":2,"stockpile":2,"turret":4}
61	341.7	11	206	570	175	-0.3	10.2	20	13	0	wes:. cen:C eas:X6.0	28	351	31	{"sentry_beacon":5,"palisade":2,"stockpile":2,"turret":4}
62	360	12	234	570	175	-0.3	10.2	27	13	0	wes:. cen:. eas:X6.0	28	379	31	{"sentry_beacon":5,"palisade":2,"stockpile":2,"turret":4}
63	360.17	12	264	570	175	-0.3	10.2	24	13	0	wes:. cen:. eas:X6.0	31	409	31	{"sentry_beacon":5,"palisade":2,"stockpile":2,"turret":4}
64	361.53	12	199	600	175	-0.3	10.2	24	14	0	wes:. cen:. eas:X6.0	31	409	31	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
65	364.2	12	199	600	175	-0.3	10.2	21	14	0	wes:. cen:C eas:X6.0	31	409	31	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
66	370.07	12	229	630	175	-0.3	10.2	23	14	0	wes:. cen:. eas:X6.0	31	409	34	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
67	375.83	12	260	630	175	-0.3	10.2	11	14	0	wes:. cen:. eas:X6.0	31	440	34	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
68	390	13	260	630	175	-0.3	10.2	29	14	0	wes:. cen:. eas:X6.0	31	440	34	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
69	390.17	13	293	630	175	-0.3	10.2	26	14	0	wes:. cen:. eas:X6.0	34	473	34	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
70	395.7	13	323	660	175	-0.3	10.2	13	14	0	wes:. cen:. eas:X6.0	34	473	34	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
71	397.5	13	323	660	175	-0.3	10.2	5	14	0	wes:. cen:. eas:X6.0	34	473	34	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
72	407.7	13	387	690	175	-0.3	10.2	8	14	0	wes:. cen:. eas:X6.0	34	507	35	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
73	418.27	13	387	690	175	-0.3	10.2	7	14	0	wes:. cen:. eas:X6.0	34	507	35	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
74	418.4	13	387	690	175	-0.3	10.2	6	14	0	wes:. cen:. eas:X6.0	35	507	35	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
75	420	14	387	690	175	-0.3	10.2	25	14	0	wes:. cen:. eas:X6.0	35	507	35	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
76	421.13	14	452	720	175	-0.3	10.2	24	14	0	wes:. cen:. eas:X6.0	35	542	35	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
77	436	14	487	720	175	-0.3	10.2	12	14	0	wes:. cen:. eas:X6.0	35	577	37	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
78	440.63	14	497	730	175	-0.3	10.2	9	14	0	wes:. cen:. eas:X6.0	35	577	37	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
79	450	15	497	730	175	-0.3	10.2	30	14	0	wes:. cen:. eas:X6.0	35	577	37	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
80	450.13	15	500	730	175	-0.3	10.2	28	14	0	wes:. cen:. eas:X6.0	37	580	37	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
81	460.97	15	500	730	175	-0.3	10.2	22	14	0	wes:. cen:C eas:X6.0	37	580	40	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
82	479.5	15	500	730	175	-0.3	10.2	11	14	0	wes:. cen:. eas:X6.0	37	580	42	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
83	479.67	15	500	730	175	-0.3	10.2	9	14	0	wes:. cen:. eas:X6.0	40	580	42	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
84	480	16	500	730	175	-0.3	10.2	28	14	0	wes:. cen:. eas:X6.0	40	580	42	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
85	485.83	16	500	730	175	-0.3	10.2	15	14	0	wes:. cen:. eas:X6.0	40	580	42	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
86	485.97	16	500	730	175	-0.3	10.2	13	14	0	wes:. cen:. eas:X6.0	41	580	42	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
87	510	17	500	730	175	-0.3	10.2	35	14	0	wes:. cen:. eas:X6.0	41	580	46	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
88	510.2	17	500	730	175	-0.3	10.2	31	14	0	wes:. cen:. eas:X6.0	45	580	46	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
89	513.27	17	500	730	175	-0.3	10.2	26	14	0	wes:. cen:. eas:X6.0	45	580	46	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
90	535.3	17	500	730	175	-0.3	10.2	14	14	0	wes:. cen:. eas:X6.0	45	580	51	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
91	535.53	17	500	730	175	-0.3	10.2	10	14	0	wes:. cen:. eas:X6.0	49	580	51	{"sentry_beacon":6,"palisade":2,"stockpile":2,"turret":4}
