v t w gold pan stolen hp/mx hx,hz alive wr/th st/wk met lit prog kinds
1 0 w0 g0 p0 s0 400/400 0,12 a0 0/0 0/0 false [] null {}
2 14.7 w0 g5 p30 s0 400/400 23.8,40.8 a4 0/1 1/0 false [] null {"sentry_beacon":1}
3 14.77 w0 g5 p30 s0 400/400 23.8,40.8 a4 0/1 1/0 true ["relay-site-r3"] relay-valley-1 {"sentry_beacon":1}
4 24.4 w0 g35 p60 s0 400/400 23.8,40.8 a4 0/1 1/0 true ["relay-site-r3"] null {"sentry_beacon":1}
5 30 w1 g35 p60 s0 400/400 23.8,40.8 a7 0/2 1/0 true ["relay-site-r3"] null {"sentry_beacon":1}
6 60.03 w2 g35 p60 s0 400/400 23.8,40.8 a9 0/5 1/0 true ["relay-site-r3"] null {"sentry_beacon":1}
7 75.7 w2 g50 p75 s0 392/400 23.8,40.8 a5 0/2 1/0 true ["relay-site-r3"] null {"sentry_beacon":1}
8 83.67 w2 g15 p90 s0 392/400 23.8,40.8 a2 0/1 2/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":1}
9 90.03 w3 g15 p90 s0 392/400 23.8,40.8 a9 0/3 2/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":1}
10 93.3 w3 g45 p120 s0 392/400 23.8,40.8 a7 0/2 2/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":1}
11 119.3 w3 g45 p120 s0 392/400 23.8,40.8 a2 0/1 2/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":1} OFFER:split_spark|double_tap_coil|long_resonator
12 120.03 w4 g45 p120 s0 392/400 23.8,40.8 a11 0/5 2/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":1}
13 125.2 w4 g70 p145 s0 392/400 23.8,40.8 a6 0/2 2/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":1} OFFER:prospectors_luck|beacon_dynamo|heavy_spark
14 125.7 w4 g70 p145 s0 392/400 23.8,40.8 a6 0/2 2/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":1}
15 129.43 w4 g5 p150 s0 392/400 23.8,40.8 a7 0/4 3/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":2}
16 131.4 w4 g5 p150 s0 392/400 23.8,40.8 a8 0/4 3/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":2} OFFER:split_spark|spring_heels|beacon_dynamo
17 137.13 w4 g5 p150 s0 392/400 23.8,40.8 a2 0/2 3/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":2} OFFER:spring_heels|quick_fuse|pan_legend
18 150.03 w5 g35 p180 s0 392/400 23.8,40.8 a13 0/6 3/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":2}
19 154.23 w5 g35 p180 s0 392/400 23.8,40.8 a9 0/3 3/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":2} OFFER:spring_heels|long_resonator|double_tap_coil
20 158.33 w5 g35 p180 s0 392/400 23.8,40.8 a9 0/4 3/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":2}
21 158.67 w5 g35 p180 s0 392/400 23.8,40.8 a8 0/4 3/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":2}
22 158.7 w5 g35 p180 s0 392/400 23.8,40.8 a8 0/4 3/0 true ["relay-site-r3"] null {"sentry_beacon":1,"turret":2}
23 162.57 w5 g0 p180 s0 392/400 23.8,40.8 a7 0/1 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2} OFFER:wide_ring|double_tap_coil|pan_legend
24 165.83 w5 g30 p210 s0 392/400 23.8,40.8 a4 0/1 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2}
25 175.47 w5 g60 p240 s0 392/400 23.8,40.8 a4 0/3 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2}
26 179.4 w5 g60 p240 s0 392/400 23.8,40.8 a3 0/1 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2} OFFER:beacon_dynamo|tinkers_plating|heavy_spark
27 180.03 w6 g60 p240 s0 417/425 23.8,40.8 a14 0/7 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2}
28 192.07 w6 g60 p240 s0 417/425 23.8,40.8 a9 0/4 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2} OFFER:double_tap_coil|heavy_spark|prospectors_luck
29 200.33 w6 g90 p270 s0 417/425 23.8,40.8 a3 0/2 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2}
30 208.57 w6 g95 p275 s0 417/425 23.8,40.8 a4 0/3 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2}
31 209.43 w6 g95 p275 s0 417/425 23.8,40.8 a3 0/2 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2} OFFER:wide_ring|pan_legend|quick_fuse
32 209.5 w6 g95 p275 s0 417/425 23.8,40.8 a3 0/2 4/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":2}
33 210.03 w7 g0 p275 s0 417/425 23.8,40.8 a16 0/9 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
34 214.3 w7 g25 p300 s0 417/425 23.8,40.8 a11 0/5 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
35 223.33 w7 g25 p300 s0 417/425 23.8,40.8 a11 0/2 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3} OFFER:beacon_dynamo|heavy_spark|prospectors_luck
36 240.03 w8 g25 p300 s0 417/425 23.8,40.8 a18 0/9 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
37 243.17 w8 g25 p300 s0 417/425 23.8,40.8 a15 0/7 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3} OFFER:wide_ring|tinkers_plating|powder_charge
38 249.23 w8 g55 p330 s0 442/450 23.8,40.8 a14 0/8 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
39 254.47 w8 g55 p330 s0 442/450 23.8,40.8 a8 0/4 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3} OFFER:heavy_spark|tinkers_plating|prospectors_luck
40 258.87 w8 g85 p360 s0 467/475 23.8,40.8 a6 0/4 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
41 270.03 w9 g85 p360 s0 467/475 23.8,40.8 a21 0/11 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
42 275.87 w9 g85 p360 s0 467/475 23.8,40.8 a11 0/3 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3} OFFER:spring_heels|pan_legend|long_resonator
43 281.97 w9 g115 p390 s0 467/475 23.8,40.8 a15 0/5 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
44 288.07 w9 g115 p390 s0 467/475 23.8,40.8 a5 0/2 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3} OFFER:heavy_spark|long_resonator|pan_legend
45 300 w10 g125 p400 s0 467/475 23.8,40.8 a23 0/9 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
46 303.03 w10 g125 p400 s0 467/475 23.8,40.8 a20 0/9 5/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":3}
47 307.63 w10 g30 p430 s0 467/475 23.8,40.8 a5 0/0 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
48 307.9 w10 g30 p430 s0 467/475 23.8,40.8 a3 0/0 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} OFFER:long_resonator|pan_legend|heavy_spark
49 312.83 w10 g50 p450 s0 467/475 23.8,40.8 a15 0/4 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
50 330 w11 g50 p450 s0 467/475 23.8,40.8 a29 0/17 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
51 332.87 w11 g50 p450 s0 467/475 23.8,40.8 a27 0/15 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} OFFER:heavy_spark|long_resonator|spring_heels
52 344.37 w11 g50 p450 s0 467/475 23.8,40.8 a16 0/7 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} OFFER:prospectors_luck|wide_ring|quick_fuse
53 360 w12 g120 p520 s0 467/475 23.8,40.8 a44 0/20 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
54 372.17 w12 g120 p520 s0 467/475 23.8,40.8 a38 0/14 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} OFFER:prospectors_luck|long_resonator|pan_legend
55 375.07 w12 g125 p525 s0 467/475 23.8,40.8 a30 0/10 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
56 390 w13 g125 p525 s0 467/475 23.8,40.8 a49 0/25 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
57 390.2 w13 g130 p530 s0 467/475 23.8,40.8 a49 0/25 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
58 395.03 w13 g130 p530 s0 467/475 23.8,40.8 a39 0/17 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} OFFER:quick_fuse|pan_legend|prospectors_luck
59 399.87 w13 g170 p570 s0 467/475 23.8,40.8 a47 0/23 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
60 419.1 w13 g170 p570 s0 467/475 23.8,40.8 a42 0/16 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} OFFER:powder_charge|prospectors_luck|quick_fuse
61 420 w14 g170 p570 s0 467/475 23.8,40.8 a60 0/24 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
62 424.33 w14 g200 p600 s0 467/475 23.8,40.8 a55 0/21 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
63 434 w14 g200 p600 s0 467/475 23.8,40.8 a50 0/21 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
64 441.23 w14 g200 p600 s0 467/475 23.8,40.8 a50 0/24 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} OFFER:spring_heels|quick_fuse|pan_legend
65 450 w15 g200 p600 s0 467/475 23.8,40.8 a60 0/33 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
66 480 w16 g200 p600 s0 467/475 23.8,40.8 a60 0/30 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
67 510 w17 g200 p600 s0 467/475 23.8,40.8 a60 0/31 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
68 523 w17 g200 p600 s0 467/475 23.8,40.8 a59 0/30 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} OFFER:prospectors_luck|spring_heels|pan_legend
69 540 w18 g200 p600 s0 467/475 23.8,40.8 a60 0/31 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
70 570 w19 g200 p600 s0 467/475 23.8,40.8 a60 0/30 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
71 600 w20 g200 p600 s0 467/475 23.8,40.8 a60 0/31 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4} SECURE
72 600 w20 g200 p600 s0 467/475 23.8,40.8 a60 0/31 6/0 true ["relay-site-r3"] null {"sentry_beacon":2,"turret":4}
