v1 t=0.0 w0 g=0 pan=0 stol=0 hp=100/100 h=(0.0,12.0) p=(-1.8,10.9) suit=60 dome=VAC cred=0/4 win=0 cw=0 reach=0 breathless=0 works=0/0 alive=0 drift=0
v2 t=27.4 w0 g=30 pan=30 stol=0 hp=92/100 h=(0.2,4.0) p=(8.8,4.1) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=2 breathless=0 works=0/0 alive=7 drift=138
v3 t=30.0 w1 g=30 pan=30 stol=0 hp=84/100 h=(-14.1,2.3) p=(21.0,3.2) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=2 breathless=0 works=0/0 alive=11 drift=138
v4 t=32.6 w1 g=30 pan=30 stol=0 hp=84/100 h=(-10.2,2.8) p=(33.6,2.3) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=2 breathless=0 works=0/0 alive=9 drift=138
v5 t=41.9 w1 g=30 pan=30 stol=0 hp=60/100 h=(35.3,8.3) p=(-0.3,2.0) suit=56.1 dome=VAC cred=1/4 win=0 cw=1 reach=2 breathless=0 works=0/0 alive=4 drift=190
v6 t=47.3 w1 g=30 pan=30 stol=0 hp=60/100 h=(16.1,6.0) p=(-25.9,2.0) suit=52.6 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=2 breathless=0 works=0/0 alive=4 drift=233
v7 t=60.0 w2 g=30 pan=30 stol=0 hp=60/100 h=(-46.8,-1.7) p=(10.7,2.0) suit=53.267 dome=VAC cred=1/4 win=0 cw=1 reach=2 breathless=0 works=0/0 alive=12 drift=233
v8 t=71.4 w2 g=30 pan=30 stol=0 hp=52/100 h=(8.8,5.1) p=(19.1,1.9) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=2 breathless=0 works=0/0 alive=7 drift=233
v9 t=82.6 w2 g=60 pan=60 stol=0 hp=52/100 h=(-0.1,4.0) p=(-7.9,2.0) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=2 breathless=0 works=0/0 alive=3 drift=233
v10 t=90.0 w3 g=20 pan=70 stol=0 hp=52/100 h=(35.6,8.3) p=(-33.2,2.0) suit=56.067 dome=VAC cred=1/4 win=0 cw=1 reach=2 breathless=0 works=1/0 alive=8 drift=284
v11 t=112.9 w3 g=50 pan=100 stol=0 hp=44/100 h=(-0.3,4.0) p=(18.8,1.7) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=2 breathless=0 works=1/0 alive=4 drift=328
v12 t=113.4 w3 g=50 pan=100 stol=0 hp=44/100 h=(2.6,4.3) p=(16.5,1.7) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=2 breathless=0 works=1/0 alive=4 drift=328
v13 t=120.0 w4 g=25 pan=100 stol=0 hp=44/100 h=(-8.8,2.9) p=(10.7,3.9) suit=60 dome=claw-carcass-yard cred=1/4 win=1 cw=0 reach=2 breathless=0 works=2/0 alive=11 drift=328
v14 t=126.9 w4 g=25 pan=100 stol=0 hp=44/100 h=(-3.6,2.0) p=(-5.7,0.6) suit=60 dome=claw-carcass-yard cred=1/4 win=1 cw=0 reach=2 breathless=0 works=2/0 alive=0 drift=328
v15 t=150.0 w5 g=55 pan=130 stol=0 hp=44/100 h=(27.7,4.9) p=(18.8,3.9) suit=48.733 dome=VAC cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=14 drift=411
v16 t=153.1 w5 g=55 pan=130 stol=0 hp=44/100 h=(10.4,4.3) p=(14.9,3.1) suit=52.367 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=7 drift=453
v17 t=155.2 w5 g=60 pan=135 stol=0 hp=44/100 h=(-2.5,3.9) p=(12.0,4.0) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=7 drift=453
v18 t=161.9 w5 g=85 pan=160 stol=0 hp=36/100 h=(16.4,4.5) p=(-12.0,4.0) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=11 drift=453
v19 t=173.3 w5 g=15 pan=160 stol=0 hp=12/100 h=(11.3,4.3) p=(-6.9,2.2) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=3/0 alive=2 drift=453
v20 t=180.0 w5 g=35 pan=180 stol=0 hp=12/100 h=(-13.9,3.6) p=(-38.0,2.0) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=3/0 alive=1 drift=453
v21 t=180.0 w6 g=35 pan=180 stol=0 hp=12/100 h=(-14.3,3.6) p=(-37.8,2.0) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=3/0 alive=12 drift=453
v22 t=182.0 w6 g=35 pan=180 stol=0 hp=12/100 h=(-23.4,3.3) p=(-28.3,3.1) suit=58.767 dome=VAC cred=2/4 win=1 cw=1 reach=2 breathless=0 works=3/0 alive=10 drift=453
v23 t=188.0 w6 g=35 pan=180 stol=0 hp=12/100 h=(-0.1,4.0) p=(0.1,6.4) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=3/0 alive=0 drift=453
v24 t=195.4 w6 g=30 pan=210 stol=0 hp=4/100 h=(0.2,4.0) p=(4.8,3.1) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=4/0 alive=4 drift=453
v25 t=201.2 w6 g=30 pan=210 stol=0 hp=4/100 h=(-28.5,3.1) p=(32.2,2.2) suit=57.7 dome=VAC cred=2/4 win=1 cw=1 reach=2 breathless=0 works=4/0 alive=2 drift=453
v26 t=210.0 w7 g=30 pan=210 stol=0 hp=4/100 h=(11.0,4.3) p=(31.8,2.1) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=4/0 alive=15 drift=453
v27 t=221.3 w7 g=45 pan=225 stol=0 hp=4/100 h=(-33.7,3.0) p=(13.4,3.9) suit=56.267 dome=VAC cred=2/4 win=1 cw=1 reach=2 breathless=0 works=4/0 alive=9 drift=453
v28 t=240.0 w8 g=45 pan=225 stol=0 hp=13/125 h=(52.0,5.6) p=(-22.1,2.0) suit=52.233 dome=VAC cred=2/4 win=2 cw=0 reach=2 breathless=0 works=4/0 alive=17 drift=533
v29 t=241.2 w8 g=45 pan=225 stol=0 hp=13/125 h=(53.9,5.6) p=(-27.5,2.0) suit=51.1 dome=VAC cred=2/4 win=2 cw=0 reach=2 breathless=0 works=4/0 alive=15 drift=567
v30 t=252.0 w8 g=45 pan=225 stol=0 hp=5/125 h=(1.3,3.4) p=(-14.1,2.3) suit=54.3 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=4/0 alive=9 drift=685
v31 t=258.4 w8 g=70 pan=250 stol=0 hp=5/125 h=(11.3,1.9) p=(12.0,4.0) suit=60 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=4/0 alive=8 drift=685
v32 t=270.0 w9 g=10 pan=250 stol=0 hp=5/125 h=(-13.9,6.8) p=(9.2,3.7) suit=60 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=5/0 alive=21 drift=685
v33 t=274.4 w9 g=10 pan=250 stol=0 hp=0/125 h=(-1.1,4.2) p=(30.0,2.5) suit=60 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=5/0 alive=12 drift=685
