v1 t=0.0 w0 g=0 pan=0 stol=0 hp=100/100 h=(0.0,12.0) p=(-1.8,10.9) suit=60 dome=VAC cred=0/4 win=0 cw=0 reach=0 breathless=0 works=0/0 alive=0 drift=0
v2 t=30.0 w1 g=10 pan=10 stol=0 hp=84/100 h=(-6.7,6.4) p=(12.0,4.0) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=0/0 alive=12 drift=276
v3 t=30.9 w1 g=10 pan=10 stol=0 hp=76/100 h=(-7.5,6.2) p=(11.6,4.0) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=0/0 alive=11 drift=276
v4 t=42.7 w1 g=30 pan=30 stol=0 hp=68/100 h=(-0.9,8.3) p=(11.2,4.2) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=0/0 alive=4 drift=276
v5 t=45.0 w1 g=30 pan=30 stol=0 hp=68/100 h=(4.7,7.4) p=(1.6,4.1) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=0/0 alive=4 drift=276
v6 t=58.9 w1 g=35 pan=35 stol=0 hp=68/100 h=(-10.7,9.7) p=(-26.4,7.2) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=0/0 alive=4 drift=451
v7 t=60.0 w2 g=35 pan=35 stol=0 hp=68/100 h=(-4.4,8.8) p=(-23.2,7.4) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=0/0 alive=8 drift=451
v8 t=71.4 w2 g=40 pan=40 stol=0 hp=60/100 h=(-4.6,9.0) p=(-28.4,2.5) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=0/0 alive=5 drift=519
v9 t=90.0 w3 g=50 pan=50 stol=0 hp=52/100 h=(-9.9,9.9) p=(-12.8,7.7) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=0/0 alive=11 drift=564
v10 t=98.4 w3 g=20 pan=70 stol=0 hp=52/100 h=(-0.2,8.0) p=(-11.1,4.2) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=1/0 alive=6 drift=564
v11 t=102.8 w3 g=20 pan=70 stol=0 hp=52/100 h=(7.5,7.0) p=(-23.5,3.5) suit=60 dome=claw-carcass-yard cred=1/4 win=0 cw=1 reach=1 breathless=0 works=1/0 alive=4 drift=564
v12 t=120.0 w4 g=30 pan=80 stol=0 hp=52/100 h=(-32.2,11.3) p=(11.3,2.1) suit=55.267 dome=VAC cred=1/4 win=1 cw=0 reach=1 breathless=0 works=1/0 alive=10 drift=705
v13 t=131.1 w4 g=30 pan=80 stol=0 hp=52/100 h=(13.1,4.7) p=(22.9,3.2) suit=60 dome=claw-carcass-yard cred=1/4 win=1 cw=0 reach=1 breathless=0 works=1/0 alive=10 drift=874
v14 t=150.0 w5 g=10 pan=85 stol=0 hp=44/100 h=(0.6,8.0) p=(7.1,5.0) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=13 drift=897
v15 t=160.4 w5 g=35 pan=110 stol=0 hp=44/100 h=(-0.2,8.0) p=(11.1,4.2) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=8 drift=897
v16 t=177.4 w5 g=40 pan=115 stol=0 hp=44/100 h=(1.9,7.7) p=(-25.1,6.0) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=3 drift=1050
v17 t=180.0 w6 g=40 pan=115 stol=0 hp=44/100 h=(-0.9,8.3) p=(-37.2,2.3) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=14 drift=1050
v18 t=190.7 w6 g=50 pan=125 stol=0 hp=44/100 h=(-6.2,10.0) p=(-12.0,4.0) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=8 drift=1050
v19 t=209.2 w6 g=70 pan=145 stol=0 hp=69/125 h=(0.3,8.1) p=(-7.3,6.3) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=6 drift=1050
v20 t=210.0 w7 g=70 pan=145 stol=0 hp=69/125 h=(4.4,7.2) p=(-3.3,6.3) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=18 drift=1050
v21 t=210.8 w7 g=70 pan=145 stol=0 hp=69/125 h=(7.9,6.5) p=(-6.8,5.4) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=2/0 alive=17 drift=1050
v22 t=220.7 w7 g=0 pan=145 stol=0 hp=53/125 h=(-7.7,9.4) p=(12.4,4.6) suit=60 dome=claw-carcass-yard cred=2/4 win=1 cw=1 reach=2 breathless=0 works=3/0 alive=9 drift=1086
v23 t=240.0 w8 g=10 pan=155 stol=0 hp=78/150 h=(24.5,4.1) p=(6.0,2.6) suit=58.467 dome=VAC cred=2/4 win=2 cw=0 reach=2 breathless=0 works=3/0 alive=18 drift=1131
