(node:24684) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
{"wave":0,"hp":100,"maxHp":100,"level":1,"gold":0,"threats":0,"worksHp":0,"works":{"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":1,"hp":80.80000000000007,"maxHp":100,"level":2,"gold":60,"threats":8,"worksHp":0,"works":{"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":2,"hp":79.20000000000007,"maxHp":100,"level":2,"gold":40,"threats":8,"worksHp":50,"works":{"turret":1,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":3,"hp":79.20000000000007,"maxHp":100,"level":2,"gold":70,"threats":8,"worksHp":50,"works":{"turret":1,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":4,"hp":79.20000000000007,"maxHp":100,"level":2,"gold":30,"threats":11,"worksHp":100,"works":{"turret":2,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":5,"hp":79.20000000000007,"maxHp":100,"level":5,"gold":90,"threats":12,"worksHp":100,"works":{"turret":2,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":6,"hp":79.20000000000007,"maxHp":100,"level":8,"gold":55,"threats":12,"worksHp":150,"works":{"turret":3,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":7,"hp":79.20000000000007,"maxHp":100,"level":9,"gold":115,"threats":17,"worksHp":150,"works":{"turret":3,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":8,"hp":79.20000000000007,"maxHp":100,"level":11,"gold":50,"threats":16,"worksHp":216,"works":{"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":9,"hp":104.20000000000007,"maxHp":125,"level":13,"gold":50,"threats":23,"worksHp":332,"works":{"sentry_beacon":2,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":10,"hp":129.20000000000007,"maxHp":150,"level":15,"gold":65,"threats":25,"worksHp":396,"works":{"sentry_beacon":3,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":11,"hp":129.20000000000007,"maxHp":150,"level":16,"gold":40,"threats":28,"worksHp":466,"works":{"sentry_beacon":4,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":12,"hp":154.20000000000007,"maxHp":175,"level":18,"gold":100,"threats":26,"worksHp":466,"works":{"sentry_beacon":4,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":13,"hp":154.20000000000007,"maxHp":175,"level":20,"gold":85,"threats":29,"worksHp":548,"works":{"sentry_beacon":5,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
build refused sentry_beacon:2.7:14.5:0: FAILED (out_of_zone): BUILD action was rejected.
{"wave":13,"hp":146.20000000000007,"maxHp":175,"level":21,"gold":125,"threats":20,"worksHp":548,"works":{"sentry_beacon":5,"turret":4,"lantern_post":7},"needsRider":true,"failures":["FAILED (out_of_zone): BUILD action was rejected."]}
{"wave":14,"hp":146.20000000000007,"maxHp":175,"level":21,"gold":125,"threats":28,"worksHp":672,"works":{"sentry_beacon":5,"palisade":1,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":14,"hp":146.20000000000007,"maxHp":175,"level":22,"gold":145,"threats":14,"worksHp":928,"works":{"sentry_beacon":5,"palisade":3,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":14,"hp":146.20000000000007,"maxHp":175,"level":22,"gold":145,"threats":14,"worksHp":920,"works":{"sentry_beacon":5,"palisade":3,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":14,"hp":146.20000000000007,"maxHp":175,"level":22,"gold":145,"threats":15,"worksHp":912,"works":{"sentry_beacon":5,"palisade":3,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":14,"hp":146.20000000000007,"maxHp":175,"level":23,"gold":175,"threats":10,"worksHp":1044,"works":{"sentry_beacon":5,"palisade":4,"turret":4,"lantern_post":7},"offer":["wide_ring","pan_legend","spring_heels"],"needsRider":true,"failures":[]}
{"wave":15,"hp":146.20000000000007,"maxHp":175,"level":23,"gold":15,"threats":30,"worksHp":1176,"works":{"sentry_beacon":5,"palisade":5,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":15,"hp":146.20000000000007,"maxHp":175,"level":23,"gold":45,"threats":21,"worksHp":1300,"works":{"sentry_beacon":5,"palisade":6,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":15,"hp":146.20000000000007,"maxHp":175,"level":23,"gold":45,"threats":21,"worksHp":1292,"works":{"sentry_beacon":5,"palisade":6,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":15,"hp":146.20000000000007,"maxHp":175,"level":23,"gold":35,"threats":21,"worksHp":1424,"works":{"sentry_beacon":5,"palisade":7,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":15,"hp":146.20000000000007,"maxHp":175,"level":24,"gold":35,"threats":13,"worksHp":1416,"works":{"sentry_beacon":5,"palisade":7,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":15,"hp":146.20000000000007,"maxHp":175,"level":24,"gold":35,"threats":9,"worksHp":1408,"works":{"sentry_beacon":5,"palisade":7,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":15,"hp":146.20000000000007,"maxHp":175,"level":24,"gold":25,"threats":10,"worksHp":1540,"works":{"sentry_beacon":5,"palisade":8,"turret":4,"lantern_post":7},"needsRider":true,"failures":[]}
{"wave":16,"hp":146.20000000000007,"maxHp":175,"level":24,"gold":65,"threats":31,"worksHp":1680,"works":{"sentry_beacon":5,"palisade":9,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
{"wave":17,"hp":175,"maxHp":175,"level":25,"gold":95,"threats":34,"worksHp":1976,"works":{"sentry_beacon":5,"palisade":11,"turret":4,"lantern_post":7},"needsRider":false,"failures":[]}
build refused palisade:3:17:1: FAILED (out_of_zone): BUILD action was rejected.
{"wave":17,"hp":175,"maxHp":175,"level":25,"gold":95,"threats":32,"worksHp":1976,"works":{"sentry_beacon":5,"palisade":11,"turret":4,"lantern_post":7},"needsRider":true,"failures":["FAILED (out_of_zone): BUILD action was rejected."]}
build refused palisade:6:17:1: FAILED (out_of_zone): BUILD action was rejected.
