cors-probe (after): tree b2d0c3992, node v26.4.0; eight doors, every CORS entry point, called in process, no port, no live request
door | entry | env | origin | status error | allow-origin | expected | verdict
functions/api/_bugs.ts | postBug | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_bugs.ts | postBug | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_bugs.ts | postBug | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_bugs.ts | postBug | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_bugs.ts | postBug | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | postBug | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | postBug | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_bugs.ts | listBugs | pages production | http://localhost:5188 | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | listBugs | pages production | http://127.0.0.1:5188 | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | listBugs | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_bugs.ts | listBugs | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_bugs.ts | listBugs | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | listBugs | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | listBugs | pages production | https://evil.example | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | getBug | pages production | http://localhost:5188 | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | getBug | pages production | http://127.0.0.1:5188 | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_bugs.ts | getBug | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_bugs.ts | getBug | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_bugs.ts | getBug | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | getBug | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_bugs.ts | getBug | pages production | https://evil.example | 404 not_found | (none) | refuse 404 (none) | ok
functions/api/_accounts.ts | requestCode | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | requestCode | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | requestCode | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | requestCode | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | requestCode | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | requestCode | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | requestCode | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | verifyCode | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | verifyCode | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | verifyCode | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | verifyCode | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | verifyCode | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | verifyCode | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | verifyCode | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | sessionStatus | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | sessionStatus | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | sessionStatus | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | sessionStatus | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | sessionStatus | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | sessionStatus | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | sessionStatus | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | pushSave | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | pushSave | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
