(node:34981) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
eraStamp: pinned="690a6bc40" derived="9382083d3"
e1-twin-banks/e1-twin-banks-01 timeMs: pinned=91600 derived=99733
e1-twin-banks/e1-twin-banks-01 kills: pinned=33 derived=50
e1-twin-banks/e1-twin-banks-01 eventLogHash: pinned="fnv1a32:01e5173c" derived="fnv1a32:6730d992"
e1-twin-banks/e1-twin-banks-02 timeMs: pinned=105167 derived=98633
e1-twin-banks/e1-twin-banks-02 kills: pinned=43 derived=47
e1-twin-banks/e1-twin-banks-02 eventLogHash: pinned="fnv1a32:7390fe5f" derived="fnv1a32:c4431597"
e1-twin-banks/e1-twin-banks-03 timeMs: pinned=104933 derived=99333
e1-twin-banks/e1-twin-banks-03 kills: pinned=50 derived=49
e1-twin-banks/e1-twin-banks-03 eventLogHash: pinned="fnv1a32:23ea0d35" derived="fnv1a32:358ea82a"
e1-twin-banks/e1-twin-banks-04 timeMs: pinned=72367 derived=75600
e1-twin-banks/e1-twin-banks-04 kills: pinned=28 derived=31
e1-twin-banks/e1-twin-banks-04 eventLogHash: pinned="fnv1a32:2d3f4acb" derived="fnv1a32:3518b84c"
e1-twin-banks/e1-twin-banks-05 waves: pinned=2 derived=3
e1-twin-banks/e1-twin-banks-05 timeMs: pinned=76133 derived=109633
e1-twin-banks/e1-twin-banks-05 kills: pinned=29 derived=56
e1-twin-banks/e1-twin-banks-05 eventLogHash: pinned="fnv1a32:9518716f" derived="fnv1a32:d349355e"
e2-hill-mine/e2-hill-mine-01 timeMs: pinned=82767 derived=72467
e2-hill-mine/e2-hill-mine-01 kills: pinned=24 derived=19
e2-hill-mine/e2-hill-mine-01 eventLogHash: pinned="fnv1a32:4b3cd37b" derived="fnv1a32:658e852a"
e2-hill-mine/e2-hill-mine-02 timeMs: pinned=74467 derived=82267
e2-hill-mine/e2-hill-mine-02 kills: pinned=18 derived=22
e2-hill-mine/e2-hill-mine-02 eventLogHash: pinned="fnv1a32:6a1b7941" derived="fnv1a32:c87e0e99"
e2-trestle/e2-trestle-01 timeMs: pinned=65500 derived=68767
e2-trestle/e2-trestle-01 kills: pinned=22 derived=23
e2-trestle/e2-trestle-01 eventLogHash: pinned="fnv1a32:0b42abb2" derived="fnv1a32:a552a476"
e2-trestle/e2-trestle-02 timeMs: pinned=57933 derived=55867
e2-trestle/e2-trestle-02 eventLogHash: pinned="fnv1a32:79415769" derived="fnv1a32:68587d07"
e5-flotilla/e5-flotilla-01 eventLogHash: pinned="fnv1a32:68d87963" derived="fnv1a32:815739a6"
e5-flotilla/e5-flotilla-02 eventLogHash: pinned="fnv1a32:008f54ba" derived="fnv1a32:ea3e2f0f"
e5-regatta/e5-regatta-01 eventLogHash: pinned="fnv1a32:80b36bec" derived="fnv1a32:d461683d"
e5-regatta/e5-regatta-02 eventLogHash: pinned="fnv1a32:3dfe7f19" derived="fnv1a32:1676f150"
e5-stillwater/e5-stillwater-01 timeMs: pinned=104433 derived=103500
e5-stillwater/e5-stillwater-01 kills: pinned=41 derived=40
e5-stillwater/e5-stillwater-01 eventLogHash: pinned="fnv1a32:59ec4f5c" derived="fnv1a32:11d72e7f"
e5-stillwater/e5-stillwater-02 timeMs: pinned=93367 derived=92100
e5-stillwater/e5-stillwater-02 kills: pinned=35 derived=33
e5-stillwater/e5-stillwater-02 eventLogHash: pinned="fnv1a32:f3da3f08" derived="fnv1a32:a24bbb55"
e6-glow-mesa/e6-glow-mesa-01 timeMs: pinned=467633 derived=460500
e6-glow-mesa/e6-glow-mesa-01 kills: pinned=290 derived=282
e6-glow-mesa/e6-glow-mesa-01 eventLogHash: pinned="fnv1a32:0ae65b8e" derived="fnv1a32:3c293671"
e6-glow-mesa/e6-glow-mesa-02 timeMs: pinned=436800 derived=448333
e6-glow-mesa/e6-glow-mesa-02 kills: pinned=287 derived=293
e6-glow-mesa/e6-glow-mesa-02 eventLogHash: pinned="fnv1a32:004ae8d7" derived="fnv1a32:09e32aa3"
44 null-floor differences found (241.4s).
rc=1
