town-full-desktop-town-quiet: insufficient-clean-samples fps=— renderMs p95=— longFrames=— peakLoad=— kept=0 discarded=6
the-claim-full-desktop-wave1-quiet: measured fps=120 renderMs p95=1.20 longFrames=0 peakLoad=10.9 kept=3 discarded=3
the-claim-full-desktop-stress-quiet: measured fps=120 renderMs p95=1.10 longFrames=0 peakLoad=10.6 kept=3 discarded=0
e9-seed-run-full-desktop-wave1-quiet: measured fps=120 renderMs p95=1.20 longFrames=1 peakLoad=10.5 kept=3 discarded=0
e9-seed-run-full-desktop-stress-quiet: measured fps=119 renderMs p95=1.30 longFrames=1 peakLoad=9.2 kept=3 discarded=0
e2-hill-mine-full-desktop-wave1-quiet: measured fps=120 renderMs p95=1.10 longFrames=0 peakLoad=10.5 kept=3 discarded=3
e2-hill-mine-full-desktop-stress-quiet: measured fps=120 renderMs p95=1.10 longFrames=0 peakLoad=9.5 kept=3 discarded=0
e1-night-shift-full-desktop-wave1-quiet: measured fps=120 renderMs p95=1.10 longFrames=0 peakLoad=12.0 kept=3 discarded=3
e1-night-shift-full-desktop-stress-quiet: insufficient-clean-samples fps=— renderMs p95=— longFrames=— peakLoad=— kept=1 discarded=5
e4-long-road-full-desktop-wave1-quiet: measured fps=120 renderMs p95=1.00 longFrames=1 peakLoad=10.3 kept=3 discarded=0
e4-long-road-full-desktop-stress-quiet: measured fps=120 renderMs p95=0.90 longFrames=0 peakLoad=9.6 kept=3 discarded=0
