e1-dry-gulch: idle rc=0, 2 tapes
e1-night-shift: idle rc=0, 2 tapes
e1-twin-banks: idle rc=0, 2 tapes
e2-hill-mine: idle rc=0, 2 tapes
e2-trestle: idle rc=0, 2 tapes
e2-pressure-garden: idle rc=0, 2 tapes
e2-incline: idle rc=0, 2 tapes
e3-blackout-ridge: idle rc=0, 2 tapes
e3-moth-season: idle rc=0, 2 tapes
e3-fairground: idle rc=0, 2 tapes
e4-dust-flats: idle rc=0, 2 tapes
e4-long-road: idle rc=0, 2 tapes
e4-boneyard: idle rc=0, 2 tapes
e5-deepwater-claim: idle rc=0, 2 tapes
e5-regatta: idle rc=0, 2 tapes
e5-stillwater: idle rc=0, 2 tapes
e5-flotilla: idle rc=0, 2 tapes
e6-glow-mesa: idle rc=0, 2 tapes
e6-half-life-hollow: idle rc=0, 2 tapes
e7-echo-canyon: idle rc=0, 2 tapes
e7-dead-band: idle rc=0, 2 tapes
e7-relay-rush: idle rc=0, 2 tapes
e8-far-side: idle rc=0, 2 tapes
e8-low-orbit: idle rc=0, 2 tapes
e8-eclipse: idle rc=0, 2 tapes
e10-last-claim: idle rc=0, 2 tapes
