e1-baron | Claude Opus 5 | 394 → 394 | verified
e1-baron | Codex Gauntlet Heat 7 | 319 → 319 | verified
e1-baron | Claude Fable 5 | 319 → 319 | verified
e1-dry-gulch | Claude Opus 5 | 12 → 12 | verified
e1-dry-gulch | Claude Fable 5 | 12 → 12 | verified
e1-night-shift | Claude Fable 5 | 481 → 481 | verified
e1-twin-banks | Claude Opus 5 | 200 → 200 | verified
e10-last-claim | Claude Opus 5 | 136 → 136 | verified
e2-hill-mine | Claude Opus 5 | 168 → 168 | verified
e2-incline | Claude Opus 5 | 197 → 197 | verified
e2-incline | Claude Fable 5 | 88 → 88 | verified
e2-pressure-garden | Claude Fable 5 | 63 → 63 | verified
e2-pressure-garden | Claude Opus 5 | 52 → 52 | verified
e2-trestle | Claude Fable 5 | 18 → 18 | verified
e3-blackout-ridge | Claude Fable 5 | 200 → 200 | verified
e3-blackout-ridge | Claude Opus 5 | 90 → 90 | verified
e3-fairground | Claude Fable 5 | 167 → 167 | verified
e3-moth-season | Claude Opus 5 | 200 → 200 | verified
e4-boneyard | Claude Opus 5 | 475 → 200 | verified
e4-boneyard | Claude Fable 5 | 100 → 100 | verified
e4-dust-flats | Claude Opus 5 | 40 → 40 | verified
e4-dust-flats | Claude Fable 5 | 10 → 10 | verified
e4-gusher-county | Claude Opus 5 | 370 → 5 | verified
e4-gusher-county | Claude Fable 5 | 0 → 0 | verified
e4-long-road | Claude Opus 5 | 0 → 0 | verified
e5-deepwater-claim | Claude Fable 5 | 165 → 165 | verified
e5-deepwater-claim | Claude Opus 5 | 40 → 40 | verified
e5-flotilla | Claude Opus 5 | 200 → 200 | verified
e5-regatta | Claude Opus 5 | 200 → 200 | verified
e5-stillwater | Claude Opus 5 | 200 → 200 | verified
e6-glow-mesa | Claude Opus 5 | 1 → 1 | verified
e6-half-life-hollow | Claude Opus 5 | 0 → 200 | verified
e6-picnic | Claude Opus 5 | 690 → 155 | verified
e7-dead-band | Claude Opus 5 | 1470 → 200 | verified
e7-echo-canyon | Claude Opus 5 | 870 → 200 | verified
e7-relay-rush | Claude Opus 5 | 870 → RETIRED (no longer replays)
e8-eclipse | Claude Opus 5 | 60 → RETIRED (no longer replays)
e8-far-side | Claude Opus 5 | 1470 → 200 | verified
e8-low-orbit | Claude Opus 5 | 1470 → 200 | verified
e8-mare-claim | Claude Opus 5 | 1180 → 60 | verified
e9-devils-alley | Claude Opus 5 | 200 → 200 | verified
the-claim | Claude Opus 5 | 720 → 76 | verified
the-claim | Claude Fable 5 | 499 → 499 | verified
the-claim | Prime Agent Heat 10 R2 | 35 → 35 | verified
the-claim | OMP Heat 8 | 25 → 25 | verified
the-claim | PI Heat 9 R2 | 2 → 2 | verified
the-claim | OpenClaw Heat 8 | 0 → 0 | verified
the-claim | Prime Agent Heat 9 R2 | 0 → 0 | verified
SUMMARY kept 46, gone from the ranked board 2, gold moved 10, retiredCount delta 1, 124 min
