ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	56
F-CLI-2	finding	OPEN-DESK-ONLY	40
F-2498-1	finding	OPEN-DESK-ONLY	81
F-2473-1	finding	OPEN-DESK-ONLY	133
F-WIN-1	finding	OPEN-DESK-ONLY	224
F-2457-4	finding	OPEN-DESK-ONLY	219
F-2387-1	finding	OPEN-DESK-ONLY	409
F-2386-1	finding	OPEN-DESK-ONLY	403, 411
F-2355-2	finding	OPEN-DESK-ONLY	498
F-2352-3	finding	OPEN-DESK-ONLY	508
F-2350-3	finding	OPEN-DESK-ONLY	521
F-2343-2	finding	OPEN-DESK-ONLY	536
F-2329-1	finding	OPEN-DESK-ONLY	699
F-2320-1	finding	OPEN-DESK-ONLY	572
F-2308-1	finding	OPEN-DESK-ONLY	673
F-2299-2	finding	OPEN-DESK-ONLY	697
F-2299-1	finding	OPEN-DESK-ONLY	698
F-2298-1	finding	OPEN-DESK-ONLY	696
F-2297-1	finding	OPEN-DESK-ONLY	695
F-2296-1	finding	OPEN-DESK-ONLY	694
F-2290-1	finding	OPEN-DESK-ONLY	715
F-2280-2	finding	OPEN-DESK-ONLY	727
F-2272-1	finding	OPEN	779
F-2270-3	finding	OPEN-DESK-ONLY	793
F-1313-3	finding	OPEN-DESK-ONLY	2648
F-2261-2	finding	OPEN-DESK-ONLY	811
F-2190-2	finding	OPEN-DESK-ONLY	943
F-2159-1	finding	OPEN-DESK-ONLY	1078
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	988, 1028
F-1637-2	finding	OPEN-DESK-ONLY	1005, 5304
F-E2S-4	finding	OPEN-DESK-ONLY	1667, 1709
F-1656-3	finding	OPEN-DESK-ONLY	1519
F-2080-3	finding	OPEN-DESK-ONLY	1298
F-2054-1	finding	OPEN-DESK-ONLY	1355
F-1659-1	finding	OPEN-DESK-ONLY	1533
F-1657-3	finding	OPEN-DESK-ONLY	1513
F-1653-2	finding	OPEN-DESK-ONLY	1526
F-1625-4	finding	OPEN-DESK-ONLY	5273
F-1601-1	finding	OPEN-DESK-ONLY	1673
F-1536-2	finding	OPEN-DESK-ONLY	1882
F-1510-1	finding	OPEN-DESK-ONLY	1928
F-1507-1	finding	OPEN-DESK-ONLY	1957
F-1501-3	finding	OPEN-DESK-ONLY	1986
F-1193-3	finding	OPEN-DESK-ONLY	1661, 1662, 1728, 4916
F-1182-2	finding	OPEN-DESK-ONLY	4922
F-E8LO-3	finding	OPEN-DESK-ONLY	1269
F-DOOR-6	finding	OPEN-DESK-ONLY	1717
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2022
F-1055-2	finding	OPEN-DESK-ONLY	4152
F-1103-2	finding	OPEN-DESK-ONLY	4558
F-PT15-1	finding	OPEN-DESK-ONLY	953
F-2397-3	finding	OPEN-DESK-ONLY	380

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=51 · UNRECORDED=0
