ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	75
F-CLI-2	finding	OPEN-DESK-ONLY	59
F-2498-1	finding	OPEN-DESK-ONLY	100
F-2473-1	finding	OPEN-DESK-ONLY	22, 152
F-WIN-1	finding	OPEN-DESK-ONLY	243
F-2457-4	finding	OPEN-DESK-ONLY	238
F-2387-1	finding	OPEN-DESK-ONLY	428
F-2386-1	finding	OPEN-DESK-ONLY	422, 430
F-2355-2	finding	OPEN-DESK-ONLY	517
F-2352-3	finding	OPEN-DESK-ONLY	527
F-2350-3	finding	OPEN-DESK-ONLY	540
F-2343-2	finding	OPEN-DESK-ONLY	555
F-2329-1	finding	OPEN-DESK-ONLY	718
F-2320-1	finding	OPEN-DESK-ONLY	591
F-2308-1	finding	OPEN-DESK-ONLY	692
F-2299-2	finding	OPEN-DESK-ONLY	716
F-2299-1	finding	OPEN-DESK-ONLY	717
F-2298-1	finding	OPEN-DESK-ONLY	715
F-2297-1	finding	OPEN-DESK-ONLY	714
F-2296-1	finding	OPEN-DESK-ONLY	713
F-2290-1	finding	OPEN-DESK-ONLY	734
F-2280-2	finding	OPEN-DESK-ONLY	746
F-2272-1	finding	OPEN	798
F-2270-3	finding	OPEN-DESK-ONLY	812
F-1313-3	finding	OPEN-DESK-ONLY	2667
F-2261-2	finding	OPEN-DESK-ONLY	830
F-2190-2	finding	OPEN-DESK-ONLY	962
F-2159-1	finding	OPEN-DESK-ONLY	1097
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1007, 1047
F-1637-2	finding	OPEN-DESK-ONLY	1024, 5323
F-E2S-4	finding	OPEN-DESK-ONLY	1686, 1728
F-1656-3	finding	OPEN-DESK-ONLY	1538
F-2080-3	finding	OPEN-DESK-ONLY	1317
F-2054-1	finding	OPEN-DESK-ONLY	1374
F-1659-1	finding	OPEN-DESK-ONLY	1552
F-1657-3	finding	OPEN-DESK-ONLY	1532
F-1653-2	finding	OPEN-DESK-ONLY	1545
F-1625-4	finding	OPEN-DESK-ONLY	5292
F-1601-1	finding	OPEN-DESK-ONLY	1692
F-1536-2	finding	OPEN-DESK-ONLY	1901
F-1510-1	finding	OPEN-DESK-ONLY	1947
F-1507-1	finding	OPEN-DESK-ONLY	1976
F-1501-3	finding	OPEN-DESK-ONLY	2005
F-1193-3	finding	OPEN-DESK-ONLY	1680, 1681, 1747, 4935
F-1182-2	finding	OPEN-DESK-ONLY	4941
F-E8LO-3	finding	OPEN-DESK-ONLY	1288
F-DOOR-6	finding	OPEN-DESK-ONLY	1736
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2041
F-1055-2	finding	OPEN-DESK-ONLY	4171
F-1103-2	finding	OPEN-DESK-ONLY	4577
F-PT15-1	finding	OPEN-DESK-ONLY	972
F-2397-3	finding	OPEN-DESK-ONLY	399

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=51 · UNRECORDED=0
