ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	233
F-CLI-2	finding	OPEN-DESK-ONLY	217
F-2498-1	finding	OPEN-DESK-ONLY	258
F-2473-1	finding	OPEN-DESK-ONLY	180, 310
F-WIN-1	finding	OPEN-DESK-ONLY	401
F-2457-4	finding	OPEN-DESK-ONLY	396
F-2387-1	finding	OPEN-DESK-ONLY	586
F-2386-1	finding	OPEN-DESK-ONLY	580, 588
F-2355-2	finding	OPEN-DESK-ONLY	675
F-2352-3	finding	OPEN-DESK-ONLY	685
F-2350-3	finding	OPEN-DESK-ONLY	698
F-2343-2	finding	OPEN-DESK-ONLY	713
F-2329-1	finding	OPEN-DESK-ONLY	876
F-2320-1	finding	OPEN-DESK-ONLY	749
F-2308-1	finding	OPEN-DESK-ONLY	850
F-2299-2	finding	OPEN-DESK-ONLY	874
F-2299-1	finding	OPEN-DESK-ONLY	875
F-2298-1	finding	OPEN-DESK-ONLY	873
F-2297-1	finding	OPEN-DESK-ONLY	872
F-2296-1	finding	OPEN-DESK-ONLY	871
F-2290-1	finding	OPEN-DESK-ONLY	892
F-2280-2	finding	OPEN-DESK-ONLY	904
F-2272-1	finding	OPEN	956
F-2270-3	finding	OPEN-DESK-ONLY	970
F-1313-3	finding	OPEN-DESK-ONLY	2825
F-2261-2	finding	OPEN-DESK-ONLY	988
F-2190-2	finding	OPEN-DESK-ONLY	1120
F-2159-1	finding	OPEN-DESK-ONLY	1255
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1165, 1205
F-1637-2	finding	OPEN-DESK-ONLY	1182, 5481
F-E2S-4	finding	OPEN-DESK-ONLY	1844, 1886
F-1656-3	finding	OPEN-DESK-ONLY	1696
F-2080-3	finding	OPEN-DESK-ONLY	1475
F-2054-1	finding	OPEN-DESK-ONLY	1532
F-1659-1	finding	OPEN-DESK-ONLY	1710
F-1657-3	finding	OPEN-DESK-ONLY	1690
F-1653-2	finding	OPEN-DESK-ONLY	1703
F-1625-4	finding	OPEN-DESK-ONLY	5450
F-1601-1	finding	OPEN-DESK-ONLY	1850
F-1536-2	finding	OPEN-DESK-ONLY	2059
F-1510-1	finding	OPEN-DESK-ONLY	2105
F-1507-1	finding	OPEN-DESK-ONLY	2134
F-1501-3	finding	OPEN-DESK-ONLY	2163
F-1193-3	finding	OPEN-DESK-ONLY	1838, 1839, 1905, 5093
F-1182-2	finding	OPEN-DESK-ONLY	5099
F-E8LO-3	finding	OPEN-DESK-ONLY	1446
F-DOOR-6	finding	OPEN-DESK-ONLY	1894
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2199
F-1055-2	finding	OPEN-DESK-ONLY	4329
F-1103-2	finding	OPEN-DESK-ONLY	4735
F-PT15-1	finding	OPEN-DESK-ONLY	1130
F-2397-3	finding	OPEN-DESK-ONLY	557
F-EAL-3	finding	OPEN-DESK-ONLY	3
F-FTP-1	finding	OPEN-DESK-ONLY	5

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=53 · UNRECORDED=0
