ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	223
F-CLI-2	finding	OPEN-DESK-ONLY	207
F-2498-1	finding	OPEN-DESK-ONLY	248
F-2473-1	finding	OPEN-DESK-ONLY	170, 300
F-WIN-1	finding	OPEN-DESK-ONLY	391
F-2457-4	finding	OPEN-DESK-ONLY	386
F-2387-1	finding	OPEN-DESK-ONLY	576
F-2386-1	finding	OPEN-DESK-ONLY	570, 578
F-2355-2	finding	OPEN-DESK-ONLY	665
F-2352-3	finding	OPEN-DESK-ONLY	675
F-2350-3	finding	OPEN-DESK-ONLY	688
F-2343-2	finding	OPEN-DESK-ONLY	703
F-2329-1	finding	OPEN-DESK-ONLY	866
F-2320-1	finding	OPEN-DESK-ONLY	739
F-2308-1	finding	OPEN-DESK-ONLY	840
F-2299-2	finding	OPEN-DESK-ONLY	864
F-2299-1	finding	OPEN-DESK-ONLY	865
F-2298-1	finding	OPEN-DESK-ONLY	863
F-2297-1	finding	OPEN-DESK-ONLY	862
F-2296-1	finding	OPEN-DESK-ONLY	861
F-2290-1	finding	OPEN-DESK-ONLY	882
F-2280-2	finding	OPEN-DESK-ONLY	894
F-2272-1	finding	OPEN	946
F-2270-3	finding	OPEN-DESK-ONLY	960
F-1313-3	finding	OPEN-DESK-ONLY	2815
F-2261-2	finding	OPEN-DESK-ONLY	978
F-2190-2	finding	OPEN-DESK-ONLY	1110
F-2159-1	finding	OPEN-DESK-ONLY	1245
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1155, 1195
F-1637-2	finding	OPEN-DESK-ONLY	1172, 5471
F-E2S-4	finding	OPEN-DESK-ONLY	1834, 1876
F-1656-3	finding	OPEN-DESK-ONLY	1686
F-2080-3	finding	OPEN-DESK-ONLY	1465
F-2054-1	finding	OPEN-DESK-ONLY	1522
F-1659-1	finding	OPEN-DESK-ONLY	1700
F-1657-3	finding	OPEN-DESK-ONLY	1680
F-1653-2	finding	OPEN-DESK-ONLY	1693
F-1625-4	finding	OPEN-DESK-ONLY	5440
F-1601-1	finding	OPEN-DESK-ONLY	1840
F-1536-2	finding	OPEN-DESK-ONLY	2049
F-1510-1	finding	OPEN-DESK-ONLY	2095
F-1507-1	finding	OPEN-DESK-ONLY	2124
F-1501-3	finding	OPEN-DESK-ONLY	2153
F-1193-3	finding	OPEN-DESK-ONLY	1828, 1829, 1895, 5083
F-1182-2	finding	OPEN-DESK-ONLY	5089
F-E8LO-3	finding	OPEN-DESK-ONLY	1436
F-DOOR-6	finding	OPEN-DESK-ONLY	1884
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2189
F-1055-2	finding	OPEN-DESK-ONLY	4319
F-1103-2	finding	OPEN-DESK-ONLY	4725
F-PT15-1	finding	OPEN-DESK-ONLY	1120
F-2397-3	finding	OPEN-DESK-ONLY	547

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=51 · UNRECORDED=0
