ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	246
F-CLI-2	finding	OPEN-DESK-ONLY	230
F-2498-1	finding	OPEN-DESK-ONLY	271
F-2473-1	finding	OPEN-DESK-ONLY	193, 323
F-WIN-1	finding	OPEN-DESK-ONLY	414
F-2457-4	finding	OPEN-DESK-ONLY	409
F-2387-1	finding	OPEN-DESK-ONLY	599
F-2386-1	finding	OPEN-DESK-ONLY	593, 601
F-2355-2	finding	OPEN-DESK-ONLY	688
F-2352-3	finding	OPEN-DESK-ONLY	698
F-2350-3	finding	OPEN-DESK-ONLY	711
F-2343-2	finding	OPEN-DESK-ONLY	726
F-2329-1	finding	OPEN-DESK-ONLY	889
F-2320-1	finding	OPEN-DESK-ONLY	762
F-2308-1	finding	OPEN-DESK-ONLY	863
F-2299-2	finding	OPEN-DESK-ONLY	887
F-2299-1	finding	OPEN-DESK-ONLY	888
F-2298-1	finding	OPEN-DESK-ONLY	886
F-2297-1	finding	OPEN-DESK-ONLY	885
F-2296-1	finding	OPEN-DESK-ONLY	884
F-2290-1	finding	OPEN-DESK-ONLY	905
F-2280-2	finding	OPEN-DESK-ONLY	917
F-2272-1	finding	OPEN	969
F-2270-3	finding	OPEN-DESK-ONLY	983
F-1313-3	finding	OPEN-DESK-ONLY	2838
F-2261-2	finding	OPEN-DESK-ONLY	1001
F-2190-2	finding	OPEN-DESK-ONLY	1133
F-2159-1	finding	OPEN-DESK-ONLY	1268
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1178, 1218
F-1637-2	finding	OPEN-DESK-ONLY	1195, 5494
F-E2S-4	finding	OPEN-DESK-ONLY	1857, 1899
F-1656-3	finding	OPEN-DESK-ONLY	1709
F-2080-3	finding	OPEN-DESK-ONLY	1488
F-2054-1	finding	OPEN-DESK-ONLY	1545
F-1659-1	finding	OPEN-DESK-ONLY	1723
F-1657-3	finding	OPEN-DESK-ONLY	1703
F-1653-2	finding	OPEN-DESK-ONLY	1716
F-1625-4	finding	OPEN-DESK-ONLY	5463
F-1601-1	finding	OPEN-DESK-ONLY	1863
F-1536-2	finding	OPEN-DESK-ONLY	2072
F-1510-1	finding	OPEN-DESK-ONLY	2118
F-1507-1	finding	OPEN-DESK-ONLY	2147
F-1501-3	finding	OPEN-DESK-ONLY	2176
F-1193-3	finding	OPEN-DESK-ONLY	1851, 1852, 1918, 5106
F-1182-2	finding	OPEN-DESK-ONLY	5112
F-E8LO-3	finding	OPEN-DESK-ONLY	1459
F-DOOR-6	finding	OPEN-DESK-ONLY	1907
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2212
F-1055-2	finding	OPEN-DESK-ONLY	4342
F-1103-2	finding	OPEN-DESK-ONLY	4748
F-PT15-1	finding	OPEN-DESK-ONLY	1143
F-2397-3	finding	OPEN-DESK-ONLY	570
F-EAL-3	finding	OPEN-DESK-ONLY	16
F-FTP-1	finding	OPEN-DESK-ONLY	18
F-AGE2-1	finding	OPEN-DESK-ONLY	1

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=54 · UNRECORDED=0
