ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	242
F-CLI-2	finding	OPEN-DESK-ONLY	226
F-2498-1	finding	OPEN-DESK-ONLY	267
F-2473-1	finding	OPEN-DESK-ONLY	189, 319
F-WIN-1	finding	OPEN-DESK-ONLY	410
F-2457-4	finding	OPEN-DESK-ONLY	405
F-2387-1	finding	OPEN-DESK-ONLY	595
F-2386-1	finding	OPEN-DESK-ONLY	589, 597
F-2355-2	finding	OPEN-DESK-ONLY	684
F-2352-3	finding	OPEN-DESK-ONLY	694
F-2350-3	finding	OPEN-DESK-ONLY	707
F-2343-2	finding	OPEN-DESK-ONLY	722
F-2329-1	finding	OPEN-DESK-ONLY	885
F-2320-1	finding	OPEN-DESK-ONLY	758
F-2308-1	finding	OPEN-DESK-ONLY	859
F-2299-2	finding	OPEN-DESK-ONLY	883
F-2299-1	finding	OPEN-DESK-ONLY	884
F-2298-1	finding	OPEN-DESK-ONLY	882
F-2297-1	finding	OPEN-DESK-ONLY	881
F-2296-1	finding	OPEN-DESK-ONLY	880
F-2290-1	finding	OPEN-DESK-ONLY	901
F-2280-2	finding	OPEN-DESK-ONLY	913
F-2272-1	finding	OPEN	965
F-2270-3	finding	OPEN-DESK-ONLY	979
F-1313-3	finding	OPEN-DESK-ONLY	2834
F-2261-2	finding	OPEN-DESK-ONLY	997
F-2190-2	finding	OPEN-DESK-ONLY	1129
F-2159-1	finding	OPEN-DESK-ONLY	1264
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1174, 1214
F-1637-2	finding	OPEN-DESK-ONLY	1191, 5490
F-E2S-4	finding	OPEN-DESK-ONLY	1853, 1895
F-1656-3	finding	OPEN-DESK-ONLY	1705
F-2080-3	finding	OPEN-DESK-ONLY	1484
F-2054-1	finding	OPEN-DESK-ONLY	1541
F-1659-1	finding	OPEN-DESK-ONLY	1719
F-1657-3	finding	OPEN-DESK-ONLY	1699
F-1653-2	finding	OPEN-DESK-ONLY	1712
F-1625-4	finding	OPEN-DESK-ONLY	5459
F-1601-1	finding	OPEN-DESK-ONLY	1859
F-1536-2	finding	OPEN-DESK-ONLY	2068
F-1510-1	finding	OPEN-DESK-ONLY	2114
F-1507-1	finding	OPEN-DESK-ONLY	2143
F-1501-3	finding	OPEN-DESK-ONLY	2172
F-1193-3	finding	OPEN-DESK-ONLY	1847, 1848, 1914, 5102
F-1182-2	finding	OPEN-DESK-ONLY	5108
F-E8LO-3	finding	OPEN-DESK-ONLY	1455
F-DOOR-6	finding	OPEN-DESK-ONLY	1903
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2208
F-1055-2	finding	OPEN-DESK-ONLY	4338
F-1103-2	finding	OPEN-DESK-ONLY	4744
F-PT15-1	finding	OPEN-DESK-ONLY	1139
F-2397-3	finding	OPEN-DESK-ONLY	566
F-EAL-3	finding	OPEN-DESK-ONLY	12
F-FTP-1	finding	OPEN-DESK-ONLY	14

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=53 · UNRECORDED=0
