ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	248
F-CLI-2	finding	OPEN-DESK-ONLY	232
F-2498-1	finding	OPEN-DESK-ONLY	273
F-2473-1	finding	OPEN-DESK-ONLY	195, 325
F-WIN-1	finding	OPEN-DESK-ONLY	416
F-2457-4	finding	OPEN-DESK-ONLY	411
F-2387-1	finding	OPEN-DESK-ONLY	601
F-2386-1	finding	OPEN-DESK-ONLY	595, 603
F-2355-2	finding	OPEN-DESK-ONLY	690
F-2352-3	finding	OPEN-DESK-ONLY	700
F-2350-3	finding	OPEN-DESK-ONLY	713
F-2343-2	finding	OPEN-DESK-ONLY	728
F-2329-1	finding	OPEN-DESK-ONLY	891
F-2320-1	finding	OPEN-DESK-ONLY	764
F-2308-1	finding	OPEN-DESK-ONLY	865
F-2299-2	finding	OPEN-DESK-ONLY	889
F-2299-1	finding	OPEN-DESK-ONLY	890
F-2298-1	finding	OPEN-DESK-ONLY	888
F-2297-1	finding	OPEN-DESK-ONLY	887
F-2296-1	finding	OPEN-DESK-ONLY	886
F-2290-1	finding	OPEN-DESK-ONLY	907
F-2280-2	finding	OPEN-DESK-ONLY	919
F-2272-1	finding	OPEN	971
F-2270-3	finding	OPEN-DESK-ONLY	985
F-1313-3	finding	OPEN-DESK-ONLY	2840
F-2261-2	finding	OPEN-DESK-ONLY	1003
F-2190-2	finding	OPEN-DESK-ONLY	1135
F-2159-1	finding	OPEN-DESK-ONLY	1270
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1180, 1220
F-1637-2	finding	OPEN-DESK-ONLY	1197, 5496
F-E2S-4	finding	OPEN-DESK-ONLY	1859, 1901
F-1656-3	finding	OPEN-DESK-ONLY	1711
F-2080-3	finding	OPEN-DESK-ONLY	1490
F-2054-1	finding	OPEN-DESK-ONLY	1547
F-1659-1	finding	OPEN-DESK-ONLY	1725
F-1657-3	finding	OPEN-DESK-ONLY	1705
F-1653-2	finding	OPEN-DESK-ONLY	1718
F-1625-4	finding	OPEN-DESK-ONLY	5465
F-1601-1	finding	OPEN-DESK-ONLY	1865
F-1536-2	finding	OPEN-DESK-ONLY	2074
F-1510-1	finding	OPEN-DESK-ONLY	2120
F-1507-1	finding	OPEN-DESK-ONLY	2149
F-1501-3	finding	OPEN-DESK-ONLY	2178
F-1193-3	finding	OPEN-DESK-ONLY	1853, 1854, 1920, 5108
F-1182-2	finding	OPEN-DESK-ONLY	5114
F-E8LO-3	finding	OPEN-DESK-ONLY	1461
F-DOOR-6	finding	OPEN-DESK-ONLY	1909
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2214
F-1055-2	finding	OPEN-DESK-ONLY	4344
F-1103-2	finding	OPEN-DESK-ONLY	4750
F-PT15-1	finding	OPEN-DESK-ONLY	1145
F-2397-3	finding	OPEN-DESK-ONLY	572
F-EAL-3	finding	OPEN-DESK-ONLY	18
F-FTP-1	finding	OPEN-DESK-ONLY	20
F-AGE2-1	finding	OPEN-DESK-ONLY	3

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=54 · UNRECORDED=0
