ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	254
F-CLI-2	finding	OPEN-DESK-ONLY	238
F-2498-1	finding	OPEN-DESK-ONLY	279
F-2473-1	finding	OPEN-DESK-ONLY	201, 331
F-WIN-1	finding	OPEN-DESK-ONLY	422
F-2457-4	finding	OPEN-DESK-ONLY	417
F-2387-1	finding	OPEN-DESK-ONLY	607
F-2386-1	finding	OPEN-DESK-ONLY	601, 609
F-2355-2	finding	OPEN-DESK-ONLY	696
F-2352-3	finding	OPEN-DESK-ONLY	706
F-2350-3	finding	OPEN-DESK-ONLY	719
F-2343-2	finding	OPEN-DESK-ONLY	734
F-2329-1	finding	OPEN-DESK-ONLY	897
F-2320-1	finding	OPEN-DESK-ONLY	770
F-2308-1	finding	OPEN-DESK-ONLY	871
F-2299-2	finding	OPEN-DESK-ONLY	895
F-2299-1	finding	OPEN-DESK-ONLY	896
F-2298-1	finding	OPEN-DESK-ONLY	894
F-2297-1	finding	OPEN-DESK-ONLY	893
F-2296-1	finding	OPEN-DESK-ONLY	892
F-2290-1	finding	OPEN-DESK-ONLY	913
F-2280-2	finding	OPEN-DESK-ONLY	925
F-2272-1	finding	OPEN	977
F-2270-3	finding	OPEN-DESK-ONLY	991
F-1313-3	finding	OPEN-DESK-ONLY	2846
F-2261-2	finding	OPEN-DESK-ONLY	1009
F-2190-2	finding	OPEN-DESK-ONLY	1141
F-2159-1	finding	OPEN-DESK-ONLY	1276
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1186, 1226
F-1637-2	finding	OPEN-DESK-ONLY	1203, 5502
F-E2S-4	finding	OPEN-DESK-ONLY	1865, 1907
F-1656-3	finding	OPEN-DESK-ONLY	1717
F-2080-3	finding	OPEN-DESK-ONLY	1496
F-2054-1	finding	OPEN-DESK-ONLY	1553
F-1659-1	finding	OPEN-DESK-ONLY	1731
F-1657-3	finding	OPEN-DESK-ONLY	1711
F-1653-2	finding	OPEN-DESK-ONLY	1724
F-1625-4	finding	OPEN-DESK-ONLY	5471
F-1601-1	finding	OPEN-DESK-ONLY	1871
F-1536-2	finding	OPEN-DESK-ONLY	2080
F-1510-1	finding	OPEN-DESK-ONLY	2126
F-1507-1	finding	OPEN-DESK-ONLY	2155
F-1501-3	finding	OPEN-DESK-ONLY	2184
F-1193-3	finding	OPEN-DESK-ONLY	1859, 1860, 1926, 5114
F-1182-2	finding	OPEN-DESK-ONLY	5120
F-E8LO-3	finding	OPEN-DESK-ONLY	1467
F-DOOR-6	finding	OPEN-DESK-ONLY	1915
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2220
F-1055-2	finding	OPEN-DESK-ONLY	4350
F-1103-2	finding	OPEN-DESK-ONLY	4756
F-PT15-1	finding	OPEN-DESK-ONLY	1151
F-2397-3	finding	OPEN-DESK-ONLY	578
F-EAL-3	finding	OPEN-DESK-ONLY	24
F-FTP-1	finding	OPEN-DESK-ONLY	26
F-AGE2-1	finding	OPEN-DESK-ONLY	9

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=54 · UNRECORDED=0
