ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	258
F-CLI-2	finding	OPEN-DESK-ONLY	242
F-2498-1	finding	OPEN-DESK-ONLY	283
F-2473-1	finding	OPEN-DESK-ONLY	205, 335
F-WIN-1	finding	OPEN-DESK-ONLY	426
F-2457-4	finding	OPEN-DESK-ONLY	421
F-2387-1	finding	OPEN-DESK-ONLY	611
F-2386-1	finding	OPEN-DESK-ONLY	605, 613
F-2355-2	finding	OPEN-DESK-ONLY	700
F-2352-3	finding	OPEN-DESK-ONLY	710
F-2350-3	finding	OPEN-DESK-ONLY	723
F-2343-2	finding	OPEN-DESK-ONLY	738
F-2329-1	finding	OPEN-DESK-ONLY	901
F-2320-1	finding	OPEN-DESK-ONLY	774
F-2308-1	finding	OPEN-DESK-ONLY	875
F-2299-2	finding	OPEN-DESK-ONLY	899
F-2299-1	finding	OPEN-DESK-ONLY	900
F-2298-1	finding	OPEN-DESK-ONLY	898
F-2297-1	finding	OPEN-DESK-ONLY	897
F-2296-1	finding	OPEN-DESK-ONLY	896
F-2290-1	finding	OPEN-DESK-ONLY	917
F-2280-2	finding	OPEN-DESK-ONLY	929
F-2272-1	finding	OPEN	981
F-2270-3	finding	OPEN-DESK-ONLY	995
F-1313-3	finding	OPEN-DESK-ONLY	2850
F-2261-2	finding	OPEN-DESK-ONLY	1013
F-2190-2	finding	OPEN-DESK-ONLY	1145
F-2159-1	finding	OPEN-DESK-ONLY	1280
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1190, 1230
F-1637-2	finding	OPEN-DESK-ONLY	1207, 5506
F-E2S-4	finding	OPEN-DESK-ONLY	1869, 1911
F-1656-3	finding	OPEN-DESK-ONLY	1721
F-2080-3	finding	OPEN-DESK-ONLY	1500
F-2054-1	finding	OPEN-DESK-ONLY	1557
F-1659-1	finding	OPEN-DESK-ONLY	1735
F-1657-3	finding	OPEN-DESK-ONLY	1715
F-1653-2	finding	OPEN-DESK-ONLY	1728
F-1625-4	finding	OPEN-DESK-ONLY	5475
F-1601-1	finding	OPEN-DESK-ONLY	1875
F-1536-2	finding	OPEN-DESK-ONLY	2084
F-1510-1	finding	OPEN-DESK-ONLY	2130
F-1507-1	finding	OPEN-DESK-ONLY	2159
F-1501-3	finding	OPEN-DESK-ONLY	2188
F-1193-3	finding	OPEN-DESK-ONLY	1863, 1864, 1930, 5118
F-1182-2	finding	OPEN-DESK-ONLY	5124
F-E8LO-3	finding	OPEN-DESK-ONLY	1471
F-DOOR-6	finding	OPEN-DESK-ONLY	1919
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2224
F-1055-2	finding	OPEN-DESK-ONLY	4354
F-1103-2	finding	OPEN-DESK-ONLY	4760
F-PT15-1	finding	OPEN-DESK-ONLY	1155
F-2397-3	finding	OPEN-DESK-ONLY	582
F-EAL-3	finding	OPEN-DESK-ONLY	28
F-FTP-1	finding	OPEN-DESK-ONLY	30
F-AGE2-1	finding	OPEN-DESK-ONLY	13

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=54 · UNRECORDED=0

EXIT 0
