ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	310
F-CLI-2	finding	OPEN-DESK-ONLY	294
F-2498-1	finding	OPEN-DESK-ONLY	335
F-2473-1	finding	OPEN-DESK-ONLY	257, 387
F-WIN-1	finding	OPEN-DESK-ONLY	478
F-2457-4	finding	OPEN-DESK-ONLY	473
F-2387-1	finding	OPEN-DESK-ONLY	663
F-2386-1	finding	OPEN-DESK-ONLY	657, 665
F-2355-2	finding	OPEN-DESK-ONLY	752
F-2352-3	finding	OPEN-DESK-ONLY	762
F-2350-3	finding	OPEN-DESK-ONLY	775
F-2343-2	finding	OPEN-DESK-ONLY	790
F-2329-1	finding	OPEN-DESK-ONLY	953
F-2320-1	finding	OPEN-DESK-ONLY	826
F-2308-1	finding	OPEN-DESK-ONLY	927
F-2299-2	finding	OPEN-DESK-ONLY	951
F-2299-1	finding	OPEN-DESK-ONLY	952
F-2298-1	finding	OPEN-DESK-ONLY	950
F-2297-1	finding	OPEN-DESK-ONLY	949
F-2296-1	finding	OPEN-DESK-ONLY	948
F-2290-1	finding	OPEN-DESK-ONLY	969
F-2280-2	finding	OPEN-DESK-ONLY	981
F-2272-1	finding	OPEN	1033
F-2270-3	finding	OPEN-DESK-ONLY	1047
F-1313-3	finding	OPEN-DESK-ONLY	2902
F-2261-2	finding	OPEN-DESK-ONLY	1065
F-2190-2	finding	OPEN-DESK-ONLY	1197
F-2159-1	finding	OPEN-DESK-ONLY	1332
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1242, 1282
F-1637-2	finding	OPEN-DESK-ONLY	1259, 5558
F-E2S-4	finding	OPEN-DESK-ONLY	1921, 1963
F-1656-3	finding	OPEN-DESK-ONLY	1773
F-2080-3	finding	OPEN-DESK-ONLY	1552
F-2054-1	finding	OPEN-DESK-ONLY	1609
F-1659-1	finding	OPEN-DESK-ONLY	1787
F-1657-3	finding	OPEN-DESK-ONLY	1767
F-1653-2	finding	OPEN-DESK-ONLY	1780
F-1625-4	finding	OPEN-DESK-ONLY	5527
F-1601-1	finding	OPEN-DESK-ONLY	1927
F-1536-2	finding	OPEN-DESK-ONLY	2136
F-1510-1	finding	OPEN-DESK-ONLY	2182
F-1507-1	finding	OPEN-DESK-ONLY	2211
F-1501-3	finding	OPEN-DESK-ONLY	2240
F-1193-3	finding	OPEN-DESK-ONLY	1915, 1916, 1982, 5170
F-1182-2	finding	OPEN-DESK-ONLY	5176
F-E8LO-3	finding	OPEN-DESK-ONLY	1523
F-DOOR-6	finding	OPEN-DESK-ONLY	1971
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2276
F-1055-2	finding	OPEN-DESK-ONLY	4406
F-1103-2	finding	OPEN-DESK-ONLY	4812
F-PT15-1	finding	OPEN-DESK-ONLY	1207
F-2397-3	finding	OPEN-DESK-ONLY	634
F-EAL-3	finding	OPEN-DESK-ONLY	80
F-AGE2-1	finding	OPEN-DESK-ONLY	65

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=53 · UNRECORDED=0
