ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	314
F-CLI-2	finding	OPEN-DESK-ONLY	298
F-2498-1	finding	OPEN-DESK-ONLY	339
F-2473-1	finding	OPEN-DESK-ONLY	261, 391
F-WIN-1	finding	OPEN-DESK-ONLY	482
F-2457-4	finding	OPEN-DESK-ONLY	477
F-2387-1	finding	OPEN-DESK-ONLY	667
F-2386-1	finding	OPEN-DESK-ONLY	661, 669
F-2355-2	finding	OPEN-DESK-ONLY	756
F-2352-3	finding	OPEN-DESK-ONLY	766
F-2350-3	finding	OPEN-DESK-ONLY	779
F-2343-2	finding	OPEN-DESK-ONLY	794
F-2329-1	finding	OPEN-DESK-ONLY	957
F-2320-1	finding	OPEN-DESK-ONLY	830
F-2308-1	finding	OPEN-DESK-ONLY	931
F-2299-2	finding	OPEN-DESK-ONLY	955
F-2299-1	finding	OPEN-DESK-ONLY	956
F-2298-1	finding	OPEN-DESK-ONLY	954
F-2297-1	finding	OPEN-DESK-ONLY	953
F-2296-1	finding	OPEN-DESK-ONLY	952
F-2290-1	finding	OPEN-DESK-ONLY	973
F-2280-2	finding	OPEN-DESK-ONLY	985
F-2272-1	finding	OPEN	1037
F-2270-3	finding	OPEN-DESK-ONLY	1051
F-1313-3	finding	OPEN-DESK-ONLY	2906
F-2261-2	finding	OPEN-DESK-ONLY	1069
F-2190-2	finding	OPEN-DESK-ONLY	1201
F-2159-1	finding	OPEN-DESK-ONLY	1336
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1246, 1286
F-1637-2	finding	OPEN-DESK-ONLY	1263, 5562
F-E2S-4	finding	OPEN-DESK-ONLY	1925, 1967
F-1656-3	finding	OPEN-DESK-ONLY	1777
F-2080-3	finding	OPEN-DESK-ONLY	1556
F-2054-1	finding	OPEN-DESK-ONLY	1613
F-1659-1	finding	OPEN-DESK-ONLY	1791
F-1657-3	finding	OPEN-DESK-ONLY	1771
F-1653-2	finding	OPEN-DESK-ONLY	1784
F-1625-4	finding	OPEN-DESK-ONLY	5531
F-1601-1	finding	OPEN-DESK-ONLY	1931
F-1536-2	finding	OPEN-DESK-ONLY	2140
F-1510-1	finding	OPEN-DESK-ONLY	2186
F-1507-1	finding	OPEN-DESK-ONLY	2215
F-1501-3	finding	OPEN-DESK-ONLY	2244
F-1193-3	finding	OPEN-DESK-ONLY	1919, 1920, 1986, 5174
F-1182-2	finding	OPEN-DESK-ONLY	5180
F-E8LO-3	finding	OPEN-DESK-ONLY	1527
F-DOOR-6	finding	OPEN-DESK-ONLY	1975
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2280
F-1055-2	finding	OPEN-DESK-ONLY	4410
F-1103-2	finding	OPEN-DESK-ONLY	4816
F-PT15-1	finding	OPEN-DESK-ONLY	1211
F-2397-3	finding	OPEN-DESK-ONLY	638
F-EAL-3	finding	OPEN-DESK-ONLY	84
F-YR-1	finding	OPEN-DESK-ONLY	69

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=53 · UNRECORDED=0
