ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	316
F-CLI-2	finding	OPEN-DESK-ONLY	300
F-2498-1	finding	OPEN-DESK-ONLY	341
F-2473-1	finding	OPEN-DESK-ONLY	263, 393
F-WIN-1	finding	OPEN-DESK-ONLY	484
F-2457-4	finding	OPEN-DESK-ONLY	479
F-2387-1	finding	OPEN-DESK-ONLY	669
F-2386-1	finding	OPEN-DESK-ONLY	663, 671
F-2355-2	finding	OPEN-DESK-ONLY	758
F-2352-3	finding	OPEN-DESK-ONLY	768
F-2350-3	finding	OPEN-DESK-ONLY	781
F-2343-2	finding	OPEN-DESK-ONLY	796
F-2329-1	finding	OPEN-DESK-ONLY	959
F-2320-1	finding	OPEN-DESK-ONLY	832
F-2308-1	finding	OPEN-DESK-ONLY	933
F-2299-2	finding	OPEN-DESK-ONLY	957
F-2299-1	finding	OPEN-DESK-ONLY	958
F-2298-1	finding	OPEN-DESK-ONLY	956
F-2297-1	finding	OPEN-DESK-ONLY	955
F-2296-1	finding	OPEN-DESK-ONLY	954
F-2290-1	finding	OPEN-DESK-ONLY	975
F-2280-2	finding	OPEN-DESK-ONLY	987
F-2272-1	finding	OPEN	1039
F-2270-3	finding	OPEN-DESK-ONLY	1053
F-1313-3	finding	OPEN-DESK-ONLY	2908
F-2261-2	finding	OPEN-DESK-ONLY	1071
F-2190-2	finding	OPEN-DESK-ONLY	1203
F-2159-1	finding	OPEN-DESK-ONLY	1338
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1248, 1288
F-1637-2	finding	OPEN-DESK-ONLY	1265, 5564
F-E2S-4	finding	OPEN-DESK-ONLY	1927, 1969
F-1656-3	finding	OPEN-DESK-ONLY	1779
F-2080-3	finding	OPEN-DESK-ONLY	1558
F-2054-1	finding	OPEN-DESK-ONLY	1615
F-1659-1	finding	OPEN-DESK-ONLY	1793
F-1657-3	finding	OPEN-DESK-ONLY	1773
F-1653-2	finding	OPEN-DESK-ONLY	1786
F-1625-4	finding	OPEN-DESK-ONLY	5533
F-1601-1	finding	OPEN-DESK-ONLY	1933
F-1536-2	finding	OPEN-DESK-ONLY	2142
F-1510-1	finding	OPEN-DESK-ONLY	2188
F-1507-1	finding	OPEN-DESK-ONLY	2217
F-1501-3	finding	OPEN-DESK-ONLY	2246
F-1193-3	finding	OPEN-DESK-ONLY	1921, 1922, 1988, 5176
F-1182-2	finding	OPEN-DESK-ONLY	5182
F-E8LO-3	finding	OPEN-DESK-ONLY	1529
F-DOOR-6	finding	OPEN-DESK-ONLY	1977
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2282
F-1055-2	finding	OPEN-DESK-ONLY	4412
F-1103-2	finding	OPEN-DESK-ONLY	4818
F-PT15-1	finding	OPEN-DESK-ONLY	1213
F-2397-3	finding	OPEN-DESK-ONLY	640
F-EAL-3	finding	OPEN-DESK-ONLY	86
F-YR-1	finding	OPEN-DESK-ONLY	71

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=53 · UNRECORDED=0
