ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	318
F-CLI-2	finding	OPEN-DESK-ONLY	302
F-2498-1	finding	OPEN-DESK-ONLY	343
F-2473-1	finding	OPEN-DESK-ONLY	265, 395
F-WIN-1	finding	OPEN-DESK-ONLY	486
F-2457-4	finding	OPEN-DESK-ONLY	481
F-2387-1	finding	OPEN-DESK-ONLY	671
F-2386-1	finding	OPEN-DESK-ONLY	665, 673
F-2355-2	finding	OPEN-DESK-ONLY	760
F-2352-3	finding	OPEN-DESK-ONLY	770
F-2350-3	finding	OPEN-DESK-ONLY	783
F-2343-2	finding	OPEN-DESK-ONLY	798
F-2329-1	finding	OPEN-DESK-ONLY	961
F-2320-1	finding	OPEN-DESK-ONLY	834
F-2308-1	finding	OPEN-DESK-ONLY	935
F-2299-2	finding	OPEN-DESK-ONLY	959
F-2299-1	finding	OPEN-DESK-ONLY	960
F-2298-1	finding	OPEN-DESK-ONLY	958
F-2297-1	finding	OPEN-DESK-ONLY	957
F-2296-1	finding	OPEN-DESK-ONLY	956
F-2290-1	finding	OPEN-DESK-ONLY	977
F-2280-2	finding	OPEN-DESK-ONLY	989
F-2272-1	finding	OPEN	1041
F-2270-3	finding	OPEN-DESK-ONLY	1055
F-1313-3	finding	OPEN-DESK-ONLY	2910
F-2261-2	finding	OPEN-DESK-ONLY	1073
F-2190-2	finding	OPEN-DESK-ONLY	1205
F-2159-1	finding	OPEN-DESK-ONLY	1340
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1250, 1290
F-1637-2	finding	OPEN-DESK-ONLY	1267, 5566
F-E2S-4	finding	OPEN-DESK-ONLY	1929, 1971
F-1656-3	finding	OPEN-DESK-ONLY	1781
F-2080-3	finding	OPEN-DESK-ONLY	1560
F-2054-1	finding	OPEN-DESK-ONLY	1617
F-1659-1	finding	OPEN-DESK-ONLY	1795
F-1657-3	finding	OPEN-DESK-ONLY	1775
F-1653-2	finding	OPEN-DESK-ONLY	1788
F-1625-4	finding	OPEN-DESK-ONLY	5535
F-1601-1	finding	OPEN-DESK-ONLY	1935
F-1536-2	finding	OPEN-DESK-ONLY	2144
F-1510-1	finding	OPEN-DESK-ONLY	2190
F-1507-1	finding	OPEN-DESK-ONLY	2219
F-1501-3	finding	OPEN-DESK-ONLY	2248
F-1193-3	finding	OPEN-DESK-ONLY	1923, 1924, 1990, 5178
F-1182-2	finding	OPEN-DESK-ONLY	5184
F-E8LO-3	finding	OPEN-DESK-ONLY	1531
F-DOOR-6	finding	OPEN-DESK-ONLY	1979
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2284
F-1055-2	finding	OPEN-DESK-ONLY	4414
F-1103-2	finding	OPEN-DESK-ONLY	4820
F-PT15-1	finding	OPEN-DESK-ONLY	1215
F-2397-3	finding	OPEN-DESK-ONLY	642
F-EAL-3	finding	OPEN-DESK-ONLY	88
F-YR-1	finding	OPEN-DESK-ONLY	73

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=53 · UNRECORDED=0
