ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	328
F-CLI-2	finding	OPEN-DESK-ONLY	312
F-2498-1	finding	OPEN-DESK-ONLY	353
F-2473-1	finding	OPEN-DESK-ONLY	275, 405
F-WIN-1	finding	OPEN-DESK-ONLY	496
F-2457-4	finding	OPEN-DESK-ONLY	491
F-2387-1	finding	OPEN-DESK-ONLY	681
F-2386-1	finding	OPEN-DESK-ONLY	675, 683
F-2355-2	finding	OPEN-DESK-ONLY	770
F-2352-3	finding	OPEN-DESK-ONLY	780
F-2350-3	finding	OPEN-DESK-ONLY	793
F-2343-2	finding	OPEN-DESK-ONLY	808
F-2329-1	finding	OPEN-DESK-ONLY	971
F-2320-1	finding	OPEN-DESK-ONLY	844
F-2308-1	finding	OPEN-DESK-ONLY	945
F-2299-2	finding	OPEN-DESK-ONLY	969
F-2299-1	finding	OPEN-DESK-ONLY	970
F-2298-1	finding	OPEN-DESK-ONLY	968
F-2297-1	finding	OPEN-DESK-ONLY	967
F-2296-1	finding	OPEN-DESK-ONLY	966
F-2290-1	finding	OPEN-DESK-ONLY	987
F-2280-2	finding	OPEN-DESK-ONLY	999
F-2272-1	finding	OPEN	1051
F-2270-3	finding	OPEN-DESK-ONLY	1065
F-1313-3	finding	OPEN-DESK-ONLY	2920
F-2261-2	finding	OPEN-DESK-ONLY	1083
F-2190-2	finding	OPEN-DESK-ONLY	1215
F-2159-1	finding	OPEN-DESK-ONLY	1350
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1260, 1300
F-1637-2	finding	OPEN-DESK-ONLY	1277, 5576
F-E2S-4	finding	OPEN-DESK-ONLY	1939, 1981
F-1656-3	finding	OPEN-DESK-ONLY	1791
F-2080-3	finding	OPEN-DESK-ONLY	1570
F-2054-1	finding	OPEN-DESK-ONLY	1627
F-1659-1	finding	OPEN-DESK-ONLY	1805
F-1657-3	finding	OPEN-DESK-ONLY	1785
F-1653-2	finding	OPEN-DESK-ONLY	1798
F-1625-4	finding	OPEN-DESK-ONLY	5545
F-1601-1	finding	OPEN-DESK-ONLY	1945
F-1536-2	finding	OPEN-DESK-ONLY	2154
F-1510-1	finding	OPEN-DESK-ONLY	2200
F-1507-1	finding	OPEN-DESK-ONLY	2229
F-1501-3	finding	OPEN-DESK-ONLY	2258
F-1193-3	finding	OPEN-DESK-ONLY	1933, 1934, 2000, 5188
F-1182-2	finding	OPEN-DESK-ONLY	5194
F-E8LO-3	finding	OPEN-DESK-ONLY	1541
F-DOOR-6	finding	OPEN-DESK-ONLY	1989
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2294
F-1055-2	finding	OPEN-DESK-ONLY	4424
F-1103-2	finding	OPEN-DESK-ONLY	4830
F-PT15-1	finding	OPEN-DESK-ONLY	1225
F-2397-3	finding	OPEN-DESK-ONLY	652
F-EAL-3	finding	OPEN-DESK-ONLY	98
F-YR-1	finding	OPEN-DESK-ONLY	83

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=53 · UNRECORDED=0
