lifted: src/game/Game.ts:8265 beginProspectorDispatch, src/game/Game.ts:8277 advanceProspectorDispatch, src/game/Game.ts:8309 prospectorDispatchPoint; src/game/Game.ts:10972 distanceSq2; settle src/game/Game.ts:395 = 4
window 900 ticks after the command; seed same-game-seam-<id>; one warm-up tick

| contract | door admits | target (distance) | window | dispatch: first pan tick, gold | HARVEST: first pan tick, gold | control pans | pan D-H | left seam H-D | verdict |
|---|---|---|---:|---|---|---:|---:|---:|---|
| the-claim | true | gold-seam-2 (8.3506) | 900 | 56, 5 | 54, 5 | 0 | 2 | 26 | pairs |
| e1-drill-yard | true | gold-seam-1 (8.3506) | 900 | 56, 5 | 54, 5 | 0 | 2 | 26 | pairs |
| e1-dry-gulch | true | gold-seam-1 (8.3506) | 900 | 56, 7 | 54, 7 | 0 | 2 | 26 | pairs |
| e1-night-shift | true | gold-seam-3 (10.3012) | 900 | 68, 5 | 66, 5 | 0 | 2 | 26 | pairs |
| e1-twin-banks | true | gold-seam-2 (20.7095) | 900 | 133, 5 | 131, 5 | 0 | 2 | 26 | pairs |
| e1-baron | true | gold-seam-2 (26.7119) | 900 | 170, 5 | 168, 5 | 0 | 2 | 26 | pairs |
| e10-ember-shore | true | gold-seam-2 (31.2286) | 900 | 199, 5 | 197, 5 | 0 | 2 | 26 | pairs |
| e10-archive-world | true | gold-seam-3 (19.5688) | 900 | 126, 5 | 124, 5 | 0 | 2 | 26 | pairs |
| e10-last-claim | true | gold-seam-2 (65.3269) | 900 | 412, 5 | 410, 5 | 0 | 2 | 26 | pairs |
| e10-river | false | none | - | - | - | - | - | - | no-target |
| e2-hill-mine | true | gold-seam-2 (19.8435) | 900 | 128, 5 | 126, 5 | 0 | 2 | 26 | pairs |
| e2-trestle | true | gold-seam-1 (13.8313) | 900 | 90, 5 | 88, 5 | 0 | 2 | 26 | pairs |
| e2-pressure-garden | true | gold-seam-2 (16.6098) | 900 | 107, 5 | 105, 5 | 0 | 2 | 26 | pairs |
| e2-incline | true | gold-seam-1 (45.2653) | 900 | 286, 5 | 284, 5 | 0 | 2 | 26 | pairs |
| e3-blackout-ridge | true | gold-seam-3 (6.5837) | 900 | 45, 5 | 43, 5 | 0 | 2 | 26 | pairs |
| e3-moth-season | true | gold-seam-3 (10.3012) | 900 | 68, 5 | 66, 5 | 0 | 2 | 26 | pairs |
| e3-canyon-works | true | gold-seam-2 (81.5196) | 900 | 513, 5 | 511, 5 | 0 | 2 | 26 | pairs |
| e3-fairground | true | gold-seam-3 (19.1401) | 900 | 123, 5 | 121, 5 | 0 | 2 | 26 | pairs |
| e4-dust-flats | true | gold-seam-2 (75.7696) | 900 | 477, 5 | 475, 5 | 0 | 2 | 26 | pairs |
| e4-long-road | true | gold-seam-2 (188.5742) | 1479 | 1182, 5 | 1180, 5 | 0 | 2 | 26 | pairs |
| e4-gusher-county | true | gold-seam-2 (52.8802) | 900 | 334, 5 | 332, 5 | 0 | 2 | 26 | pairs |
| e4-boneyard | true | gold-seam-2 (62.2826) | 900 | 393, 5 | 391, 5 | 0 | 2 | 26 | pairs |
| e5-deepwater-claim | true | gold-seam-2 (50.9618) | 900 | 322, 5 | 320, 5 | 0 | 2 | 26 | pairs |
| e5-regatta | true | gold-seam-1 (5.2101) | 900 | 36, 5 | 34, 5 | 0 | 2 | 26 | pairs |
| e5-stillwater | true | gold-seam-1 (50.9618) | 900 | 322, 5 | 320, 5 | 0 | 2 | 26 | pairs |
| e5-flotilla | true | gold-seam-2 (9.2469) | 900 | 61, 5 | 59, 5 | 0 | 2 | 26 | pairs |
| e6-glow-mesa | true | gold-seam-1 (55.6018) | 900 | 351, 5 | 349, 5 | 0 | 2 | 26 | pairs |
| e6-showroom | false | gold-seam-2 (35.1162) | 900 | 223, 5 | 221, 5 | 0 | 2 | 26 | pairs |
| e6-half-life-hollow | true | gold-seam-2 (27.7169) | 900 | 177, 5 | 175, 5 | 0 | 2 | 26 | pairs |
| e6-picnic | true | gold-seam-3 (3.4387) | 900 | 25, 5 | 23, 5 | 0 | 2 | 26 | pairs |
| e7-relay-valley | true | gold-seam-1 (12.4107) | 900 | 81, 5 | 79, 5 | 0 | 2 | 26 | pairs |
| e7-echo-canyon | true | gold-seam-3 (20.8678) | 900 | 134, 5 | 132, 5 | 0 | 2 | 26 | pairs |
| e7-dead-band | true | gold-seam-1 (41.4305) | 900 | 262, 5 | 260, 5 | 0 | 2 | 26 | pairs |
| e7-relay-rush | true | gold-seam-1 (8.0412) | 900 | 54, 5 | 52, 5 | 0 | 2 | 26 | pairs |
| e8-mare-claim | true | gold-seam-2 (25.2021) | 900 | 161, 5 | 159, 5 | 0 | 2 | 26 | pairs |
| e8-far-side | true | gold-seam-2 (16.618) | 900 | 107, 5 | 105, 5 | 0 | 2 | 26 | pairs |
| e8-low-orbit | true | gold-seam-1 (12.3315) | 900 | 81, 5 | 79, 5 | 0 | 2 | 26 | pairs |
| e8-eclipse | true | gold-seam-2 (20.9615) | 900 | 135, 5 | 133, 5 | 0 | 2 | 26 | pairs |
| e9-dome-basin | true | gold-seam-1 (44.412) | 900 | 281, 5 | 279, 5 | 0 | 2 | 26 | pairs |
| e9-seed-run | false | gold-seam-1 (2.6391) | 900 | 20, 5 | 18, 5 | 0 | 2 | 26 | pairs |
| e9-devils-alley | true | gold-seam-3 (12.2468) | 900 | 80, 5 | 78, 5 | 0 | 2 | 26 | pairs |
| e9-old-canal | false | gold-seam-1 (13.6494) | 900 | 89, 5 | 87, 5 | 0 | 2 | 26 | pairs |

summary {"contracts":42,"pairs":41,"differs":0,"noTarget":1,"pairsAmongDoorAdmitted":38,"doorAdmitted":38,"firstPanDeltaTicks":[2],"linger":[26],"sluice":"pairs","wallMs":99581}
wire (the-claim): applyWireAction(prospector_dispatch) returned false; pans on target 0; control pans 0
sluice (the-claim, placed at {"x":0,"z":7}, sluice-1 at 0,7, distance 4.3226): dispatch arrived 27 left 33 pans 0 queue 0; HARVEST arrived 27 left 59 pans 0 order [{"status":"done"}]; gold at end 15 / 15; verdict pairs
