# stale s2673-desk-* directories under os.tmpdir() = /var/folders/cd/p02kvf6s5qgfn47w85hhtzjc0000gn/T
# listed 2026-09-25T10:30:54Z BEFORE the F-EO1-5 cure; LISTED, NOT DELETED (temp dirs are the owner's to sweep)
# columns: mtime (local)  name  entries
2026-09-24T23:32:29  s2673-desk-Db55kF  3
2026-09-24T23:32:29  s2673-desk-ja6N1w  3
2026-09-24T23:32:30  s2673-desk-0RpeZ0  3
2026-09-24T23:32:30  s2673-desk-G8utSc  3
2026-09-24T23:32:30  s2673-desk-UvNPeo  3
2026-09-24T23:32:30  s2673-desk-XMo7C8  3
2026-09-24T23:32:30  s2673-desk-XZ4bDT  3
2026-09-24T23:32:30  s2673-desk-wAa8F1  3
2026-09-24T23:32:30  s2673-desk-wHjdIS  3
2026-09-24T23:32:30  s2673-desk-yVYN6W  3
2026-09-24T23:32:48  s2673-desk-6l9Ra2  3
2026-09-24T23:32:48  s2673-desk-BEWVTu  3
2026-09-24T23:32:48  s2673-desk-BksbtT  3
2026-09-24T23:32:48  s2673-desk-C5m1tX  3
2026-09-24T23:32:48  s2673-desk-Eibwiz  3
2026-09-24T23:32:48  s2673-desk-Fag4wg  3
2026-09-24T23:32:48  s2673-desk-JXaf6X  3
2026-09-24T23:32:48  s2673-desk-qfSSZf  3
2026-09-24T23:32:49  s2673-desk-CJ9wA5  3
2026-09-24T23:32:49  s2673-desk-W6Xawv  3
2026-09-24T23:37:01  s2673-desk-MHYnHc  3
2026-09-24T23:37:01  s2673-desk-o5GU7x  3
2026-09-24T23:37:01  s2673-desk-sUMFH1  3
2026-09-24T23:37:02  s2673-desk-JmLZWG  3
2026-09-24T23:37:02  s2673-desk-SPgm0t  3
2026-09-24T23:37:02  s2673-desk-olJNeF  3
2026-09-24T23:37:03  s2673-desk-CNEM93  3
2026-09-24T23:37:03  s2673-desk-SYByxV  3
2026-09-24T23:37:03  s2673-desk-drLCSO  3
2026-09-24T23:37:04  s2673-desk-PNj4kk  3
2026-09-25T01:01:05  s2673-desk-d2wWXc  3
2026-09-25T01:01:06  s2673-desk-1uIKp6  3
2026-09-25T01:01:06  s2673-desk-3fGUVA  3
2026-09-25T01:01:06  s2673-desk-ZNxgD6  3
2026-09-25T01:01:06  s2673-desk-ZS29dz  3
2026-09-25T01:01:06  s2673-desk-vhrn09  3
2026-09-25T01:01:07  s2673-desk-9Rapvu  3
2026-09-25T01:01:07  s2673-desk-LrrBWb  3
2026-09-25T01:01:07  s2673-desk-kWiTAw  3
2026-09-25T01:01:07  s2673-desk-vqMjEd  3
2026-09-25T02:23:33  s2673-desk-7BZmFP  3
2026-09-25T02:23:33  s2673-desk-DQtLdz  3
2026-09-25T02:23:33  s2673-desk-cg80Vg  3
2026-09-25T02:23:33  s2673-desk-rFDOvj  3
2026-09-25T02:23:33  s2673-desk-rpDYkZ  3
2026-09-25T02:23:33  s2673-desk-vKHrde  3
2026-09-25T02:23:34  s2673-desk-AH9fNs  3
2026-09-25T02:23:34  s2673-desk-KBtv3c  3
2026-09-25T02:23:34  s2673-desk-ZEhBV3  3
2026-09-25T02:23:34  s2673-desk-cqOTKi  3
2026-09-25T02:33:35  s2673-desk-2SNxfl  3
2026-09-25T02:33:35  s2673-desk-3VEtCK  3
2026-09-25T02:33:35  s2673-desk-4cMZYc  3
2026-09-25T02:33:35  s2673-desk-JAdR7D  3
2026-09-25T02:33:35  s2673-desk-XXjazn  3
2026-09-25T02:33:35  s2673-desk-YHRpLK  3
2026-09-25T02:33:35  s2673-desk-e3kPIj  3
2026-09-25T02:33:36  s2673-desk-7slqIm  3
2026-09-25T02:33:36  s2673-desk-gfYpTl  3
2026-09-25T02:33:36  s2673-desk-xG3Ze9  3
2026-09-25T02:34:05  s2673-desk-kuhAP2  3
2026-09-25T02:34:05  s2673-desk-qTLbZv  3
2026-09-25T02:34:06  s2673-desk-IhPwVT  3
2026-09-25T02:34:06  s2673-desk-kBrgbU  3
2026-09-25T02:34:06  s2673-desk-uydu0i  3
2026-09-25T02:34:06  s2673-desk-xDJInA  3
2026-09-25T02:34:07  s2673-desk-NOPJQZ  3
2026-09-25T02:34:07  s2673-desk-SSynoK  3
2026-09-25T02:34:08  s2673-desk-LuuhCA  3
2026-09-25T02:34:08  s2673-desk-OWxay4  3
2026-09-25T02:47:44  s2673-desk-5OcwhX  3
2026-09-25T02:47:44  s2673-desk-Whzyr2  3
2026-09-25T02:47:44  s2673-desk-bhUNoi  3
2026-09-25T02:47:44  s2673-desk-mVYX5R  3
2026-09-25T02:47:44  s2673-desk-tsmaop  3
2026-09-25T02:47:44  s2673-desk-vFxvEv  3
2026-09-25T02:47:45  s2673-desk-T6kYzV  3
2026-09-25T02:47:45  s2673-desk-TcPBOl  3
2026-09-25T02:47:45  s2673-desk-lKKaAz  3
2026-09-25T02:47:45  s2673-desk-qL6obe  3
2026-09-25T02:51:26  s2673-desk-AxSQYD  3
2026-09-25T02:51:26  s2673-desk-DBCs6t  3
2026-09-25T02:51:26  s2673-desk-J5SvEP  3
2026-09-25T02:51:26  s2673-desk-OJ5cth  3
2026-09-25T02:51:26  s2673-desk-UfmhgY  3
2026-09-25T02:51:26  s2673-desk-YLiviR  3
2026-09-25T02:51:26  s2673-desk-aqE801  3
2026-09-25T02:51:26  s2673-desk-hNINsy  3
2026-09-25T02:51:26  s2673-desk-jORuUq  3
2026-09-25T02:51:26  s2673-desk-kfKvIY  3
2026-09-25T03:01:52  s2673-desk-3FGCjU  3
2026-09-25T03:01:52  s2673-desk-HKoWmi  3
2026-09-25T03:01:52  s2673-desk-MkZtfh  3
2026-09-25T03:01:52  s2673-desk-ePEm3C  3
2026-09-25T03:01:52  s2673-desk-mtGfpp  3
2026-09-25T03:01:52  s2673-desk-nQ4DQZ  3
2026-09-25T03:01:52  s2673-desk-yUSGAX  3
2026-09-25T03:01:53  s2673-desk-MsnLrw  3
2026-09-25T03:01:53  s2673-desk-NB9xFs  3
2026-09-25T03:01:53  s2673-desk-i37Iyy  3
2026-09-25T03:52:18  s2673-desk-1OBrgg  3
2026-09-25T03:52:18  s2673-desk-JIfQ15  3
2026-09-25T03:52:18  s2673-desk-o0QQV1  3
2026-09-25T03:52:19  s2673-desk-053JtZ  3
2026-09-25T03:52:19  s2673-desk-6tntsm  3
2026-09-25T03:52:19  s2673-desk-BPOWgC  3
2026-09-25T03:52:19  s2673-desk-vD68G1  3
2026-09-25T03:52:19  s2673-desk-vFDzQc  3
2026-09-25T03:52:19  s2673-desk-z4N8BF  3
2026-09-25T03:52:20  s2673-desk-0Xo12w  3
2026-09-25T04:00:12  s2673-desk-0HyoqD  3
2026-09-25T04:00:12  s2673-desk-dG6UD2  3
2026-09-25T04:00:12  s2673-desk-dHD2s0  3
2026-09-25T04:00:12  s2673-desk-eOfdRl  3
2026-09-25T04:00:13  s2673-desk-1s2fPQ  3
2026-09-25T04:00:13  s2673-desk-9x8dEA  3
2026-09-25T04:00:13  s2673-desk-G9096q  3
2026-09-25T04:00:13  s2673-desk-WOSWry  3
2026-09-25T04:00:13  s2673-desk-nAqFwR  3
2026-09-25T04:00:13  s2673-desk-v5aNEB  3
2026-09-25T04:24:33  s2673-desk-05W3QY  3
2026-09-25T04:24:33  s2673-desk-ZQdLvS  3
2026-09-25T04:24:34  s2673-desk-CpObF1  3
2026-09-25T04:24:34  s2673-desk-Ga8gUc  3
2026-09-25T04:24:34  s2673-desk-Mk9dlA  3
2026-09-25T04:24:34  s2673-desk-TXtSYw  3
2026-09-25T04:24:34  s2673-desk-Tl6vxN  3
2026-09-25T04:24:34  s2673-desk-axGkX8  3
2026-09-25T04:24:34  s2673-desk-oDAJm8  3
2026-09-25T04:24:34  s2673-desk-vjzAL8  3
2026-09-25T05:15:25  s2673-desk-6fQyV7  3
2026-09-25T05:15:25  s2673-desk-GrHvx4  3
2026-09-25T05:15:25  s2673-desk-LhmVtn  3
2026-09-25T05:15:25  s2673-desk-PX500U  3
2026-09-25T05:15:25  s2673-desk-U7EWgC  3
2026-09-25T05:15:25  s2673-desk-Wjv4CL  3
2026-09-25T05:15:25  s2673-desk-byfHo3  3
2026-09-25T05:15:25  s2673-desk-eEgD2F  3
2026-09-25T05:15:25  s2673-desk-jRO9Bn  3
2026-09-25T05:15:25  s2673-desk-ssYzV9  3
2026-09-25T05:24:20  s2673-desk-5XwkH0  3
2026-09-25T05:24:20  s2673-desk-D0VqT2  3
