# stale s2677-stamp-* directories under os.tmpdir() = /var/folders/cd/p02kvf6s5qgfn47w85hhtzjc0000gn/T (the sibling offender, status-line1-future-stamp-scope-guard.test.mjs, OUTSIDE small-fixes-1's firewall)
# listed 2026-09-25T11:04:29Z; LISTED, NOT DELETED (temp dirs are the owner's to sweep)
# columns: mtime (local)  name  entries
2026-09-25T05:24:09  s2677-stamp-LoMrAW  3
2026-09-25T05:24:09  s2677-stamp-WG2Wk5  3
2026-09-25T05:24:09  s2677-stamp-oLDK9v  3
2026-09-25T05:24:09  s2677-stamp-t4zD9U  3
2026-09-25T05:24:09  s2677-stamp-uKTpp9  3
2026-09-25T05:24:09  s2677-stamp-xC79Bl  3
2026-09-25T05:24:20  s2677-stamp-42exOR  3
2026-09-25T05:24:20  s2677-stamp-9KmHyb  3
2026-09-25T05:24:20  s2677-stamp-r3VQRH  3
2026-09-25T05:24:20  s2677-stamp-wXG8Ar  3
2026-09-25T05:24:21  s2677-stamp-6ssHCD  3
2026-09-25T05:24:21  s2677-stamp-gvyOea  3
2026-09-25T05:31:22  s2677-stamp-plww7d  3
2026-09-25T05:31:22  s2677-stamp-xI4JAi  3
2026-09-25T05:31:23  s2677-stamp-FW8fRN  3
2026-09-25T05:31:23  s2677-stamp-J1WthX  3
2026-09-25T05:31:23  s2677-stamp-JYanT1  3
2026-09-25T05:31:23  s2677-stamp-Z9luvL  3
2026-09-25T05:34:53  s2677-stamp-Va9yW9  3
2026-09-25T05:34:54  s2677-stamp-5MfoXN  3
2026-09-25T05:34:54  s2677-stamp-Rjvc7D  3
2026-09-25T05:34:54  s2677-stamp-gwpM2b  3
2026-09-25T05:34:54  s2677-stamp-s1EytL  3
2026-09-25T05:34:54  s2677-stamp-t7dv9x  3
2026-09-25T07:05:28  s2677-stamp-OeWh3a  3
2026-09-25T07:05:28  s2677-stamp-U8c6pz  3
2026-09-25T07:05:28  s2677-stamp-ZmZGwi  3
2026-09-25T07:05:28  s2677-stamp-fqWPbL  3
2026-09-25T07:05:28  s2677-stamp-hRcjdy  3
2026-09-25T07:05:28  s2677-stamp-rpGpKR  3
2026-09-25T08:18:00  s2677-stamp-7kjzH5  3
2026-09-25T08:18:01  s2677-stamp-1RbnkZ  3
2026-09-25T08:18:01  s2677-stamp-Hr6k8h  3
2026-09-25T08:18:01  s2677-stamp-k93WMX  3
2026-09-25T08:18:01  s2677-stamp-oQv3Y4  3
2026-09-25T08:18:01  s2677-stamp-tXe9u2  3
2026-09-25T09:18:25  s2677-stamp-9keXW4  3
2026-09-25T09:18:25  s2677-stamp-InCnhL  3
2026-09-25T09:18:25  s2677-stamp-f6L2yH  3
2026-09-25T09:18:26  s2677-stamp-BefalG  3
2026-09-25T09:18:26  s2677-stamp-eKeYcM  3
2026-09-25T09:18:26  s2677-stamp-kOIrXH  3
2026-09-25T09:31:14  s2677-stamp-AibDSJ  3
2026-09-25T09:31:14  s2677-stamp-O38NG4  3
2026-09-25T09:31:15  s2677-stamp-EtD87h  3
2026-09-25T09:31:15  s2677-stamp-Ki8ODx  3
2026-09-25T09:31:15  s2677-stamp-fpX5Ej  3
2026-09-25T09:31:16  s2677-stamp-oD2Z2X  3
2026-09-25T09:50:22  s2677-stamp-5qo1qC  3
2026-09-25T09:50:22  s2677-stamp-CMkk1C  3
2026-09-25T09:50:22  s2677-stamp-aAt0tz  3
2026-09-25T09:50:22  s2677-stamp-g6lqbx  3
2026-09-25T09:50:22  s2677-stamp-nTMzmf  3
2026-09-25T09:50:22  s2677-stamp-olxo2h  3
2026-09-25T10:01:05  s2677-stamp-6TXPm5  3
2026-09-25T10:01:05  s2677-stamp-FyzYE2  3
2026-09-25T10:01:05  s2677-stamp-al3IFH  3
2026-09-25T10:01:05  s2677-stamp-j9siB5  3
2026-09-25T10:01:06  s2677-stamp-2NOfGI  3
2026-09-25T10:01:06  s2677-stamp-NUkLNW  3
2026-09-25T10:08:45  s2677-stamp-pBlq2F  3
2026-09-25T10:08:45  s2677-stamp-qUgcoT  3
2026-09-25T10:08:45  s2677-stamp-qpdKqs  3
2026-09-25T10:08:45  s2677-stamp-ytt0OU  3
2026-09-25T10:08:46  s2677-stamp-47OckQ  3
2026-09-25T10:08:46  s2677-stamp-wPXLEj  3
2026-09-25T12:17:24  s2677-stamp-Dc0z84  3
2026-09-25T12:17:24  s2677-stamp-jocOxk  3
2026-09-25T12:17:25  s2677-stamp-fTcSx2  3
2026-09-25T12:17:25  s2677-stamp-ihWfDP  3
2026-09-25T12:17:25  s2677-stamp-teiKvW  3
2026-09-25T12:17:26  s2677-stamp-H8YX2R  3
