symlink-run-table (after): /Users/robin/Claude/Projects/wt-sf1/scripts
script | real: rc, bytes | symlinked: rc, bytes | verdict
authorable-candidates.mjs | 0, 6022 B | 0, 6022 B | SAME
claimed-spec-harness-guard.mjs | 0, 603 B | 0, 603 B | SAME
desk-birth-guard.mjs | 0, 1097 B | 0, 1097 B | SAME
desk-carryforward-guard.mjs | 0, 978 B | 0, 978 B | SAME
desk-declaration-guard.mjs | 0, 279 B | 0, 279 B | SAME
dry-board-probe.mjs | 0, 1115 B | 0, 1115 B | SAME
ghost-ladder-row-guard.mjs | 0, 899 B | 0, 899 B | SAME
master-shipped-classifier.mjs | 0, 361543 B | 0, 361543 B | SAME
source-pointer-guard.mjs | 0, 272 B | 0, 272 B | SAME
stale-ready-for-gates-guard.mjs | 0, 764 B | 0, 764 B | SAME
