symlink-run-table (final): /Users/robin/Claude/Projects/wt-sf1/scripts
script | real: rc, bytes | symlinked: rc, bytes | verdict
authorable-candidates.mjs | 0, 6022 B | 0, 6022 B | SAME
claimed-spec-harness-guard.mjs | 0, 603 B | 0, 603 B | SAME
desk-birth-guard.mjs | 2, 1552 B | 2, 1552 B | SAME
desk-carryforward-guard.mjs | 2, 1428 B | 2, 1428 B | SAME
desk-declaration-guard.mjs | 2, 743 B | 2, 743 B | SAME
dry-board-probe.mjs | 0, 1115 B | 0, 1115 B | SAME
ghost-ladder-row-guard.mjs | 0, 899 B | 0, 899 B | SAME
master-shipped-classifier.mjs | 0, 361588 B | 0, 361588 B | SAME
source-pointer-guard.mjs | 0, 272 B | 0, 272 B | SAME
stale-ready-for-gates-guard.mjs | 0, 764 B | 0, 764 B | SAME
