e1-dry-gulch | tape fnv1a32:e490fcd5 | animator fnv1a32:036a109a | MOVES
e1-twin-banks | tape fnv1a32:3104ad94 | animator NO REPLAY (assay replay failed: the run ended before tick 16556 of the order stream) | NO REPLAY
e2-incline | tape fnv1a32:a489588e | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e2-pressure-garden | tape fnv1a32:75473887 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e3-blackout-ridge | tape fnv1a32:ade266f4 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e3-canyon-works | tape fnv1a32:21952647 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e3-moth-season | tape fnv1a32:6f7df0c3 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e4-boneyard | tape fnv1a32:464d1a6b | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e4-dust-flats | tape fnv1a32:803c0a58 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e4-gusher-county | tape fnv1a32:0e24753e | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e5-stillwater | tape fnv1a32:ca1df167 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e7-dead-band | tape fnv1a32:b3234ac0 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e7-echo-canyon | tape fnv1a32:d8c34088 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e7-relay-rush | tape fnv1a32:e4238fc2 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e7-relay-valley | tape fnv1a32:41eea3b5 | animator fnv1a32:41eea3b5 | HOLDS
e8-eclipse | tape fnv1a32:b1e52be6 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e8-mare-claim | tape fnv1a32:5ace32f2 | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
e9-dome-basin | tape fnv1a32:15d21e4a | animator NO REPLAY (assay replay failed: declared runStart is not installable by this door) | NO REPLAY
the-claim | tape fnv1a32:22ca1b99 | animator fnv1a32:22ca1b99 | HOLDS
SUMMARY animator: 38 tapes — holds 2, moves 1, no replay 16, no tape 19
rc=0
